# gene	views	view_delta	view_rank	view_rank_delta
GCG	888	290	1	-2
AVP	537	-146	2	1
CRP	527	-76	3	1
EPO	474	23	4	0
MB	334	-13	5	-1
IGF1	310	-10	6	-1
LEP	308	-11	7	-1
ABCC11	291	-85	8	3
CYP3A4	282	59	9	-14
TTN	275	-24	10	0
TNF	269	30	11	-7
CYP2D6	257	20	12	-7
BDNF	252	-10	13	-2
MSTN	249	-13	14	-2
PTH	239	-40	15	2
APOE	233	2	16	-5
HTR2A	227	-84	17	8
LCT	204	-18	18	-6
MTOR	204	-30	19	-1
SST	202	24	20	-13
GPT	197	-85	21	10
ALB	196	-77	22	8
TP53	191	-8	23	-3
CCR5	186	-70	24	7
APOB	185	-11	25	-2
GDF15	180	-100	26	14
MAOA	175	-25	27	2
HTR1A	171	-55	28	6
OR6A2	165	2	29	-7
OPRM1	163	-17	30	-1
MAPT	155	-25	31	1
BRCA1	154	19	32	-18
AGT	153	2	33	-7
AMH	143	-38	34	5
GNRH1	143	17	35	-20
ALDH2	142	65	36	-65
OPRK1	141	26	37	-25
MTHFR	140	-44	38	10
CCK	138	-24	39	2
SLC6A4	135	9	40	-16
CALCA	131	-24	41	2
SHBG	129	-50	42	10
ACHE	128	8	43	-16
IL6	127	-14	44	2
AR	125	-47	45	10
CD4	125	-11	46	-3
KLK3	123	-54	47	13
REN	123	-17	48	5
TRPV1	123	-16	49	3
NGF	120	15	50	-19
CYP19A1	118	4	51	-12
DRD2	118	-39	52	14
CBLIF	117	-28	53	12
LPA	116	-2	54	-6
LTF	115	-8	55	-2
F2	110	-26	56	9
GAST	109	15	57	-26
PCSK9	108	-5	58	-6
HP	107	-21	59	5
VWF	107	-33	60	15
F8	106	-5	61	-4
RHO	105	-31	62	14
HMGCR	105	-26	63	11
FST	105	-4	64	-3
MYC	104	-14	65	4
HRH1	104	1	66	-8
CDKN2A	104	18	67	-27
CYP1A2	100	7	68	-18
CRH	96	-9	69	1
PPP1R1B	94	9	70	-25
SIGMAR1	90	-39	71	18
SERPINA1	89	-16	72	2
FOXP2	88	-8	73	-5
ACE2	88	-2	74	-16
ACE	87	-17	75	4
SNCA	86	-54	76	32
ADRB2	86	-49	77	26
IL2	85	-15	78	3
VIP	84	-10	79	-3
TF	84	-19	80	7
EGFR	84	-37	81	23
SLC6A2	84	11	82	-25
ABCB1	83	-13	83	3
SLC6A3	82	-11	84	-1
SHH	81	5	85	-19
CD274	79	-21	86	10
MC1R	78	-19	87	10
DRD4	78	19	88	-47
KRAS	78	-9	89	-3
INSR	77	4	90	-16
FOSB	77	21	91	-50
MPO	76	-19	92	11
POMC	76	-11	93	2
AFP	76	4	94	-15
BCL2	75	-2	95	-8
TG	74	-36	96	30
CDKN1A	72	28	97	-90
HTR2C	72	-32	98	26
F10	68	7	99	-30
ADIPOQ	68	7	100	-30
CYP2C19	68	-1	101	-12
CSF2	67	1	102	-17
RB1	67	5	103	-24
SERPINC1	67	20	104	-68
ABCA12	67	28	105	-112
PROC	66	-30	106	27
PLG	65	1	107	-15
NPY	65	2	108	-15
MS4A1	65	11	109	-38
MKI67	64	-30	110	26
ACVR1B	64	57	111	-997
CSF3	63	-28	112	25
F3	63	8	113	-30
CYP2C9	63	12	114	-43
PTEN	63	-18	115	18
ADAMTS13	63	5	116	-22
