# gene	views	view_delta	view_rank	view_rank_delta
APOE	3974	2864	1	0
CRP	872	-157	2	0
AVP	701	-146	3	0
EPO	593	-76	4	0
TEX9	438	166	5	-34
GCG	436	-99	6	1
MTOR	426	-60	7	-2
MB	394	-63	8	-4
BRCA1	388	-73	9	-2
IGF1	383	17	10	-9
LEP	361	-26	11	-6
TNF	358	-155	12	6
TTN	348	-141	13	5
SST	337	-103	14	1
HTR2A	324	-145	15	5
ALB	312	-101	16	1
TP53	312	-178	17	10
CYP3A4	306	-126	18	4
CYP2D6	306	17	19	-12
PTH	305	-97	20	4
EGFR	293	-69	21	1
BDNF	279	-9	22	-10
MAOA	274	-27	23	-3
GPT	273	-87	24	3
MYC	268	-24	25	-3
ACHE	268	-34	26	1
CCK	265	-9	27	-11
CALCA	261	-111	28	10
REN	258	-34	29	0
LCT	251	-62	30	6
GNRH1	238	-13	31	-12
MSTN	234	-49	32	-1
AGT	232	-43	33	-3
CD4	213	-87	34	7
ABCC11	208	14	35	-34
IL6	204	-85	36	6
HTR1A	198	-77	37	0
CBLIF	193	-42	38	-10
HMGCR	192	-5	39	-29
SHBG	191	-77	40	0
CYP19A1	187	-48	41	-6
KEL	187	-23	42	-17
MAPT	185	-33	43	-13
AMH	177	-80	44	2
VWF	175	-102	45	10
GAST	174	-3	46	-34
KLK3	172	-25	47	-20
F2	171	-20	48	-22
CYCS	170	-59	49	-1
IL2	169	-57	50	-1
PLAT	166	-75	51	7
F8	165	-70	52	3
SLC6A4	160	16	53	-52
AR	159	-25	54	-21
ACE	159	-30	55	-16
ADRB2	158	-44	56	-6
RHO	157	-55	57	-1
MKI67	157	-102	58	17
CCR5	156	-157	59	36
CD274	155	-85	60	15
HP	151	-55	61	1
CTLA4	150	-129	62	28
CYP2C19	149	17	63	-58
CDKN2A	149	-89	64	18
LTF	148	-29	65	-14
EGF	146	-42	66	-6
G6PD	145	-35	67	-11
ADRB1	143	-57	68	4
TG	141	-46	69	-4
BCL2	141	-85	70	18
ACE2	135	-51	71	-3
HTR2C	135	18	72	-67
LPA	134	-17	73	-20
TRPV1	134	-50	74	-2
HAMP	134	-80	75	18
CRH	133	-87	76	22
GIP	132	-29	77	-12
AFP	132	-66	78	13
APOB	132	-66	79	13
DRD2	130	-21	80	-15
ARHGAP11B	130	-92	81	28
NGF	128	-17	82	-19
SHH	128	6	83	-52
PCSK9	127	-37	84	-2
SNCA	126	-48	85	4
SLC6A3	126	-17	86	-22
KRAS	126	-80	87	26
TF	125	-46	88	5
INSR	124	-6	89	-34
ABCB1	124	-94	90	35
HRH1	121	-50	91	7
MTHFR	121	-4	92	-36
OPRK1	121	-26	93	-5
FN1	120	-29	94	-2
VIP	118	-26	95	-8
RB1	118	8	96	-52
FOXP2	118	-21	97	-15
ELN	116	-17	98	-21
SERPINC1	116	19	99	-67
TNFSF11	115	-28	100	-7
GFAP	113	9	101	-56
PPARG	113	-25	102	-12
F3	112	17	103	-66
IL10	112	-54	104	19
SIGMAR1	110	-23	105	-13
CFTR	107	-41	106	9
CYP1A2	107	-44	107	13
CSF3	106	-19	108	-19
CP	106	-18	109	-20
GCK	106	-3	110	-41
CYP2C9	106	1	111	-45
OPRM1	105	-37	112	2
OR6A2	105	8	113	-54
SRC	103	-19	114	-18
PDCD1	103	-226	115	93
MS4A1	103	-81	116	39
TNS2	102	-5	117	-37
IL4	101	-23	118	-12
PRNP	100	11	119	-65
BRAF	100	-74	120	38
SLC6A2	99	-3	121	-40
MPO	97	-49	122	23
LPL	96	9	123	-64
CSH1	96	-17	124	-19
CDKN1A	95	-25	125	-12
CDK2	95	11	126	-71
EGFLAM	94	-69	127	40
CNR1	93	-49	128	19
SERPINA1	93	-41	129	12
DMD	92	-15	130	-23
PLG	91	-9	131	-31
NR3C1	91	-33	132	1
HFE	90	25	133	-135
PROC	88	-24	134	-10
POMC	87	-17	135	-23
CD19	87	-41	136	11
FOSB	86	2	137	-59
ADA	85	-5	138	-42
CD34	85	-70	139	49
SLC18A2	85	9	140	-84
B2M	84	-69	141	50
MME	84	-18	142	-17
HTT	83	9	143	-88
IL1B	83	-39	144	10
GAPDH	80	-121	145	82
MC1R	78	-3	146	-57
ICAM1	78	-50	147	21
PECAM1	78	-51	148	24
LFNG	77	8	149	-105
PLAU	76	-2	150	-62
DHFR	76	-22	151	-14
CXCL8	76	-58	152	36
APP	75	-15	153	-28
NPY	75	-68	154	48
TTR	75	-35	155	8
ALDH2	73	-3	156	-67
TAAR1	73	-6	157	-52
VIM	72	-23	158	-12
ADIPOQ	72	-50	159	26
IAPP	72	-59	160	38
PPP1R1B	72	7	161	-111
FOXP3	71	-27	162	-2
DNTT	71	-7	163	-53
SIRT1	71	0	164	-80
NFE2L2	71	-37	165	13
LIPE	70	-18	166	-19
DPP4	70	-51	167	31
MAOB	70	-10	168	-38
PYY	69	-5	169	-61
KCNH2	69	-48	170	32
HRH2	69	-4	171	-63
KISS1	69	-19	172	-14
NANOG	68	39	173	-444
PTHLH	68	-2	174	-74
MECP2	68	0	175	-81
PC	67	-42	176	27
TH	67	-78	177	77
FLG	66	-9	178	-49
THPO	66	-21	179	-9
CYP2A6	66	22	180	-235
ADAMTS13	65	-30	181	8
CD38	65	-80	182	80
NLRP3	65	-20	183	-9
STAT3	65	-12	184	-36
F10	64	-29	185	8
FST	64	-8	186	-51
NF1	64	-16	187	-18
HIF1A	64	-53	188	48
BTK	63	-48	189	44
HTR2B	63	-39	190	30
DRD1	63	-7	191	-58
CD28	61	-83	192	88
BRCA2	61	-34	193	22
COX1	61	-10	194	-52
KIT	60	-78	195	82
DICER1	60	-25	196	5
C3	60	-1	197	-95
P2RY12	60	-30	198	15
GNAS	59	-27	199	9
FASLG	59	-78	200	85
IL26	59	-57	201	59
SUCLA2	59	-20	202	-6
CSF2	58	-25	203	4
PTGS2	58	-37	204	32
PTEN	58	-104	205	117
ADRB3	58	-13	206	-37
TGFB1	58	-29	207	18
CST3	57	-26	208	10
PCNA	57	-27	209	15
CCR7	57	4	210	-132
CASP3	57	-15	211	-29
KL	56	3	212	-126
LDLR	56	-8	213	-60
CD80	56	-17	214	-21
OXTR	56	-3	215	-93
TERT	56	9	216	-173
CD40	55	-50	217	62
RET	55	-23	218	5
CD14	54	-39	219	41
CNR2	54	-4	220	-91
ACKR1	54	-12	221	-41
CHAT	54	-28	222	20
HTR7	54	0	223	-110
APLN	53	12	224	-216
AHR	53	-56	225	75
GSR	53	-9	226	-62
CCL5	53	-46	227	64
SERPINE1	52	-26	228	14
FMR1	52	-25	229	11
HTR4	52	-27	230	23
NR5A1	52	27	231	-496
XIST	52	-13	232	-39
APC	51	-42	233	57
CD68	51	-60	234	88
PDE5A	51	4	235	-151
MYD88	51	3	236	-141
CXCL10	50	-66	237	96
HBB	50	-24	238	6
GHRH	50	-22	239	1
CYP2B6	50	-20	240	-10
PPARA	50	-9	241	-68
PPY	49	-14	242	-38
F5	49	-13	243	-44
CXCR4	49	-45	244	69
LALBA	49	-6	245	-80
CTCF	49	-47	246	78
CS	48	-28	247	25
ATM	48	1	248	-135
AIRE	48	-7	249	-72
TNFRSF11B	48	-21	250	-3
CYP2E1	48	3	251	-151
HOXD13	48	7	252	-197
CPT1A	48	-47	253	79
BAX	47	-24	254	13
POU5F1	47	-8	255	-68
CHGA	47	-29	256	31
BCL6	47	-12	257	-48
MMP9	47	-19	258	-6
PTGS1	46	1	259	-139
PPARGC1A	46	-21	260	0
FURIN	46	-19	261	-9
SELL	45	-22	262	3
SERPINA7	45	-39	263	70
TRPA1	45	-26	264	19
CHRM2	45	-18	265	-21
CHRM1	45	-27	266	27
ESR1	45	-3	267	-112
SREBF1	45	8	268	-230
TYMS	44	-7	269	-84
COL3A1	44	-3	270	-114
AKT1	44	-2	271	-124
SOX9	44	-17	272	-23
CCL2	43	-89	273	153
CPS1	43	18	274	-435
SPP1	43	-35	275	65
CR2	43	-13	276	-40
TMSB4X	43	7	277	-224
SLC16A1	43	6	278	-214
OPN4	43	2	279	-166
TRPM8	43	4	280	-191
