# gene	views	view_delta	view_rank	view_rank_delta
NTRK2	43	4	281	-192
MDM2	43	-30	282	46
OCA2	43	5	283	-203
FGF2	43	-23	284	18
RELN	42	3	285	-184
ABL1	42	-17	286	-17
FAAH	42	4	287	-192
UCP1	42	-1	288	-139
PTPRC	42	-99	289	178
BGLAP	42	-40	290	89
NFKBIA	42	-4	291	-101
CHRM3	42	-35	292	73
ALK	42	2	293	-169
ADORA2A	42	9	294	-264
CCND1	42	-22	295	16
JAK2	42	-35	296	75
CCL4	41	-51	297	118
F9	41	-22	298	16
CD69	41	-49	299	117
HGF	41	-7	300	-76
CREBBP	41	-10	301	-56
SERPING1	41	-34	302	74
ADRA2A	41	-5	303	-90
HLA-A	41	-17	304	-9
HSPA5	41	-21	305	14
GLP1R	41	-13	306	-29
LIPF	40	-27	307	49
NR3C2	40	1	308	-162
IRS1	40	-23	309	24
EIF4E	40	20	310	-571
ACTB	40	-24	311	33
CXCL1	39	-32	312	70
NOS3	39	-2	313	-129
SELP	39	-1	314	-144
MBL2	39	-12	315	-41
ELANE	39	-14	316	-27
TARDBP	39	-15	317	-19
Glucose-6-phosphate isomerase	38	-22	318	21
A2M	38	-16	319	-11
BCHE	38	-5	320	-105
PRKN	38	-7	321	-78
DRD4	38	-11	322	-52
PGR	38	-23	323	30
IL5	38	-22	324	25
ADORA1	38	6	325	-243
PIEZO1	38	-28	326	61
PPARD	38	6	327	-246
TSLP	38	-17	328	0
COL1A1	37	-14	329	-29
RUNX1	37	12	330	-387
SYP	37	-16	331	-10
FGF23	37	-29	332	69
CD40LG	37	-22	333	29
DMRT1	37	9	334	-311
RAN	37	-9	335	-61
RPE65	37	21	336	-760
CD44	36	-117	337	245
FCGRT	36	-32	338	83
CYP17A1	36	22	339	-847
MYCN	36	0	340	-167
TAS2R38	36	-40	341	115
THCYTX	36	-16	342	-10
HRH3	35	-14	343	-25
TXN	35	-43	344	133
CR1	35	2	345	-200
DDX58	35	-2	346	-145
TMPRSS2	35	-19	347	13
VDR	34	-21	348	29
CYP11A1	34	-28	349	60
CSF1	34	-36	350	103
CD36	34	-30	351	75
IL13	34	-21	352	28
IL17A	34	-2	353	-156
FTO	34	-33	354	93
RPS6KB1	34	-17	355	-5
PAX3	34	-1	356	-170
OPRD1	34	1	357	-205
NOG	34	-1	358	-169
MTR	33	-8	359	-82
FH	33	-36	360	108
ADAR	33	-34	361	104
FOXO3	33	-14	362	-23
FNDC5	33	4	363	-256
SOD1	33	-32	364	95
EIF2AK2	33	-9	365	-72
EPAS1	33	-6	366	-108
HLA-DRB1	33	-13	367	-30
PARP1	32	-17	368	-1
MET	32	-33	369	102
PAH	32	-32	370	95
ACAN	32	-3	371	-145
MGMT	32	2	372	-227
CD55	32	-18	373	10
IGF1R	32	-13	374	-30
TGM2	32	-25	375	60
PRDM1	32	-1	376	-181
C9orf72	32	-21	377	32
IL33	32	-22	378	41
FAS	31	-51	379	179
ATP7B	31	9	380	-425
DRD3	31	-20	381	26
FGF21	31	-12	382	-47
IGF2	31	-7	383	-98
HRAS	31	-10	384	-63
TBP	31	-47	385	168
HLA-B	31	-29	386	86
JDP2	31	28	387	-3691
LGALS3	31	-27	388	74
CAMP	31	-21	389	38
F12	30	-13	390	-32
PF4	30	-34	391	117
UMOD	30	-16	392	1
SOX2	30	-30	393	95
PTK2	30	-12	394	-42
ABCC2	30	7	395	-382
PTPN11	30	-1	396	-185
VCAM1	30	-45	397	168
FANCE	30	-8	398	-84
FOXO1	30	-13	399	-31
SCN9A	30	-10	400	-64
LOX	29	-5	401	-127
ALDOA	29	-8	402	-86
KITLG	29	-3	403	-161
TIGIT	29	-23	404	58
HRH4	29	-6	405	-116
THBD	29	-20	406	35
CYP27B1	29	1	407	-234
SNAP25	29	7	408	-405
DNASE1	29	-25	409	77
IL15	29	-26	410	83
CFH	29	-30	411	105
ANXA5	29	-45	412	179
CYP3A	29	-4	413	-148
IL1RN	29	-22	414	53
SMARCC1	29	27	415	-4934
PSEN1	29	-1	416	-197
CBS	28	13	417	-689
CXCL12	28	-28	418	101
ZBTB7A	28	-12	419	-40
CD22	28	-13	420	-24
CD86	28	-36	421	144
TRPV4	28	-5	422	-129
IL3	28	-13	423	-23
ABO	28	3	424	-294
AGTR1	28	-24	425	76
IL18	28	-53	426	222
GDF15	28	-22	427	61
PRC1	28	17	428	-1081
GHSR	28	-9	429	-66
CETP	27	-8	430	-84
PNMT	27	-11	431	-47
GBE1	27	-23	432	68
HMGB1	27	-35	433	143
RBFOX3	27	-28	434	112
CD47	27	-36	435	151
VEGFA	27	-6	436	-112
CALR	27	-25	437	90
LCAT	27	-6	438	-111
AICDA	27	-2	439	-182
RELA	27	-22	440	67
HSPD1	27	-17	441	27
TFPI	27	-14	442	-6
H2AX	27	-8	443	-82
FGFR3	27	-18	444	33
AGER	27	1	445	-263
CDK5	27	15	446	-1005
LPO	26	-3	447	-167
IL2RA	26	-33	448	146
CANX	26	-28	449	120
SERPINA6	26	-10	450	-50
CD81	26	-4	451	-147
MBP	26	-27	452	112
LRP1	26	-4	453	-148
HTR1B	26	-11	454	-39
PROS1	26	4	455	-353
PVALB	26	-7	456	-94
SP1	26	-9	457	-66
YAP1	26	-19	458	55
CASP1	26	-35	459	165
AIF1	26	-29	460	134
NES	26	-19	461	53
OPRL1	26	3	462	-323
MLH1	26	-8	463	-75
NOTCH1	26	0	464	-243
BCR	25	-44	465	214
PLN	25	-38	466	185
CD33	25	-15	467	13
VCL	25	-8	468	-78
ALDOB	25	0	469	-245
HEPH	25	-1	470	-216
THY1	25	-24	471	101
IDO1	25	-26	472	113
VHL	25	-18	473	45
SOD2	25	-25	474	109
AGRP	25	-14	475	3
GRB2	25	-8	476	-79
ATRX	25	6	477	-440
MGP	25	12	478	-818
IL4R	25	-3	479	-169
PAX6	25	-19	480	59
ROS1	25	-16	481	29
SQSTM1	25	-17	482	43
STING1	25	0	483	-249
LIF	24	-22	484	94
LIPC	24	1	485	-286
HBD	24	-6	486	-110
HSPG2	24	-1	487	-228
CD2	24	-20	488	75
PNLIP	24	-7	489	-88
ESR2	24	3	490	-361
HBA1	24	-8	491	-76
CSF1R	24	-16	492	31
BMP4	24	-24	493	115
RUNX2	24	-16	494	31
HRG	24	7	495	-530
CYP7A1	24	-9	496	-63
CA2	24	6	497	-471
CHEK2	24	-15	498	23
PAPSS1	24	23	499	-6375
CFP	24	-5	500	-133
CYP2C8	24	3	501	-363
PRKDC	24	-13	502	5
SIRT6	24	-4	503	-155
ADAM22	24	2	504	-334
DES	23	-19	505	71
CD63	23	-7	506	-91
NF2	23	-3	507	-177
DBH	23	-11	508	-23
CD27	23	-55	509	294
FOLH1	23	-8	510	-66
CASR	23	-8	511	-69
IFIH1	23	-15	512	32
AVPR1A	23	1	513	-301
FGF1	23	5	514	-444
IL7	23	-24	515	128
KLRK1	23	-31	516	185
TNFRSF17	23	-19	517	79
KMT2A	23	-25	518	138
HNF4A	23	8	519	-629
CDC42	23	-20	520	87
SLC2A5	23	-22	521	109
TREM2	23	-36	522	212
GSDMD	23	-11	523	-18
CBX2	23	11	524	-921
LGR5	23	-4	525	-154
RAD51	22	-11	526	-18
MEN1	22	-8	527	-66
GBA	22	-8	528	-66
ACP3	22	-18	529	69
TNFRSF11A	22	-9	530	-49
MMUT	22	4	531	-423
CCKBR	22	4	532	-425
IL2RG	22	-1	533	-246
PIK3CA	22	-7	534	-91
CYP3A5	22	5	535	-480
ABCG2	22	5	536	-487
JCHAIN	22	0	537	-283
IGFBP3	22	-8	538	-67
TGFA	22	-7	539	-92
TNFRSF9	22	-38	540	239
ANXA1	22	-5	541	-129
CES1	22	-6	542	-108
APOC2	22	-3	543	-186
XBP1	22	-3	544	-186
SLC52A2	22	-12	545	5
TMEM97	22	3	546	-397
ERAP2	22	-2	547	-219
UOX	22	-12	548	5
SELE	21	-14	549	34
FCER2	21	-16	550	60
GGCX	21	-18	551	83
BACE1	21	-20	552	109
PRG2	21	2	553	-355
MAP2	21	-6	554	-107
SLC5A1	21	-7	555	-87
SOST	21	-23	556	140
TCN1	21	-6	557	-108
GATA2	21	-1	558	-258
EZH2	21	-35	559	241
HEXA	21	-5	560	-133
GNAQ	21	8	561	-726
ERN1	21	11	562	-1067
CASP9	21	-4	563	-162
STAT1	21	-5	564	-134
TIMP1	21	-22	565	134
MTRR	21	9	566	-839
CDH13	21	2	567	-360
APOC3	21	-5	568	-131
HLA-DQB1	21	5	569	-520
MYB	21	-23	570	151
GDNF	21	-11	571	1
MALT1	21	0	572	-296
MAP1LC3B	21	-6	573	-105
ASL	20	-4	574	-160
CDK1	20	-17	575	86
CD9	20	-9	576	-40
TKTL1	20	-20	577	120
CXCL9	20	-22	578	143
MC4R	20	-16	579	76
KCNJ1	20	-10	580	-22
NOD2	20	-4	581	-165
RAC1	20	-15	582	60
RHOA	20	-8	583	-60
LCK	20	-16	584	78
EP300	20	-11	585	3
ACTA2	20	-26	586	192
GATA3	20	-25	587	181
DYRK1A	20	6	588	-614
UNG	20	-29	589	214
NTF3	20	1	590	-329
STK11	20	-10	591	-13
IDH1	20	-9	592	-40
PALLD	20	0	593	-301
CASP8	20	-7	594	-75
LTA	20	-3	595	-191
TP63	20	-24	596	176
LAMP2	20	6	597	-626
S100B	20	-12	598	26
CD163	20	-41	599	303
TBX21	20	-8	600	-57
PIGR	20	-1	601	-269
ITGAX	19	-11	602	11
ATR	19	-11	603	11
FECH	19	4	604	-503
TNFSF13B	19	-34	605	266
SQLE	19	4	606	-503
CXCR5	19	-19	607	130
MMP3	19	-12	608	33
AGRN	19	-6	609	-104
CD24	19	-14	610	63
PLK1	19	3	611	-444
LRRK2	19	-13	612	47
CXCL13	19	-24	613	187
MYOD1	19	-33	614	266
OCLN	19	-26	615	214
ITGB1	19	-4	616	-160
CRBN	19	-30	617	245
RORA	19	9	618	-977
ALPP	19	-4	619	-159
ALPL	19	2	620	-393
FKBP5	19	-10	621	-6
EPOR	19	-2	622	-234
ZAP70	19	-10	623	-6
GPLD1	19	6	624	-666
ACADS	19	11	625	-1327
HLA-E	19	-17	626	118
TJP1	19	-14	627	67
SLC5A2	19	-19	628	143
HNMT	19	-12	629	42
TYK2	19	-18	630	134
PIM1	19	-3	631	-196
SCN10A	19	-2	632	-233
BRD4	19	-32	633	271
BATF	19	8	634	-894
PDGFRA	19	-21	635	168
SLC7A11	19	-9	636	-20
VCX	19	10	637	-1230
PLIN1	18	-8	638	-45
CD59	18	-6	639	-100
MOG	18	-5	640	-132
HDC	18	-2	641	-235
RNASE3	18	-14	642	76
RAF1	18	-27	643	243
PPAT	18	4	644	-545
MFN2	18	-11	645	21
TAFAZZIN	18	6	646	-726
ADRA1A	18	-8	647	-42
EIF4EBP1	18	-9	648	-15
BMP2	18	-16	649	112
HLA-C	18	-6	650	-104
BBC3	18	3	651	-489
ACP5	18	-22	652	187
CD5	18	-32	653	286
FLT3	18	-25	654	222
DCX	18	-1	655	-271
IRF4	18	-13	656	70
CDK4	18	-8	657	-43
FGFR1	18	4	658	-566
FMO3	18	8	659	-1008
KLF2	18	9	660	-1160
PML	18	-11	661	27
EDAR	18	-2	662	-238
PDPK1	18	-10	663	8
CDT1	18	0	664	-322
SPN	17	1	665	-385
ABCA1	17	-1	666	-279
OTC	17	-17	667	138
ITGAM	17	-46	668	385
TSPO	17	-7	669	-68
SCARB1	17	-2	670	-236
CXCL5	17	-17	671	139
HK2	17	3	672	-511
HPX	17	-17	673	140
FXN	17	-12	674	54
TSC1	17	-4	675	-175
NID1	17	-5	676	-133
TNFRSF8	17	-7	677	-72
NR1D1	17	6	678	-799
EGR1	17	-17	679	145
MMP2	17	-41	680	368
CYBB	17	-16	681	129
CD209	17	-19	682	177
CYP27A1	17	9	683	-1247
ACVR1	17	-8	684	-36
NR1H4	17	-27	685	268
GCGR	17	-12	686	58
IL16	17	-3	687	-200
ICOS	17	-11	688	41
PTCH1	17	4	689	-602
RARA	17	-6	690	-91
TGFB2	17	5	691	-702
IHH	17	-2	692	-232
CTSB	17	-23	693	227
CYP1A1	17	-11	694	43
LAMP1	17	-28	695	285
LCN2	17	-24	696	246
NPPC	17	-2	697	-234
RORC	17	-24	698	247
ATG5	17	1	699	-392
ADAM12	17	3	700	-527
SMN1	17	-10	701	26
AXIN2	17	4	702	-610
PAX7	17	-13	703	94
POLG	17	-9	704	0
SLC10A1	17	-2	705	-232
SIRT3	17	-10	706	30
GNE	17	15	707	-4871
PALB2	17	-9	708	2
GAL	16	-1	709	-279
AGL	16	-19	710	197
TNFSF10	16	-14	711	116
FCGR1A	16	-27	712	288
CCL11	16	6	713	-855
WAS	16	-18	714	184
CD52	16	-24	715	260
HBA2	16	6	716	-855
BIRC5	16	-10	717	32
HSD11B1	16	3	718	-541
SLC4A1	16	-9	719	3
SRD5A2	16	8	720	-1188
MUTYH	16	-3	721	-191
CCNA2	16	12	722	-2472
NTRK1	16	-17	723	167
GLI1	16	-5	724	-129
UGT1A1	16	2	725	-472
CTSD	16	-10	726	35
FADD	16	-10	727	35
NEB	16	-5	728	-131
CNTF	16	2	729	-477
PTGER3	16	0	730	-345
HTR6	16	-9	731	10
RAG1	16	-14	732	126
CALB2	16	-32	733	352
INSL3	16	-11	734	66
SDC1	16	-22	735	251
OPN1LW	16	1	736	-408
CX3CR1	16	-37	737	393
IKBKB	16	-7	738	-51
RYR2	16	-6	739	-87
APOBEC3G	16	-12	740	88
SDHB	16	-4	741	-157
PON1	16	6	742	-942
SLC9A3	16	-6	743	-90
PINK1	16	-13	744	108
MGAM	16	-14	745	134
IL6ST	15	-11	746	65
TSHR	15	-21	747	248
FAH	15	0	748	-357
BAD	15	-2	749	-243
CXCR3	15	-32	750	368
VTN	15	-13	751	113
SMAD4	15	4	752	-706
GPX4	15	-10	753	42
NPHS2	15	8	754	-1330
ASIP	15	-6	755	-90
CYP21A2	15	-20	756	238
IL21	15	-15	757	157
EPCAM	15	-21	758	256
NPHS1	15	-8	759	-14
CCL3	15	-36	760	406
FCGR2B	15	-9	761	19
ATF4	15	-6	762	-85
CCL17	15	-8	763	-11
PDPN	15	-3	764	-188
PIEZO2	15	-5	765	-114
CCL19	15	-4	766	-144
HSPE1	15	3	767	-594
RXRA	15	-1	768	-295
ANG	15	-4	769	-144
SLC12A3	15	-13	770	126
STMN1	15	-5	771	-112
AVPR2	15	-7	772	-43
ADAM10	15	-1	773	-295
CDX2	15	0	774	-353
ALAD	15	-17	775	206
BCAT1	15	-30	776	369
EEF2	15	-7	777	-41
S1PR1	15	-6	778	-79
EMP3	15	2	779	-505
THBS1	15	-9	780	24
HTR5A	15	12	781	-3223
IFNA1	15	7	782	-1179
IL22	15	-30	783	374
TCHH	15	3	784	-615
MNDA	15	10	785	-2050
ND3	15	5	786	-863
MSH2	15	-32	787	399
IRF5	15	4	788	-720
TRADD	15	-5	789	-107
GATA1	15	-12	790	116
PDE4B	15	6	791	-1037
GPR55	15	-3	792	-190
NUMB	15	-14	793	158
CROT	15	8	794	-1510
PNPLA3	15	-8	795	-4
F11	14	-6	796	-75
GC	14	-9	797	28
C5	14	-12	798	116
MUC16	14	-5	799	-106
BSG	14	-6	800	-72
VGF	14	-3	801	-193
HLA-G	14	-7	802	-42
PRTN3	14	2	803	-538
FYN	14	1	804	-449
ERBB2	14	-10	805	64
DHH	14	2	806	-542
DROSHA	14	-14	807	168
CD1A	14	0	808	-377
COL17A1	14	-1	809	-305
GALT	14	-4	810	-143
JAK3	14	-10	811	63
PMEL	14	-7	812	-37
NR1I2	14	-22	813	309
NT5E	14	-15	814	192
CAV1	14	-3	815	-189
CD247	14	-8	816	4
AKR1C4	14	0	817	-375
EEF1A1	14	-2	818	-246
TCOF1	14	8	819	-1571
VCAN	14	-7	820	-34
NGFR	14	-13	821	157
CTSC	14	5	822	-937
GAA	14	-5	823	-93
AXL	14	-15	824	198
BNIP3	14	10	825	-2425
DMPK	14	-12	826	136
FGR	14	4	827	-793
PMCH	14	-9	828	48
NR1I3	14	4	829	-794
SERPINA3	14	9	830	-1975
MCL1	14	-4	831	-134
MAP2K1	14	7	832	-1317
HTR1D	14	-11	833	111
ARNTL	14	-11	834	110
CCN2	14	-6	835	-56
IL6R	14	-9	836	53
TERC	14	-9	837	53
GDF11	14	-14	838	189
RHD	14	-2	839	-245
NEFL	14	-6	840	-55
IKBKG	14	-10	841	82
MYBPC3	14	-8	842	17
TRAF6	14	-3	843	-194
IRF3	14	-17	844	256
HDAC1	14	-5	845	-84
SOX10	14	-4	846	-130
STAT6	14	-5	847	-87
NRAS	14	-2	848	-247
TNFRSF13B	14	2	849	-570
SF1	14	7	850	-1431
NAMPT	14	-9	851	53
ERVW-1	14	-8	852	17
CYBRD1	14	8	853	-1799
ANGPTL3	14	2	854	-588
COX14	14	14	855	-11059
GATA5	14	2	856	-592
POR	13	-8	857	15
SI	13	2	858	-594
APAF1	13	0	859	-391
CCR2	13	-16	860	245
TYRP1	13	-11	861	126
CD74	13	-42	862	542
GHR	13	2	863	-593
HNF1B	13	0	864	-393
TNFRSF1A	13	-22	865	346
ENO2	13	-9	866	59
SV2A	13	-6	867	-44
DDR1	13	-11	868	118
MT-RNR2	13	3	869	-724
KRT1	13	-11	870	119
CHRM4	13	-20	871	318
TP73	13	5	872	-1048
ARNT	13	-1	873	-321
CACNA1C	13	-3	874	-195
CTSK	13	-2	875	-255
HSD11B2	13	7	876	-1531
APOA4	13	-5	877	-82
RERE	13	10	878	-3012
SMAD2	13	7	879	-1533
FANCD2	13	4	880	-887
GSTP1	13	0	881	-398
GATA4	13	1	882	-505
IL31	13	-8	883	25
PRLR	13	-7	884	-5
MMP13	13	-5	885	-81
LEPR	13	-18	886	303
MCPH1	13	-13	887	191
MAF	13	4	888	-899
CDKL5	13	0	889	-406
IL25	13	-9	890	68
TNFRSF4	13	-18	891	307
INHBB	13	-6	892	-31
PDX1	13	-5	893	-77
GIPR	13	-13	894	197
APOH	13	3	895	-761
ZP3	13	-3	896	-191
CD200	13	-14	897	226
MIF	13	-14	898	226
MTAP	13	-8	899	37
JAK1	13	-11	900	138
TRAF2	13	7	901	-1614
PIN1	13	3	902	-772
CRIPT	13	12	903	-6193
KCNMB1	13	9	904	-2532
PAX5	13	-9	905	75
NR1H3	13	8	906	-2070
SLC22A6	13	-6	907	-31
SPINK5	13	-13	908	203
SSR2	13	12	909	-6663
SRD5A1	13	4	910	-947
PARK7	13	2	911	-631
SIN3A	13	7	912	-1734
RSPO1	13	2	913	-642
MITF	12	-9	914	71
RETN	12	-16	915	278
ITGB2	12	-8	916	42
NPC1L1	12	-13	917	205
CXCL2	12	-17	918	300
PFKM	12	2	919	-661
CPT2	12	-15	920	260
HMOX1	12	-9	921	73
LRP2	12	2	922	-664
MUC1	12	4	923	-979
GAS6	12	-10	924	114
PRKCZ	12	6	925	-1449
AREG	12	-17	926	303
POLR2A	12	-6	927	-29
CHRNA1	12	9	928	-2923
ATP7A	12	7	929	-1815
ADRA2C	12	1	930	-552
ADRA1B	12	0	931	-439
CCNB1	12	-21	932	378
NQO1	12	-5	933	-81
CYP51A1	12	-6	934	-27
CYP11B2	12	0	935	-451
ELK1	12	-4	936	-137
HDAC2	12	4	937	-1012
GYPA	12	-8	938	50
FOXO4	12	-3	939	-199
ATP6	12	6	940	-1531
CD99	12	-5	941	-85
ADAM17	12	-6	942	-25
HSF1	12	-9	943	82
MPL	12	-7	944	19
TAPBP	12	-6	945	-26
ND1	12	-19	946	361
PTGFR	12	-1	947	-354
PROM1	12	-12	948	190
SOCS3	12	-5	949	-85
IKZF1	12	-6	950	-25
MAP3K5	12	3	951	-865
NPM1	12	-12	952	189
SERPINF1	12	-7	953	21
P2RX7	12	-14	954	252
