# gene	views	view_rank
CRP	939	1
TEX9	912	2
AVP	908	3
EPO	865	4
TTN	586	5
GCG	524	6
TNF	485	7
PTH	469	8
TP53	456	9
LEP	440	10
IGF1	436	11
HTR2A	420	12
ALB	408	13
CYP3A4	402	14
GPT	394	15
MTOR	389	16
SST	387	17
MB	379	18
CD274	360	19
MYC	337	20
CYP2D6	321	21
BDNF	313	22
EGFR	310	23
AGT	288	24
VWF	288	25
IL2	282	26
KRAS	281	27
CD4	277	28
AMH	276	29
APOE	275	30
RHO	272	31
CCK	269	32
CALCA	268	33
PLAT	267	34
GNRH1	266	35
REN	259	36
SHBG	259	37
MAOA	258	38
KEL	258	39
ACHE	257	40
HTR1A	257	41
LCT	255	42
MKI67	254	43
IL6	251	44
BRCA1	249	45
CCR5	247	46
PDCD1	242	47
F2	241	48
ABCB1	241	49
ADRB2	237	50
CDKN2A	232	51
AR	231	52
F8	231	53
CRH	229	54
HP	229	55
TRPV1	229	56
DRD2	228	57
SNCA	226	58
CTLA4	223	59
MSTN	223	60
MAPT	223	61
BCL2	220	62
LTF	216	63
KLK3	214	64
SLC6A4	203	65
OR6A2	202	66
BRAF	199	67
ADRB1	197	68
PCSK9	196	69
AFP	194	70
HMGCR	192	71
APOB	189	72
GAST	187	73
RB1	186	74
CYP19A1	185	75
TG	175	76
CBLIF	172	77
GIP	172	78
CP	170	79
IL1B	170	80
ACE	168	81
CD38	166	82
TF	165	83
OPRM1	165	84
SLC6A3	161	85
HIF1A	160	86
HTR2C	159	87
LPA	158	88
GAPDH	157	89
HAMP	157	90
CD19	154	91
IL4	154	92
VIP	153	93
B2M	150	94
SIGMAR1	150	95
HRH1	150	96
CD163	150	97
CD44	149	98
MTHFR	149	99
POMC	148	100
CD34	148	101
CXCL8	148	102
ACE2	148	103
EGF	146	104
SRC	145	105
DNTT	144	106
PPARG	143	107
CSF2	142	108
FOXP2	142	109
MS4A1	142	110
CDKN1A	140	111
CYP2C19	140	112
ABCC11	139	113
TNFSF11	139	114
NGF	139	115
KISS1	139	116
IL10	138	117
CFTR	137	118
CYCS	135	119
MPO	134	120
FN1	134	121
OPRK1	134	122
NPY	133	123
KIT	132	124
PTPRC	129	125
CASP3	129	126
G6PD	128	127
FASLG	128	128
CNR1	127	129
SERPINC1	127	130
NR3C1	126	131
SHH	125	132
SERPINA1	124	133
ICAM1	123	134
AHR	121	135
OPRD1	121	136
F3	120	137
ADIPOQ	120	138
PROC	120	139
NFE2L2	120	140
INSR	119	141
ELN	119	142
PTEN	118	143
CSH1	117	144
CYP1A2	117	145
DMD	116	146
BRCA2	115	147
SLC6A2	114	148
F10	113	149
TTR	113	150
IAPP	113	151
APC	112	152
KCNH2	112	153
CSF3	110	154
PLG	109	155
ACKR1	109	156
FST	108	157
ADRB3	108	158
CCL2	107	159
CTCF	106	160
LPL	105	161
GNAS	105	162
GHRH	105	163
TGFB1	105	164
CD40	104	165
DPP4	102	166
APP	101	167
TARDBP	101	168
CD68	100	169
PPARGC1A	100	170
CDC16	100	171
ABL1	99	172
PECAM1	99	173
MYCN	99	174
TAAR1	99	175
THPO	98	176
MET	98	177
DHFR	98	178
MAOB	98	179
CD28	97	180
CFH	97	181
CXCR4	96	182
ALDH2	95	183
IL13	95	184
CCL5	94	185
CD14	93	186
PCNA	93	187
CDK2	93	188
EGFLAM	93	189
NF1	92	190
TMSB4X	91	191
C3	91	192
CST3	90	193
TH	90	194
CHRM1	90	195
FURIN	90	196
BTK	89	197
ADAMTS13	89	198
PYY	88	199
PTGS2	88	200
FGF23	88	201
SELL	87	202
HBB	87	203
ACTA2	87	204
GFAP	86	205
MC1R	85	206
HFE	85	207
VIM	84	208
MME	84	209
DICER1	84	210
MECP2	84	211
FLG	83	212
CXCL10	83	213
CYP2C9	83	214
POU5F1	83	215
SOX2	83	216
FAS	82	217
PTHLH	82	218
HTR2B	82	219
IL15	82	220
CPT1A	82	221
CCND1	82	222
FOSB	81	223
PPP1R1B	81	224
LIPE	80	225
CXCL1	80	226
NLRP3	80	227
STAT3	80	228
BGLAP	79	229
CHGA	79	230
CCL4	78	231
SPP1	78	232
LDLR	78	233
HTT	78	234
CD69	78	235
SLC18A2	78	236
P2RY12	78	237
HECW2	78	238
JAK2	77	239
PC	76	240
THY1	76	241
GCK	75	242
SERPINE1	75	243
CD80	75	244
COX1	75	245
SOD1	75	246
HLA-A	75	247
GSR	74	248
DRD4	74	249
LGALS3	74	250
PPY	73	251
SERPING1	73	252
RELA	72	253
LALBA	72	254
EZH2	72	255
MMP9	72	256
ATM	71	257
FOXP3	71	258
CD47	71	259
Glucose-6-phosphate isomerase	70	260
PF4	70	261
MBP	70	262
HMGB1	70	263
FGF21	70	264
ADORA2A	70	265
ADA	69	266
OCA2	69	267
IDO1	68	268
TRPA1	68	269
VCAM1	68	270
HTR4	68	271
CD36	67	272
PTGS1	67	273
MLH1	67	274
FGF2	67	275
DRD1	66	276
GLP1R	66	277
IGF1R	65	278
MDM2	65	279
GDF15	65	280
CD63	64	281
FCGRT	64	282
CHRM3	64	283
CCR7	64	284
NTRK2	64	285
TERT	64	286
TYK2	64	287
TXN	63	288
SIRT1	63	289
PRKCZ	63	290
IL5	63	291
CREBBP	62	292
PGR	62	293
CSF1R	62	294
ADORA1	62	295
IL18	62	296
TNS2	62	297
HRH3	61	298
SERPINA7	61	299
RBFOX3	61	300
OPN4	61	301
MYD88	61	302
HTR7	61	303
PPARA	61	304
SIRPA	61	305
CS	60	306
F9	60	307
FCGR1A	60	308
CSF1	60	309
NR3C2	60	310
CASR	60	311
AKT1	60	312
PARP1	59	313
IL2RA	59	314
F5	59	315
ITGAM	59	316
TNFSF13B	59	317
AIRE	59	318
NFKBIA	59	319
SOX9	59	320
SREBF1	59	321
LIF	58	322
PPARD	58	323
IL33	58	324
BCR	57	325
PLAU	57	326
VDR	57	327
CD74	57	328
ACTB	57	329
PIEZO1	57	330
CAMP	57	331
PLN	56	332
TYMS	56	333
DRD3	56	334
KLRK1	56	335
THBS1	56	336
OXTR	56	337
ANXA5	56	338
HRH2	55	339
ADRA2A	55	340
IL7	55	341
TGM2	55	342
H2AX	55	343
CYP2B6	55	344
CXCL12	54	345
DDX58	54	346
CD27	54	347
UCP1	54	348
IL3	54	349
TNFRSF11B	53	350
RNASEL	53	351
TBCD	53	352
TREM2	53	353
FH	52	354
CD46	52	355
HTR1B	52	356
HSPD1	52	357
GATA3	52	358
UNG	52	359
FTO	52	360
CX3CR1	52	361
ANXA1	52	362
PAX6	52	363
ADAR	51	364
MOG	51	365
HGF	51	366
EPCAM	51	367
MC4R	51	368
UMOD	51	369
PROS1	51	370
CD86	51	371
TRPM8	51	372
IGF2	51	373
TBP	51	374
TNFRSF17	51	375
GCGR	51	376
ROS1	51	377
GAL	50	378
VEGFA	50	379
CHAT	50	380
AGRP	50	381
CASP1	50	382
IL22	50	383
TP63	50	384
XIST	50	385
RET	49	386
DBH	49	387
CXCL9	49	388
PDE5A	49	389
SYP	49	390
AXL	49	391
FLT3	49	392
TNFRSF9	49	393
SLC5A2	49	394
TSLP	49	395
COL3A1	48	396
A2M	48	397
BCHE	48	398
AGTR1	48	399
BCL6	48	400
LOX	47	401
F12	47	402
MTR	47	403
FMR1	47	404
CRBN	47	405
CD209	47	406
CD40LG	47	407
ESR1	47	408
AIF1	47	409
RPS6KB1	47	410
TAS2R38	47	411
S100B	47	412
DES	46	413
KL	46	414
DLG4	46	415
CCL3	46	416
TIGIT	46	417
CHRM2	46	418
ICOS	46	419
FOXO1	46	420
HSPA5	46	421
TNFRSF4	46	422
C9orf72	46	423
SQSTM1	46	424
PAH	45	425
CDK1	45	426
CD81	45	427
NOS3	45	428
ABO	45	429
CYP2E1	45	430
EP300	45	431
LTA	45	432
NR0B1	45	433
PDGFRA	45	434
HLA-DRB1	45	435
CNR2	44	436
RUNX1	44	437
IL17A	44	438
CD5	44	439
CPS1	43	440
CXCR3	43	441
CCR2	43	442
LIPF	43	443
LRP1	43	444
CD2	43	445
ALK	43	446
CHEK2	43	447
CD33	42	448
PNMT	42	449
VHL	42	450
ELANE	42	451
RUNX2	42	452
IKZF1	42	453
GSDMD	42	454
TNFSF10	41	455
COL1A1	41	456
ITGAE	41	457
MMP2	41	458
SOD2	41	459
LCK	41	460
PTPN11	41	461
NR1H4	41	462
GH1	41	463
IDH1	41	464
GBA	40	465
AICDA	40	466
