# gene	views	view_rank
TNFRSF8	40	467
PRNP	40	468
IL11	40	469
DNASE1	40	470
TCN1	40	471
PRDM1	40	472
TFRC	40	473
CTSB	40	474
TMPRSS2	40	475
TJP1	40	476
NEFL	40	477
CLOCK	40	478
STING1	40	479
SPN	39	480
C5	39	481
KITLG	39	482
FAAH	39	483
LCAT	39	484
CD22	39	485
MAP2	39	486
RHOA	39	487
BMP2	39	488
BBC3	39	489
CDK4	39	490
KLRG1	39	491
RIPK1	39	492
ATR	38	493
MGMT	38	494
SELP	38	495
CALR	38	496
AVPR1A	38	497
ADAM17	38	498
LAMP1	38	499
EDAR	38	500
SLC2A5	38	501
HNF1A	38	502
ADAM22	38	503
AGER	38	504
PLIN1	37	505
HLA-G	37	506
ACAN	37	507
CD9	37	508
GPX4	37	509
MBL2	37	510
PNPLA2	37	511
RAF1	37	512
CLU	37	513
BMP4	37	514
NES	37	515
RAN	37	516
FGFR3	37	517
SMO	37	518
ALDOA	36	519
NANOG	36	520
CXCR5	36	521
CYP17A1	36	522
CLPS	36	523
IRS1	36	524
ADRA1A	36	525
AVPR2	36	526
YAP1	36	527
MCL1	36	528
HOXD13	36	529
CD99	36	530
HLA-B	36	531
MIF	36	532
SOX10	36	533
PAX3	36	534
PAX7	36	535
SSTR2	36	536
CANX	35	537
FAP	35	538
FOXO3	35	539
GGCX	35	540
CD55	35	541
NOD2	35	542
PNLIP	35	543
OCLN	35	544
UBE3A	35	545
KMT2A	35	546
GIPR	35	547
SDC1	35	548
MCAM	35	549
CYP1A1	35	550
RPE65	35	551
UOX	35	552
F11	34	553
TYRP1	34	554
PLP1	34	555
ATP7B	34	556
LRRK2	34	557
HRH4	34	558
SLC5A1	34	559
MUTYH	34	560
SLC12A3	34	561
EIF2AK2	34	562
CYP3A5	34	563
HLA-C	34	564
FADD	34	565
STK11	34	566
HLA-E	34	567
SMARCA4	34	568
VCP	34	569
BID	34	570
OTC	33	571
BIRC5	33	572
GBE1	33	573
HK2	33	574
SELPLG	33	575
HRAS	33	576
CDC20	33	577
CNTF	33	578
IGFBP3	33	579
CD276	33	580
CD200	33	581
HNMT	33	582
IRF3	33	583
LCN2	33	584
RN7SL1	33	585
RORC	33	586
KEAP1	33	587
NAMPT	33	588
DKK1	33	589
ENG	33	590
XIAP	33	591
RAD51	32	592
POR	32	593
TPMT	32	594
CD70	32	595
VCL	32	596
FCER2	32	597
SV2A	32	598
EIF4E	32	599
ALDH1A1	32	600
ACP5	32	601
IL6R	32	602
IL4R	32	603
STAT1	32	604
DCX	32	605
TACR1	32	606
MYB	32	607
NRG1	32	608
NPM1	32	609
APOC2	32	610
SCN10A	32	611
PMS2	32	612
ERVW-1	32	613
HAVCR2	32	614
NOG	32	615
ITGAX	31	616
CETP	31	617
SELE	31	618
CD59	31	619
MMP3	31	620
CD24	31	621
CEACAM5	31	622
TNFRSF1A	31	623
BACE1	31	624
CXCL13	31	625
NR1I2	31	626
PVALB	31	627
IFIH1	31	628
RAC1	31	629
GRB2	31	630
SOST	31	631
CEBPB	31	632
F2RL1	31	633
EEF2	31	634
ZAP70	31	635
RAG1	31	636
CASP9	31	637
LFNG	31	638
CFP	31	639
TBX21	31	640
SLC52A2	31	641
TMEM97	31	642
MALAT1	31	643
CFB	31	644
CDKN1B	31	645
CDK5	31	646
MEN1	30	647
ITGB2	30	648
CYP21A2	30	649
RELN	30	650
KCNJ1	30	651
AREG	30	652
EGR1	30	653
MLANA	30	654
TNC	30	655
TGFA	30	656
TEAD1	30	657
CASP8	30	658
MAPK1	30	659
APOC3	30	660
HLA-DQB1	30	661
NR5A1	30	662
GATA1	30	663
POSTN	30	664
APLN	29	665
ABCA1	29	666
BAD	29	667
CD52	29	668
CR1	29	669
CR2	29	670
IFNGR1	29	671
CXCL5	29	672
GRM5	29	673
PLK1	29	674
PMEL	29	675
CRHR1	29	676
UGT1A1	29	677
PTCH1	29	678
IGH	29	679
CALB2	29	680
MADCAM1	29	681
SCN9A	29	682
TIMP1	29	683
FGFR2	29	684
FUS	29	685
STAT6	29	686
PINK1	29	687
DCN	29	688
IL1RL1	28	689
ERBB2	28	690
IL21	28	691
CXCL2	28	692
ERFE	28	693
IL3RA	28	694
MYOD1	28	695
ITGB1	28	696
ESR2	28	697
CEBPA	28	698
NGFR	28	699
GRIN2B	28	700
GDF11	28	701
LRP5	28	702
CYP3A	28	703
FGFR1	28	704
MSLN	28	705
LHCGR	28	706
P2RX7	28	707
KDR	28	708
BRD4	28	709
PRKDC	28	710
TNFSF13	28	711
SIRT6	28	712
BTLA	28	713
SYK	27	714
FOLH1	27	715
CYP11B1	27	716
NT5E	27	717
IL9	27	718
CYP2A6	27	719
WRN	27	720
EIF4EBP1	27	721
CTSK	27	722
ATF3	27	723
GATA2	27	724
ABCG2	27	725
HTR1D	27	726
OPRL1	27	727
MSH2	27	728
TRADD	27	729
TNXB	27	730
PGF	27	731
NRAS	27	732
NRF1	27	733
PAX5	27	734
POLB	27	735
PDPK1	27	736
OLIG2	27	737
TOMM20	27	738
TSHR	26	739
SMAD4	26	740
SCARB1	26	741
C5AR1	26	742
SRF	26	743
ATF4	26	744
CD1A	26	745
ACP3	26	746
CHEK1	26	747
ABCA12	26	748
CTSD	26	749
IL16	26	750
NEB	26	751
PVR	26	752
FLT1	26	753
ARNTL	26	754
CX3CL1	26	755
PDX1	26	756
HNF4A	26	757
TRAF6	26	758
LAMP2	26	759
JAK1	26	760
GDNF	26	761
AIM2	26	762
SMN1	26	763
ULK1	26	764
YY1	26	765
APOL1	26	766
PIGR	26	767
APAF1	25	768
TAC1	25	769
RETN	25	770
NF2	25	771
SPARC	25	772
ZBTB7A	25	773
SHOX	25	774
ATXN2	25	775
PLAUR	25	776
RNASE3	25	777
GAS6	25	778
TRPV4	25	779
E2F1	25	780
TFPI	25	781
CACNA1C	25	782
ATRX	25	783
DMPK	25	784
CDK8	25	785
CAST	25	786
NPC1	25	787
GHSR	25	788
HDAC1	25	789
KLF4	25	790
XBP1	25	791
IL23A	24	792
CBS	24	793
BSG	24	794
PLA1A	24	795
CCR4	24	796
FXN	24	797
PIEZO2	24	798
NTRK1	24	799
PIK3CA	24	800
ALAD	24	801
EPAS1	24	802
HEXA	24	803
CCN1	24	804
LEPR	24	805
CYP7A1	24	806
CCN2	24	807
MSMB	24	808
PROM1	24	809
IKBKB	24	810
ENO1	24	811
SMARCB1	24	812
SLC7A11	24	813
IRAK4	24	814
PARK7	24	815
MAP1LC3B	24	816
SHANK3	24	817
LGR5	24	818
CARD11	24	819
IL6ST	23	820
AGL	23	821
HBD	23	822
FYN	23	823
GHR	23	824
CYP11A1	23	825
CCL20	23	826
CD79A	23	827
SLC4A1	23	828
PRKN	23	829
DDR1	23	830
CASP7	23	831
CIRBP	23	832
CSPG4	23	833
SNAP25	23	834
FGF1	23	835
CDX2	23	836
KIF1A	23	837
FKBP5	23	838
ERBB3	23	839
GRN	23	840
LDHA	23	841
TNFRSF13B	23	842
ICOSLG	23	843
TNFSF15	23	844
OGT	23	845
DIABLO	23	846
RSPO1	23	847
HCAR2	23	848
CFI	23	849
ACR	22	850
FAH	22	851
SERPINA6	22	852
CCL11	22	853
DLAT	22	854
VTN	22	855
ALDOB	22	856
NPHS1	22	857
CD58	22	858
LRP2	22	859
THBD	22	860
TNFRSF11A	22	861
RORA	22	862
CHRM4	22	863
EEF1A1	22	864
CYP51A1	22	865
PMCH	22	866
HARS1	22	867
GPC3	22	868
TICAM1	22	869
GAP43	22	870
CTSG	22	871
PROP1	22	872
HTR6	22	873
FFAR1	22	874
ADCYAP1	22	875
TFAM	22	876
ENPP2	22	877
PIN1	22	878
ROR1	22	879
ARID1A	22	880
EZR	22	881
MERTK	22	882
GPR55	22	883
NRP1	22	884
SF1	22	885
UNC13A	22	886
CD244	22	887
NOTCH1	22	888
LPO	21	889
ENTPD1	21	890
SI	21	891
ITGA6	21	892
CCL21	21	893
L1CAM	21	894
SLC16A1	21	895
HPX	21	896
FNDC5	21	897
PAX8	21	898
PDPN	21	899
KLRC1	21	900
MMUT	21	901
NR1D1	21	902
MFN2	21	903
ADAM10	21	904
GYPA	21	905
DRD5	21	906
GJB2	21	907
JCHAIN	21	908
MMP7	21	909
KRT8	21	910
DNMT1	21	911
MGP	21	912
KRT5	21	913
ANXA2	21	914
CD151	21	915
LTBR	21	916
FMO3	21	917
SDHB	21	918
UCP2	21	919
SIRT3	21	920
HDAC6	21	921
BCL2L11	21	922
PALB2	21	923
GC	20	924
ADM	20	925
PRTN3	20	926
TSPO	20	927
CEACAM1	20	928
GNLY	20	929
ITGA4	20	930
VEGFC	20	931
SLC25A20	20	932
CA9	20	933
TP73	20	934
ATP7A	20	935
TRHR	20	936
DYSF	20	937
FABP4	20	938
ALPL	20	939
SMAD3	20	940
IL31	20	941
FFAR2	20	942
SERPINH1	20	943
UPF1	20	944
ABCD1	20	945
TNFAIP6	20	946
ZEB2	20	947
SARM1	20	948
KDM1A	20	949
SDCBP	20	950
AXIN1	20	951
POLG	20	952
GPNMB	20	953
FGF19	20	954
IL1R2	20	955
PHGDH	20	956
TCF3	20	957
CXXC1	20	958
BCL11A	20	959
ANGPTL3	20	960
JAG1	20	961
APOD	20	962
CCR1	19	963
CD83	19	964
NR4A1	19	965
NPC1L1	19	966
CTNNB1	19	967
NKX2-1	19	968
HEPH	19	969
MC3R	19	970
MASP1	19	971
CCL17	19	972
CYBB	19	973
ZEB1	19	974
ALPP	19	975
ARNT	19	976
CTH	19	977
APCS	19	978
GABRB3	19	979
DMRT1	19	980
GNAQ	19	981
ADIPOR1	19	982
FOLR1	19	983
MAF	19	984
CDKL5	19	985
HSF1	19	986
SNAI1	19	987
RARG	19	988
RHD	19	989
TNFRSF1B	19	990
MSN	19	991
TNFAIP3	19	992
IKBKG	19	993
CDC42	19	994
MUC2	19	995
TP53BP1	19	996
MTAP	19	997
LGALS1	19	998
TRIM28	19	999
ATP13A2	19	1000
TNFSF14	19	1001
PLA2G7	19	1002
TFEB	19	1003
TNFRSF18	19	1004
CYBRD1	19	1005
PDCD1LG2	19	1006
SP7	19	1007
HJV	18	1008
ANPEP	18	1009
DROSHA	18	1010
CREB1	18	1011
MX1	18	1012
TSC2	18	1013
PTGIR	18	1014
MYOG	18	1015
GRM1	18	1016
GJA1	18	1017
MEFV	18	1018
GAA	18	1019
FEN1	18	1020
DDIT3	18	1021
GRIN1	18	1022
GSTP1	18	1023
ALOX15	18	1024
PXN	18	1025
IGFBP1	18	1026
HES1	18	1027
SFTPC	18	1028
IL26	18	1029
IL12B	18	1030
TEC	18	1031
RARRES2	18	1032
TCF7L2	18	1033
MTRR	18	1034
TGFBR1	18	1035
APOH	18	1036
XRCC1	18	1037
CSF3R	18	1038
TGFBR2	18	1039
SOCS3	18	1040
MYH1	18	1041
HOMER1	18	1042
SERPINF1	18	1043
CYP2C8	18	1044
APOBEC3G	18	1045
PIM1	18	1046
PGM1	18	1047
HBEGF	18	1048
ISG15	18	1049
SHC1	18	1050
EOMES	18	1051
PON1	18	1052
CD226	18	1053
MED12	18	1054
DLL3	18	1055
MLXIPL	18	1056
POT1	18	1057
LEF1	18	1058
WNT3A	18	1059
IL23R	18	1060
TBK1	18	1061
RNR2	17	1062
LIPC	17	1063
IDE	17	1064
DCD	17	1065
SQLE	17	1066
HDC	17	1067
GRM4	17	1068
CD37	17	1069
HMBS	17	1070
TBXA2R	17	1071
HSD11B1	17	1072
HSPG2	17	1073
GALT	17	1074
SLC25A13	17	1075
DISC1	17	1076
PTK2	17	1077
KRT19	17	1078
ABCC2	17	1079
MYH7	17	1080
DSG2	17	1081
CCNB1	17	1082
PLIN2	17	1083
ASCL1	17	1084
ACVR1	17	1085
S1PR1	17	1086
FSHR	17	1087
MECOM	17	1088
PTGER1	17	1089
MMP8	17	1090
MCHR1	17	1091
ADGRB1	17	1092
TGFB3	17	1093
INPP5D	17	1094
ANGPT1	17	1095
GRPR	17	1096
CES1	17	1097
MYBPC3	17	1098
ETV6	17	1099
IL32	17	1100
UBC	17	1101
PLCG1	17	1102
PCBP2	17	1103
POLH	17	1104
GPR75	17	1105
PYCARD	17	1106
PPIA	17	1107
PDGFRB	17	1108
TBX4	17	1109
RAB7A	17	1110
ANGPTL4	17	1111
TREX1	17	1112
MAVS	17	1113
SLC12A5	17	1114
ERAP1	17	1115
GPER1	17	1116
NCOR1	17	1117
DSP	16	1118
ASL	16	1119
PCSK1	16	1120
FOS	16	1121
NEDD8	16	1122
CYGB	16	1123
CCR6	16	1124
FOXA2	16	1125
HMOX1	16	1126
CCL18	16	1127
BMI1	16	1128
TSC1	16	1129
CCL22	16	1130
SLC5A5	16	1131
ADGRE1	16	1132
CHD1	16	1133
IL2RG	16	1134
GLI1	16	1135
VCAN	16	1136
CENPA	16	1137
EGR2	16	1138
G6PC1	16	1139
FANCE	16	1140
DYRK1A	16	1141
HLA-DRA	16	1142
BECN1	16	1143
MFGE8	16	1144
ERBB4	16	1145
FOXM1	16	1146
GPX1	16	1147
PENK	16	1148
SDHA	16	1149
BAK1	16	1150
MPL	16	1151
ISL1	16	1152
ITGB7	16	1153
EEA1	16	1154
IRF7	16	1155
TPH1	16	1156
IL1RN	16	1157
NKX3-1	16	1158
MAP3K5	16	1159
ATG5	16	1160
SPINK1	16	1161
SMN2	16	1162
PKM	16	1163
SF3B1	16	1164
PRG4	16	1165
SETDB1	16	1166
MAP3K7	16	1167
STXBP1	16	1168
ANO1	16	1169
CYSLTR1	16	1170
TREM1	16	1171
BHLHE41	16	1172
SLAMF7	16	1173
PNPLA3	16	1174
CD109	16	1175
CD200R1	16	1176
GPBAR1	16	1177
MICA	16	1178
S100A8	16	1179
MITF	15	1180
GTF2B	15	1181
MTTP	15	1182
ARG1	15	1183
GRM2	15	1184
IL1R1	15	1185
CLPX	15	1186
CLEC4E	15	1187
CD93	15	1188
PRG2	15	1189
CXCL16	15	1190
ARRB1	15	1191
PPAT	15	1192
CCL19	15	1193
FFAR4	15	1194
COMP	15	1195
CACNA1D	15	1196
CD247	15	1197
CD8A	15	1198
CCKBR	15	1199
AMACR	15	1200
CDH5	15	1201
MIR155	15	1202
ARRB2	15	1203
FPR2	15	1204
DDX3X	15	1205
ACSL4	15	1206
GPR3	15	1207
CHI3L1	15	1208
PTMA	15	1209
FLNA	15	1210
GMNN	15	1211
PTGER3	15	1212
RARA	15	1213
MMP13	15	1214
CA2	15	1215
FTH1	15	1216
INHBB	15	1217
MRC1	15	1218
ABCC1	15	1219
PRKCA	15	1220
REL	15	1221
CDH13	15	1222
CDK6	15	1223
PTGER4	15	1224
DFFB	15	1225
IRF4	15	1226
PKMYT1	15	1227
HMGB2	15	1228
FPR1	15	1229
TLR4	15	1230
FBL	15	1231
TRAF2	15	1232
CENPB	15	1233
KLF2	15	1234
S100A9	15	1235
SLC16A3	15	1236
SORT1	15	1237
EIF2AK3	15	1238
KCNK2	15	1239
SMARCA2	15	1240
VAV1	15	1241
TNKS	15	1242
SCRIB	15	1243
RAPGEF3	15	1244
TBC1D4	15	1245
PADI4	15	1246
NMNAT1	15	1247
SYN1	15	1248
CCR9	15	1249
VKORC1	15	1250
IKZF2	15	1251
MAP1LC3A	15	1252
CDT1	15	1253
VSIR	15	1254
NLRC4	15	1255
MUC5B	15	1256
DLD	14	1257
ASNS	14	1258
CACNA1S	14	1259
LYVE1	14	1260
NRGN	14	1261
GUCY2C	14	1262
TAS1R2	14	1263
VGF	14	1264
RBL1	14	1265
ITGAL	14	1266
PREP	14	1267
CEACAM8	14	1268
DAG1	14	1269
AGRN	14	1270
ENPP1	14	1271
TWIST1	14	1272
CPT2	14	1273
CALD1	14	1274
ENO2	14	1275
GRM3	14	1276
PAK1	14	1277
NADK	14	1278
TRPV3	14	1279
EDNRB	14	1280
CA12	14	1281
MAPK14	14	1282
POLR2A	14	1283
TLR9	14	1284
CYP1B1	14	1285
HSPA8	14	1286
HAPLN1	14	1287
CDKN2B	14	1288
ELAVL1	14	1289
KCNJ2	14	1290
ARSL	14	1291
CTSC	14	1292
GATA6	14	1293
GABRA2	14	1294
DNAH5	14	1295
MAX	14	1296
FOXG1	14	1297
PTPN22	14	1298
ENDOG	14	1299
HCRTR2	14	1300
GH2	14	1301
CCR10	14	1302
GP1BA	14	1303
ERG	14	1304
MDH2	14	1305
FFAR3	14	1306
TACSTD2	14	1307
BAMBI	14	1308
IL24	14	1309
CDA	14	1310
MDK	14	1311
ITGB6	14	1312
IHH	14	1313
RAB5A	14	1314
RELB	14	1315
RHEB	14	1316
MSH3	14	1317
SLC1A3	14	1318
TNNT2	14	1319
CLDN5	14	1320
CASP2	14	1321
NFKB1	14	1322
EPB41	14	1323
PTPN1	14	1324
NEDD4	14	1325
KLRB1	14	1326
AGR2	14	1327
KDM6A	14	1328
SYNGAP1	14	1329
TBR1	14	1330
HAVCR1	14	1331
TNFRSF10C	14	1332
DLK1	14	1333
DNM1L	14	1334
TAP1	14	1335
TAGLN	14	1336
SYN2	14	1337
DERL1	14	1338
PTGDR2	14	1339
VPS35	14	1340
TNFRSF21	14	1341
DUOX2	14	1342
MFSD2A	14	1343
ORAI1	14	1344
YARS1	14	1345
CLEC7A	14	1346
MIR34A	14	1347
RNMT	13	1348
ARSA	13	1349
MUC16	13	1350
FECH	13	1351
WAS	13	1352
COL4A1	13	1353
CCL8	13	1354
CD48	13	1355
SUOX	13	1356
GNPTAB	13	1357
GRM6	13	1358
CD7	13	1359
ACADM	13	1360
MC2R	13	1361
FCGR3A	13	1362
CYP27B1	13	1363
JAK3	13	1364
ADAMTS5	13	1365
SERPINF2	13	1366
WNT4	13	1367
CAV1	13	1368
TIRAP	13	1369
CAD	13	1370
PRKACA	13	1371
KRT17	13	1372
CBLB	13	1373
CBL	13	1374
ADRA1B	13	1375
ADH1B	13	1376
SLC26A5	13	1377
AQP4	13	1378
STS	13	1379
PDE10A	13	1380
AGTR2	13	1381
CYP2J2	13	1382
GSTM1	13	1383
MAL	13	1384
CYP11B2	13	1385
NTF3	13	1386
EBF1	13	1387
GZMK	13	1388
ETS1	13	1389
MAP2K1	13	1390
HTR1F	13	1391
MCPH1	13	1392
IFNAR1	13	1393
SOS1	13	1394
CFC1B	13	1395
ATF2	13	1396
IBSP	13	1397
PMAIP1	13	1398
JARID2	13	1399
MPZ	13	1400
TAPBP	13	1401
MSR1	13	1402
PTPN6	13	1403
LMNB1	13	1404
NOTCH2	13	1405
SRSF1	13	1406
RYR2	13	1407
RYR1	13	1408
EXO1	13	1409
SCN8A	13	1410
STAT4	13	1411
FLOT1	13	1412
BAP1	13	1413
UBTF	13	1414
BATF	13	1415
PML	13	1416
SLC9A3	13	1417
HCN4	13	1418
IQGAP1	13	1419
BCL11B	13	1420
POLQ	13	1421
YES1	13	1422
SSTR5	13	1423
LILRB1	13	1424
CUL3	13	1425
CST7	13	1426
ATF6	13	1427
DAAM1	13	1428
LARS1	13	1429
CYSLTR2	13	1430
MRAS	13	1431
EGLN1	13	1432
TET2	13	1433
ZBP1	13	1434
IL20	13	1435
TIMD4	13	1436
CLDN18	13	1437
TET1	13	1438
NRG4	13	1439
ASXL1	13	1440
RGMB	13	1441
YBX1	13	1442
BAX	12	1443
CCL7	12	1444
TWNK	12	1445
GRM7	12	1446
NUDT15	12	1447
SRY	12	1448
CXCL11	12	1449
CUBN	12	1450
PRAME	12	1451
