gene	cites	cite_delta	cite_rank	cite_rank_delta
TP53	84	-50	1	0
ACE2	65	-40	2	0
APOE	64	1	3	5
IL6	60	-17	4	1
CD274	52	-42	5	-2
NFE2L2	46	-11	6	3
HIF1A	45	-19	7	-1
TGFB1	43	-5	8	6
SNCA	42	3	9	20
STAT3	41	-37	10	-6
EGFR	40	-24	11	-5
BDNF	37	-2	12	17
ESR1	35	-12	13	2
YAP1	34	-16	14	-3
NLRP3	34	-9	14	6
TNF	33	-11	16	3
METTL3	32	-15	17	-2
MTOR	30	-4	18	24
CXCL8	30	4	18	78
VEGFA	30	-22	18	-8
BRAF	29	-6	21	17
CTNNB1	29	-14	21	-1
EZH2	29	-21	21	-10
IL10	29	-16	21	-3
IL17A	29	-5	21	21
PTEN	29	-5	21	21
SIRT1	29	-14	21	-1
MYC	28	-12	28	-1
VDR	28	-13	28	-2
IFNG	27	10	30	422
IGF1	27	-3	30	30
TLR4	27	-11	30	1
KRAS	26	-24	33	-22
ERBB2	25	-12	34	-1
NFKB1	25	-5	34	26
TERT	25	-3	34	42
AR	24	-9	37	9
FOXO1	24	7	37	415
MMP9	24	-14	37	-6
LGALS3	23	-10	40	6
PIK3CA	23	0	40	108
AKT1	22	-10	42	8
BRCA1	22	-20	42	-17
HMGB1	22	-6	42	34
IL1B	22	-15	42	-9
MAPT	22	-25	42	-27
GDF15	22	-2	42	86
TARDBP	22	-21	42	-22
PDCD1	21	-1	49	132
ABCG2	21	10	49	1552
TREM2	21	5	49	504
HOTAIR	21	3	49	321
CFTR	20	-3	53	95
ABCB1	20	-2	53	128
CXCR4	20	-11	53	1
FGF23	20	4	53	500
STING1	20	-1	53	158
CDH1	19	-13	58	-8
MTHFR	19	-21	58	-31
PPARG	19	-4	58	90
CCL2	19	-3	58	123
SOX2	19	-7	58	38
FTO	19	-4	58	90
IL33	19	-8	58	29
PARP1	18	-25	65	-45
RUNX1	18	6	65	1231
MUC1	18	-1	65	227
PCSK9	18	-10	65	11
MIR21	18	-17	65	-27
APP	17	-15	70	-20
CDKN2A	17	-11	70	6
ACE	17	0	70	382
LPA	17	-1	70	300
SERPINE1	17	-4	70	141
CXCL12	17	3	70	778
BRD4	17	-3	70	172
NEAT1	17	-11	70	6
MALAT1	17	-16	70	-24
MIR155	17	-3	70	172
CASP8	16	-1	80	372
DNMT1	16	-7	80	68
NR3C1	16	-1	80	372
SOD1	16	-6	80	101
STAT1	16	-12	80	-4
SIRT3	16	-1	80	372
TET2	16	-2	80	290
PNPLA3	16	1	80	593
ATM	15	-7	88	93
BRCA2	15	-17	88	-38
GPX4	15	-3	88	282
IDH1	15	-15	88	-28
IL18	15	-9	88	40
JAK2	15	-5	88	154
NOTCH1	15	-12	88	-1
MAPK1	15	0	88	585
PTBP1	15	-15	88	-28
ZEB1	15	4	88	1513
TLR2	15	-4	88	204
ADIPOQ	15	-9	88	40
IGF2BP2	15	-11	88	8
FOXP3	15	-4	88	204
AGT	14	4	102	1942
AHR	14	-6	102	140
CALR	14	1	102	953
CAV1	14	-7	102	109
CREB1	14	6	102	3369
CRP	14	-9	102	46
CYP3A5	14	2	102	1194
DNMT3A	14	-5	102	190
ELAVL1	14	-16	102	-42
FOXM1	14	-12	102	-6
FOXO3	14	-6	102	140
FLT3	14	2	102	1194
FN1	14	-1	102	571
HLA-B	14	2	102	1194
HLA-G	14	6	102	3369
IL4	14	3	102	1499
LAG3	14	4	102	1942
KMT2A	14	-7	102	109
NEFL	14	0	102	746
NOS3	14	-7	102	109
NPM1	14	-20	102	-60
PRKN	14	-5	102	190
PLK1	14	-3	102	350
TMPRSS2	14	-10	102	26
TSC2	14	5	102	2505
PPARGC1A	14	0	102	746
SIRT6	14	-4	102	268
FBXW7	14	-1	102	571
GAS5	14	-3	102	350
C9orf72	14	-5	102	190
MIR29A	14	-2	102	451
ADAM10	13	4	133	2474
APOB	13	-3	133	420
CCND1	13	-7	133	109
CA9	13	5	133	3338
RUNX2	13	-3	133	420
CD47	13	-3	133	420
CYP2C19	13	-1	133	715
CYP2C9	13	4	133	2474
EDN1	13	-1	133	715
FBN1	13	5	133	3338
GJA1	13	-1	133	715
HSP90AA1	13	-23	133	-98
HSPD1	13	-13	133	-37
LCN2	13	-9	133	48
LEP	13	-12	133	-25
MKI67	13	-17	133	-73
MMP2	13	-9	133	48
RB1	13	-5	133	237
S100A9	13	-9	133	48
SNAI1	13	-3	133	420
SOX9	13	-6	133	159
TRIM21	13	-12	133	-25
ST2	13	4	133	2474
STIM1	13	-4	133	319
TRPV1	13	-3	133	420
VWF	13	0	133	922
APOL1	13	0	133	922
WTAP	13	-2	133	540
DICER1	13	-6	133	159
RIGI	13	3	133	1911
NOX4	13	3	133	1911
MIR146A	13	-8	133	78
MIR34A	13	-5	133	237
ABCA1	12	-1	166	889
ACTN3	12	2	166	1878
AMH	12	4	166	3305
BMAL1	12	2	166	1878
CD44	12	-8	166	76
CST3	12	-10	166	15
CTLA4	12	-8	166	76
EP300	12	-3	166	507
FGFR3	12	-2	166	682
FLI1	12	3	166	2441
FMR1	12	-13	166	-58
GBA1	12	-2	166	682
GSK3B	12	-2	166	682
GSTP1	12	-3	166	507
NR4A1	12	2	166	1878
IGFBP3	12	3	166	2441
IL6R	12	2	166	1878
INS	12	2	166	1878
IRF1	12	2	166	1878
IRF4	12	3	166	2441
KCNH2	12	1	166	1435
L1CAM	12	2	166	1878
LDHA	12	-15	166	-79
LGALS9	12	6	166	6737
SMAD4	12	-12	166	-38
MEN1	12	1	166	1435
MGMT	12	-3	166	507
YBX1	12	-18	166	-106
PCNA	12	-9	166	45
SERPINA1	12	-7	166	126
POU5F1	12	1	166	1435
PTK2	12	-4	166	387
RAC1	12	-5	166	286
RAD51	12	-5	166	286
SMARCA4	12	-10	166	15
SP1	12	-7	166	126
STK11	12	0	166	1130
HNF1B	12	3	166	2441
KMT2D	12	5	166	4608
ANGPTL4	12	3	166	2441
ALKBH5	12	-3	166	507
CEMIP	12	4	166	3305
TRPV4	12	-3	166	507
METTL16	12	5	166	4608
CEP290	12	6	166	6737
LRRK2	12	-7	166	126
MIR193A	12	5	166	4608
IFNL4	12	7	166	9713
ADAR	11	-13	214	-86
AGTR1	11	0	214	1387
ALCAM	11	-2	214	841
ALDH2	11	-9	214	28
BACH1	11	1	214	1830
BCL2	11	-1	214	1082
CAT	11	-3	214	634
CEBPB	11	1	214	1830
CHI3L1	11	-13	214	-86
MAPK14	11	-1	214	1082
ESR2	11	-5	214	339
FABP2	11	2	214	2393
FGFR1	11	0	214	1387
FKBP5	11	-4	214	459
G6PD	11	-11	214	-33
GAPDH	11	-14	214	-106
GATA3	11	-6	214	238
GCK	11	4	214	4560
GJB2	11	3	214	3257
HK2	11	-9	214	28
HMGA1	11	-9	214	28
HMOX1	11	-1	214	1082
IFI16	11	-2	214	841
IMPDH1	11	0	214	1387
CXCL10	11	2	214	2393
JUN	11	-3	214	634
KCNQ1	11	2	214	2393
LRP1	11	-5	214	339
SMAD3	11	-12	214	-66
MECP2	11	-3	214	634
NT5E	11	-5	214	339
NUCB2	11	0	214	1387
OGG1	11	0	214	1387
TNFRSF11B	11	-3	214	634
PAX5	11	4	214	4560
PKM	11	-22	214	-168
RET	11	-1	214	1082
CCL5	11	2	214	2393
SLC1A5	11	-7	214	156
SPP1	11	-2	214	841
AURKA	11	-1	214	1082
TFE3	11	3	214	3257
TFRC	11	-7	214	156
TTN	11	-5	214	339
VDAC1	11	-8	214	78
YY1	11	-8	214	78
TFEB	11	-1	214	1082
FXR1	11	-12	214	-66
TNFSF11	11	-3	214	634
SOCS1	11	3	214	3257
APLN	11	-5	214	339
SOCS3	11	-6	214	238
PIEZO1	11	-8	214	78
CXCL13	11	0	214	1387
CARD8	11	11	214	26693
SAMHD1	11	-6	214	238
IL37	11	-4	214	459
YTHDF2	11	-12	214	-66
SIRT7	11	-3	214	634
RETN	11	3	214	3257
HAVCR2	11	-5	214	339
AIFM2	11	2	214	2393
MUC16	11	-1	214	1082
MIR106A	11	5	214	6689
MIR122	11	-6	214	238
MIR143	11	-5	214	339
MIR214	11	2	214	2393
MIR340	11	3	214	3257
MUC5B	11	-2	214	841
MIR942	11	4	214	4560
AGER	10	-4	284	564
ANXA1	10	-5	284	389
XIAP	10	-5	284	389
BMP2	10	2	284	3187
C5AR1	10	4	284	6619
CALCA	10	0	284	1760
CDC42	10	-8	284	86
CDK4	10	-2	284	1012
CCR5	10	-4	284	564
CYP2B6	10	2	284	3187
CYP2D6	10	-6	284	269
CYP3A4	10	-1	284	1317
DCN	10	10	284	26623
DNMT3B	10	-7	284	168
SLC26A2	10	2	284	3187
EPHA2	10	-7	284	168
ERN1	10	-4	284	564
FOLR1	10	3	284	4490
FUS	10	-17	284	-197
GATA1	10	4	284	6619
GCG	10	3	284	4490
MSTN	10	1	284	2323
GPER1	10	4	284	6619
HLA-A	10	-6	284	269
HNRNPA2B1	10	-10	284	-42
HNRNPC	10	-9	284	8
HSPA8	10	-25	284	-246
HTR2A	10	4	284	6619
IFI27	10	3	284	4490
IFNB1	10	4	284	6619
ITGB3	10	3	284	4490
LASP1	10	-4	284	564
LDLR	10	3	284	4490
MITF	10	1	284	2323
MTNR1B	10	4	284	6619
MYBPC3	10	4	284	6619
MYH9	10	-19	284	-214
ROR2	10	4	284	6619
P2RX7	10	-5	284	389
SLC26A4	10	-1	284	1317
PIK3R2	10	4	284	6619
PON1	10	-5	284	389
PON2	10	2	284	3187
PTPA	10	-3	284	771
MAPK3	10	-1	284	1317
PTPN11	10	-6	284	269
PTX3	10	-7	284	168
PVT1	10	-5	284	389
RELA	10	-6	284	269
RPE65	10	4	284	6619
S100A8	10	-10	284	-42
SRSF1	10	-10	284	-42
SHBG	10	3	284	4490
STAT6	10	-1	284	1317
ADAM17	10	-7	284	168
TGFBR2	10	-2	284	1012
THBS1	10	0	284	1760
TXN	10	-7	284	168
TXNRD1	10	2	284	3187
KDM6A	10	-1	284	1317
VCP	10	-19	284	-214
WT1	10	-1	284	1317
XPO1	10	-13	284	-136
RAB7A	10	-5	284	389
ARID1A	10	-12	284	-103
BAP1	10	-8	284	86
SPOP	10	1	284	2323
BECN1	10	-7	284	168
PER3	10	2	284	3187
CLDN1	10	3	284	4490
USP14	10	-8	284	86
IL32	10	4	284	6619
KLF4	10	-3	284	771
LONP1	10	-4	284	564
EIF2AK3	10	4	284	6619
SV2A	10	4	284	6619
FGF19	10	10	284	26623
NAMPT	10	-6	284	269
CD96	10	3	284	4490
IKZF1	10	5	284	9595
KLF2	10	2	284	3187
WFDC2	10	4	284	6619
IFITM3	10	2	284	3187
PRMT5	10	-15	284	-176
POSTN	10	-4	284	564
IGF2BP3	10	-14	284	-156
LILRB1	10	2	284	3187
MALT1	10	-4	284	564
ADAMTS13	10	-7	284	168
HHLA2	10	0	284	1760
NLRP1	10	-3	284	771
KLRK1	10	0	284	1760
DKK1	10	-1	284	1317
WWTR1	10	-10	284	-42
FGF21	10	-9	284	8
TRPV2	10	2	284	3187
ERAP1	10	-1	284	1317
YTHDF1	10	-8	284	86
