gene	cites	cite_delta	cite_rank	cite_rank_delta
TUG1	10	-3	284	771
CHD7	10	-1	284	1317
BIRC6	10	-2	284	1012
APOBEC3G	10	2	284	3187
CARD9	10	3	284	4490
YTHDC2	10	1	284	2323
PINK1	10	-6	284	269
GSDMD	10	-4	284	564
NANOG	10	0	284	1760
LRRC15	10	2	284	3187
CLEC12A	10	10	284	26623
MIR142	10	2	284	3187
MIR145	10	-20	284	-224
MIR195	10	-3	284	771
MIR181A1	10	2	284	3187
MIR223	10	-2	284	1012
MIR370	10	-1	284	1317
CDKN2B-AS1	10	-2	284	1012
MAGI2-AS3	10	3	284	4490
OCLN	10	0	284	1760
ANGPT2	9	-1	402	1642
AQP5	9	-1	402	1642
ASS1	9	-1	402	1642
AXL	9	0	402	2205
CEACAM1	9	2	402	4372
CXCR5	9	2	402	4372
BNIP3	9	-1	402	1642
BNIP3L	9	4	402	9477
BSG	9	-14	402	-254
C1QA	9	0	402	2205
C3	9	-5	402	446
CAMP	9	0	402	2205
CASP1	9	-1	402	1642
CASR	9	4	402	9477
RUNX3	9	3	402	6501
CBL	9	-1	402	1642
CD38	9	2	402	4372
CDK1	9	-14	402	-254
CHRNA7	9	3	402	6501
CLU	9	1	402	3069
CNR1	9	-2	402	1199
CNR2	9	0	402	2205
COMT	9	-11	402	-160
CREBBP	9	2	402	4372
CSF1	9	0	402	2205
VCAN	9	3	402	6501
CTSB	9	-5	402	446
CYP1A1	9	2	402	4372
CYP24A1	9	3	402	6501
GADD45A	9	9	402	26505
DIO2	9	3	402	6501
DMD	9	-1	402	1642
DPP4	9	-4	402	653
DPYD	9	-2	402	1199
DRD1	9	9	402	26505
DSP	9	-11	402	-160
DUSP6	9	9	402	26505
E2F1	9	-5	402	446
EEF2	9	-14	402	-254
EIF5A	9	-4	402	653
ELN	9	0	402	2205
ENO1	9	-15	402	-274
ENO2	9	-3	402	894
ESRRA	9	0	402	2205
ETV6	9	4	402	9477
FASN	9	-19	402	-326
FLG	9	-3	402	894
GATA4	9	-4	402	653
GFAP	9	-5	402	446
GLP1R	9	-3	402	894
CXCL1	9	-1	402	1642
GSTT1	9	-5	402	446
HDAC2	9	-10	402	-110
CFH	9	-1	402	1642
HLA-C	9	-2	402	1199
HLA-DQA1	9	2	402	4372
HLA-DRB1	9	-6	402	271
FOXA2	9	-3	402	894
HNF4A	9	-2	402	1199
HNRNPK	9	-17	402	-306
HSPA5	9	-27	402	-367
HSPB1	9	-16	402	-294
HTR2B	9	2	402	4372
ICAM1	9	-7	402	151
IGF1R	9	-13	402	-221
IGF2	9	-2	402	1199
IGH	9	3	402	6501
IKBKB	9	-3	402	894
IL1A	9	-2	402	1199
IL7	9	-1	402	1642
IL13	9	-6	402	271
INPP5D	9	2	402	4372
KCNJ10	9	9	402	26505
KCNN2	9	9	402	26505
KDR	9	-3	402	894
LEPR	9	-3	402	894
FADS1	9	3	402	6501
SMAD2	9	-7	402	151
MAX	9	-4	402	653
MCL1	9	-3	402	894
MID1	9	0	402	2205
NR3C2	9	3	402	6501
MMP14	9	-6	402	271
MYBL2	9	0	402	2205
MYD88	9	-6	402	271
NDP	9	4	402	9477
NF1	9	1	402	3069
NF2	9	-3	402	894
NFIX	9	0	402	2205
NFKB2	9	0	402	2205
NGF	9	1	402	3069
NONO	9	-16	402	-294
NOS1	9	1	402	3069
NOS2	9	-3	402	894
NOTCH3	9	-4	402	653
OPA1	9	-7	402	151
OPRM1	9	-4	402	653
OTX2	9	3	402	6501
PGK1	9	-9	402	-32
PGR	9	-3	402	894
PIN1	9	-1	402	1642
PITX2	9	9	402	26505
PKD1	9	-1	402	1642
PLAU	9	9	402	26505
PML	9	-4	402	653
PRKCD	9	1	402	3069
MAPK8	9	3	402	6501
HTRA1	9	-2	402	1199
RAD51D	9	3	402	6501
RANBP2	9	-6	402	271
RBM4	9	-2	402	1199
RPGR	9	-2	402	1199
RPL5	9	-9	402	-32
S100A4	9	0	402	2205
SAFB	9	-2	402	1199
CXCL5	9	1	402	3069
XCL1	9	9	402	26505
SDC1	9	-5	402	446
SLC6A4	9	0	402	2205
SLC12A3	9	-2	402	1199
SMPD1	9	3	402	6501
SPARC	9	-5	402	446
SPAST	9	0	402	2205
SRC	9	2	402	4372
TBP	9	-1	402	1642
TCF7	9	3	402	6501
TFAM	9	-2	402	1199
TGFB2	9	-2	402	1199
TIMP2	9	1	402	3069
NKX2-1	9	-2	402	1199
TLR3	9	-6	402	271
CLDN5	9	0	402	2205
TSC1	9	9	402	26505
TWIST1	9	-3	402	894
USH2A	9	3	402	6501
VHL	9	-4	402	653
VIM	9	-21	402	-342
BEST1	9	1	402	3069
WFS1	9	0	402	2205
XBP1	9	-4	402	653
XIST	9	-4	402	653
FOSL1	9	9	402	26505
HMGA2	9	-2	402	1199
AKR1C3	9	-2	402	1199
CCN5	9	9	402	26505
BTRC	9	-9	402	-32
P4HA2	9	1	402	3069
NOG	9	9	402	26505
KL	9	1	402	3069
MAP4K4	9	2	402	4372
ATG5	9	-1	402	1642
ISG15	9	0	402	2205
IFT140	9	4	402	9477
KEAP1	9	-12	402	-191
MAFB	9	4	402	9477
NR1H4	9	-1	402	1642
HDAC6	9	-5	402	446
G3BP1	9	-19	402	-326
TACC3	9	-2	402	1199
PROCR	9	0	402	2205
SPTLC1	9	-3	402	894
SLCO1B1	9	-1	402	1642
IGF2BP1	9	-15	402	-274
CTCF	9	-2	402	1199
TNFSF13B	9	-2	402	1199
RIPK3	9	-3	402	894
TPX2	9	-7	402	151
KDM1A	9	-10	402	-110
WWC1	9	2	402	4372
SATB2	9	0	402	2205
ESYT1	9	-3	402	894
VIRMA	9	0	402	2205
HSPB8	9	2	402	4372
TRIB2	9	1	402	3069
SETD2	9	-4	402	653
DROSHA	9	2	402	4372
TBK1	9	-9	402	-32
ERVW-1	9	3	402	6501
GOLM1	9	-3	402	894
TLR9	9	-7	402	151
DDX49	9	1	402	3069
SAMD9	9	2	402	4372
NSUN2	9	-10	402	-110
NAT10	9	-10	402	-110
MEG3	9	-4	402	653
ITLN1	9	1	402	3069
DEPDC1	9	2	402	4372
LPAR5	9	4	402	9477
SALL4	9	1	402	3069
SLC39A10	9	2	402	4372
CIP2A	9	0	402	2205
METTL14	9	-7	402	151
TRIB3	9	-2	402	1199
NOD2	9	0	402	2205
P2RY12	9	3	402	6501
TRPM3	9	1	402	3069
TET1	9	-3	402	894
ZBP1	9	-1	402	1642
TRIM56	9	-5	402	446
FOXP2	9	1	402	3069
C1QTNF3	9	3	402	6501
PPARGC1B	9	3	402	6501
KLF14	9	9	402	26505
E2F7	9	-2	402	1199
IL27	9	-4	402	653
FNDC5	9	-8	402	50
SERINC5	9	2	402	4372
SIGLEC15	9	0	402	2205
TNFAIP8L3	9	9	402	26505
LIN28B	9	-3	402	894
MIR125B1	9	1	402	3069
MIR126	9	-5	402	446
MIR128-1	9	-1	402	1642
MIR128-2	9	2	402	4372
MIR140	9	-4	402	653
MIR141	9	1	402	3069
MIR144	9	-4	402	653
MIR181A2	9	2	402	4372
MIR20A	9	3	402	6501
MIR203A	9	-2	402	1199
MIR210	9	-4	402	653
MIR217	9	9	402	26505
MIR92A1	9	-2	402	1199
MIR196B	9	3	402	6501
MIR497	9	-4	402	653
MIR525	9	1	402	3069
UCA1	9	-2	402	1199
LINC00659	9	4	402	9477
A2M	8	-3	630	971
ACAT1	8	-3	630	971
ADORA2A	8	1	630	4144
ADRB2	8	1	630	4144
ADRB3	8	1	630	4144
AFP	8	-4	630	666
ACAN	8	8	630	26277
APLNR	8	3	630	9249
AHSG	8	-4	630	666
ABCD1	8	-2	630	1414
ALK	8	-4	630	666
ALOX5	8	1	630	4144
ANXA2	8	-21	630	-560
APC	8	-3	630	971
BIRC5	8	-9	630	-178
APOA1	8	-7	630	43
APOA4	8	1	630	4144
APOC3	8	-3	630	971
APOD	8	3	630	9249
ABCC6	8	0	630	2841
RHOA	8	-9	630	-178
ARRB2	8	0	630	2841
ATF4	8	-7	630	43
ATP1A1	8	-19	630	-543
ATP5F1A	8	-19	630	-543
ATR	8	8	630	26277
BBS2	8	8	630	26277
BCL2L1	8	-1	630	1977
BCL6	8	2	630	6273
BMP4	8	-5	630	425
BMPR2	8	0	630	2841
C1QBP	8	-11	630	-338
CA6	8	8	630	26277
CASP3	8	-4	630	666
CCNE1	8	0	630	2841
CCT6A	8	-8	630	-77
CD4	8	1	630	4144
CD36	8	-6	630	218
SCARB1	8	1	630	4144
CD74	8	1	630	4144
CDKN1A	8	-11	630	-338
CDKN1B	8	-3	630	971
CDX2	8	0	630	2841
CEBPA	8	-1	630	1977
CFL1	8	-9	630	-178
CHD4	8	-7	630	43
CHGA	8	8	630	26277
CCR4	8	8	630	26277
COL1A2	8	-3	630	971
CPT1A	8	-7	630	43
CRX	8	2	630	6273
CRYBB2	8	8	630	26277
CSPG4	8	0	630	2841
CCN2	8	-6	630	218
DDX3X	8	-16	630	-502
DEFB1	8	8	630	26277
DLAT	8	-7	630	43
DYNC1H1	8	-10	630	-260
DRD2	8	-5	630	425
ECT2	8	-1	630	1977
EGR1	8	-5	630	425
ELK1	8	1	630	4144
ELK3	8	-1	630	1977
CTTN	8	-7	630	43
ENDOG	8	2	630	6273
ENG	8	4	630	26134
SLC29A1	8	0	630	2841
ERCC1	8	0	630	2841
ETV4	8	8	630	26277
F2	8	0	630	2841
F2RL1	8	-3	630	971
F10	8	2	630	6273
FABP5	8	-5	630	425
FANCD2	8	-5	630	425
BPTF	8	-3	630	971
FCN2	8	8	630	26277
FDX1	8	-2	630	1414
FOXI1	8	1	630	4144
FLNA	8	-17	630	-522
FLT4	8	2	630	6273
FUT2	8	3	630	9249
FUT8	8	-1	630	1977
GABRD	8	8	630	26277
GAD2	8	8	630	26277
GALNT2	8	0	630	2841
GATA2	8	-3	630	971
GLA	8	-3	630	971
GLI2	8	8	630	26277
GNAS	8	-5	630	425
GOT1	8	0	630	2841
GPM6A	8	1	630	4144
CXCR3	8	2	630	6273
GPX1	8	-3	630	971
GRIN2B	8	0	630	2841
GSTM1	8	-10	630	-260
GUCY2D	8	8	630	26277
GZMB	8	2	630	6273
H2AZ1	8	0	630	2841
H3-3A	8	-4	630	666
HBA2	8	-2	630	1414
HCRT	8	1	630	4144
HFE	8	1	630	4144
HLA-DPB1	8	2	630	6273
HLA-DQB1	8	-1	630	1977
HNRNPA1	8	-17	630	-522
HNRNPD	8	-15	630	-482
HSPA1A	8	-17	630	-522
HTR1A	8	0	630	2841
IFNAR2	8	1	630	4144
IGFBP2	8	1	630	4144
CCN1	8	-1	630	1977
IL1RN	8	0	630	2841
IL11	8	2	630	6273
IL12B	8	-2	630	1414
IMPDH2	8	-9	630	-178
IDO1	8	-1	630	1977
INSR	8	-4	630	666
PDX1	8	2	630	6273
IPW	8	8	630	26277
IRF6	8	2	630	6273
JAK1	8	-3	630	971
KCNJ11	8	0	630	2841
KCNJ13	8	8	630	26277
KCNN3	8	8	630	26277
KCNQ2	8	0	630	2841
KIR2DS1	8	8	630	26277
LAMP2	8	-2	630	1414
LBR	8	-6	630	218
LIPA	8	0	630	2841
LMNA	8	-20	630	-554
LMNB1	8	-12	630	-388
LOXL2	8	0	630	2841
LTA	8	8	630	26277
CAPRIN1	8	-22	630	-570
MDM2	8	-17	630	-522
MEFV	8	0	630	2841
MET	8	-7	630	43
MIF	8	-10	630	-260
TRPM1	8	2	630	6273
MME	8	-2	630	1414
MMP3	8	-6	630	218
MMP13	8	1	630	4144
MOCS1	8	8	630	26277
MOCS2	8	1	630	4144
ATP6	8	3	630	9249
MTNR1A	8	2	630	6273
RNR1	8	2	630	6273
MUC5AC	8	-4	630	666
MYB	8	2	630	6273
MYBL1	8	0	630	2841
MYCN	8	-4	630	666
MYH2	8	8	630	26277
MYO1E	8	-5	630	425
NCL	8	-20	630	-554
NPAS2	8	8	630	26277
NRAS	8	-8	630	-77
NTS	8	1	630	4144
NR4A2	8	0	630	2841
PRDX1	8	-9	630	-178
PDGFRB	8	1	630	4144
PEPD	8	-1	630	1977
PFKFB3	8	-5	630	425
PKLR	8	-1	630	1977
PLA2G2A	8	0	630	2841
PLAGL2	8	4	630	26134
PMP22	8	3	630	9249
POU2F2	8	2	630	6273
PRKAA1	8	-7	630	43
PRKCE	8	8	630	26277
PRKDC	8	-17	630	-522
MAP2K1	8	0	630	2841
PRNP	8	-2	630	1414
PROX1	8	2	630	6273
PSEN1	8	-2	630	1414
PTK6	8	2	630	6273
PTPN1	8	-7	630	43
PTPN2	8	-2	630	1414
RBBP4	8	-12	630	-388
UPF1	8	-11	630	-338
RGS2	8	2	630	6273
RPS3	8	-17	630	-522
RPS15A	8	-12	630	-388
RPS27A	8	-10	630	-260
RRM2	8	-7	630	43
RYR2	8	-3	630	971
S100A6	8	-2	630	1414
S100A11	8	1	630	4144
S100B	8	-3	630	971
SAA1	8	1	630	4144
SCN5A	8	0	630	2841
CCL7	8	-1	630	1977
CCL17	8	0	630	2841
SRSF6	8	-3	630	971
SHMT1	8	0	630	2841
ST6GAL1	8	2	630	6273
SIX1	8	2	630	6273
SLC2A1	8	-11	630	-338
SLC3A2	8	-16	630	-502
SNAI2	8	-4	630	666
SMN1	8	-3	630	971
SOX4	8	-2	630	1414
SOX10	8	0	630	2841
SOX11	8	3	630	9249
SPI1	8	0	630	2841
STC1	8	1	630	4144
STK4	8	-1	630	1977
SURF4	8	-3	630	971
SYK	8	3	630	9249
TAC1	8	0	630	2841
MAP3K7	8	-15	630	-482
TBX2	8	0	630	2841
TBX3	8	-1	630	1977
TCF7L2	8	-10	630	-260
TEAD1	8	-3	630	971
TF	8	-2	630	1414
TFAP2C	8	1	630	4144
TFF1	8	1	630	4144
TGFBR1	8	0	630	2841
TGM1	8	-3	630	971
TGM2	8	-5	630	425
THRB	8	2	630	6273
TIMP1	8	-4	630	666
TIMP3	8	-1	630	1977
TNFRSF1A	8	-7	630	43
TNS1	8	1	630	4144
TOP2A	8	-11	630	-338
TOP2B	8	-9	630	-178
TSHR	8	-2	630	1414
TTR	8	-1	630	1977
TULP1	8	2	630	6273
TYK2	8	-3	630	971
UBE2L3	8	-7	630	43
UMOD	8	-1	630	1977
UMPS	8	-2	630	1414
EZR	8	-8	630	-77
VSNL1	8	0	630	2841
WNT5A	8	-1	630	1977
MKRN3	8	1	630	4144
TRIM25	8	-18	630	-534
IL1R2	8	2	630	6273
FZD5	8	3	630	9249
USP7	8	-23	630	-576
PLA2G7	8	4	630	26134
KAT6A	8	-1	630	1977
NR4A3	8	1	630	4144
ADAM12	8	1	630	4144
TAF15	8	-14	630	-449
USP9X	8	-12	630	-388
OGT	8	-10	630	-260
OFD1	8	8	630	26277
LGR5	8	0	630	2841
TP63	8	-6	630	218
FADD	8	-3	630	971
TNFRSF11A	8	1	630	4144
IL1RL2	8	8	630	26277
NRP1	8	-5	630	425
TMEM11	8	3	630	9249
SQSTM1	8	-28	630	-595
SELENBP1	8	0	630	2841
PKD2L1	8	8	630	26277
PKMYT1	8	2	630	6273
RGN	8	2	630	6273
AIFM1	8	-10	630	-260
EXO1	8	1	630	4144
AURKB	8	-5	630	425
LRAT	8	8	630	26277
SLIT2	8	1	630	4144
OTOF	8	-1	630	1977
FADS2	8	-1	630	1977
AIM2	8	-7	630	43
ARHGEF6	8	2	630	6273
SPTLC2	8	2	630	6273
CXCL14	8	-1	630	1977
CLOCK	8	-1	630	1977
APOBEC3B	8	-5	630	425
PDIA4	8	-8	630	-77
TTI1	8	1	630	4144
DCAF1	8	-3	630	971
KMT2B	8	-3	630	971
EIF4A3	8	-7	630	43
MATR3	8	-19	630	-543
DLGAP5	8	1	630	4144
NUAK1	8	2	630	6273
USP3	8	-2	630	1414
AKT3	8	8	630	26277
DNM1L	8	-6	630	218
NR1H3	8	0	630	2841
HIPK3	8	1	630	4144
FLOT1	8	-2	630	1414
TRIB1	8	8	630	26277
GPHN	8	-3	630	971
FSTL3	8	8	630	26277
STUB1	8	-23	630	-576
NDRG1	8	-4	630	666
VAV3	8	2	630	6273
TOMM40	8	-3	630	971
MAD2L2	8	3	630	9249
DDX17	8	-19	630	-543
AGR2	8	0	630	2841
HTATIP2	8	3	630	9249
TXNIP	8	-6	630	218
CAMKK2	8	2	630	6273
TBR1	8	3	630	9249
PLK4	8	0	630	2841
MAP3K2	8	1	630	4144
TRAF3IP2	8	2	630	6273
WDR4	8	1	630	4144
CCR9	8	2	630	6273
RBPMS	8	1	630	4144
RAB31	8	0	630	2841
UBE2C	8	-11	630	-338
CHEK2	8	-3	630	971
PARK7	8	-8	630	-77
DDX42	8	-6	630	218
PHB2	8	-11	630	-338
MAPRE1	8	-1	630	1977
