# gene	views	view_delta	view_rank	view_rank_delta
APOE	1110	596	1	-7
CRP	1029	-68	2	1
AVP	847	-117	3	1
EPO	669	-93	4	1
GCG	535	24	5	-4
TNF	513	-22	6	-1
TP53	490	-72	7	2
TTN	489	-71	8	2
MTOR	486	9	9	-2
HTR2A	469	40	10	-8
BRCA1	461	-4	11	-1
MB	457	-49	12	2
SST	440	-322	13	9
CYP3A4	432	-17	14	-1
ALB	413	-8	15	-4
PTH	402	-43	16	0
LEP	387	-30	17	-3
CALCA	372	6	18	-6
IGF1	366	-87	19	5
EGFR	362	-96	20	7
GPT	360	-84	21	4
PDCD1	329	-57	22	1
CCR5	313	99	23	-42
LCT	313	11	24	-9
ACHE	302	-48	25	0
MAOA	301	-18	26	-5
CD4	300	2	27	-7
MYC	292	-50	28	2
REN	292	-34	29	0
IL6	289	-87	30	8
CYP2D6	289	-81	31	8
BDNF	288	-45	32	5
MSTN	283	82	33	-39
CTLA4	279	19	34	-11
VWF	277	28	35	-15
AGT	275	-16	36	-1
HTR1A	275	-17	37	1
CCK	274	-49	38	8
TEX9	272	21	39	-10
SHBG	268	9	40	-6
MKI67	259	-70	41	13
AMH	257	-40	42	7
GNRH1	251	11	43	-13
PLAT	241	-28	44	1
CD274	240	-36	45	5
CDKN2A	238	-25	46	2
CYP19A1	235	20	47	-17
CBLIF	235	31	48	-22
F8	235	-2	49	-8
CYCS	229	-19	50	-1
IL2	226	-91	51	19
BCL2	226	16	52	-15
ARHGAP11B	222	-12	53	-5
CRH	220	41	54	-37
ABCB1	218	13	55	-14
MAPT	218	-54	56	15
HAMP	214	-4	57	-6
RHO	212	-66	58	19
KEL	210	10	59	-15
HP	206	-22	60	-2
KRAS	206	-53	61	14
ADRB2	202	-80	62	24
GAPDH	201	36	63	-39
ADRB1	200	0	64	-11
AFP	198	-3	65	-6
APOB	198	-35	66	7
KLK3	197	-43	67	12
HMGCR	197	-51	68	16
ABCC11	194	12	69	-20
F2	191	-78	70	28
ACE	189	-1	71	-15
EGF	188	-4	72	-11
TG	187	4	73	-14
ACE2	186	-7	74	-8
AR	184	-63	75	22
TRPV1	184	-67	76	28
MS4A1	184	-8	77	-7
G6PD	180	-18	78	-1
LTF	177	-63	79	25
GAST	177	-21	80	3
SNCA	174	-33	81	13
BRAF	174	-27	82	9
TF	171	-60	83	22
HRH1	171	-11	84	-6
IL10	166	-32	85	7
PCSK9	164	-68	86	26
EGFLAM	163	33	87	-61
PTEN	162	32	88	-58
GIP	161	6	89	-20
CD34	155	-28	90	2
B2M	153	-57	91	25
CD44	153	9	92	-28
LPA	151	-25	93	0
CYP1A2	151	-8	94	-11
DRD2	151	-47	95	15
FN1	149	-50	96	20
CFTR	148	-21	97	1
OPRK1	147	5	98	-26
MPO	146	-4	99	-13
TH	145	4	100	-25
NGF	145	-1	101	-16
CD38	145	-8	102	-9
VIP	144	-23	103	4
CD28	144	0	104	-15
SLC6A4	144	-48	105	20
NPY	143	23	106	-55
TNFSF11	143	8	107	-27
SLC6A3	143	5	108	-23
CNR1	142	11	109	-33
OPRM1	142	-18	110	6
PTPRC	141	-17	111	4
FOXP2	139	-28	112	12
KIT	138	-12	113	0
PPARG	138	16	114	-43
FASLG	137	13	115	-38
CXCL8	134	-14	116	0
SERPINA1	134	4	117	-30
SIGMAR1	133	15	118	-46
