# gene	views	view_delta	view_rank	view_rank_delta
APOE	2498	-473	1	0
CRP	1001	341	2	-1
AVP	966	220	3	1
EPO	758	173	4	0
MTOR	529	83	5	-1
TNF	518	135	6	-5
GCG	508	113	7	-2
TP53	498	178	8	-9
MB	470	47	9	2
SST	468	93	10	-3
IL6	449	190	11	-18
LEP	443	38	12	4
IGF1	440	60	13	1
TTN	426	85	14	-2
HTR2A	419	33	15	5
EGFR	415	113	16	-6
CYP3A4	412	58	17	2
ALB	409	108	18	-5
PTH	409	123	19	-5
GPT	393	109	20	-5
BRCA1	377	-70	21	16
MYC	371	131	22	-11
CYP2D6	358	39	23	5
BDNF	339	22	24	5
ACHE	338	91	25	-5
VWF	334	93	26	-6
MAOA	330	18	27	7
CCK	318	53	28	0
MKI67	315	169	29	-47
CALCA	312	46	30	3
REN	308	37	31	5
AMH	305	95	32	-7
CYCS	302	132	33	-26
CD4	301	97	34	-8
LCT	300	-8	35	14
CD274	295	137	36	-31
MAPT	294	-63	37	23
KRAS	293	184	38	-75
AGT	287	67	39	4
HMGCR	282	78	40	-1
CTLA4	273	131	41	-36
MSTN	261	57	42	-1
GNRH1	259	62	43	-5
PDCD1	258	162	44	-85
ADRB2	254	54	45	0
IL2	251	77	46	-10
SHBG	251	69	47	-7
F2	250	51	48	2
F8	250	44	49	9
KLK3	247	79	50	-13
PLAT	247	47	51	7
HTR1A	247	33	52	15
APOB	242	81	53	-13
AFP	236	75	54	-11
HP	233	78	55	-16
BCL2	233	77	56	-12
CRH	228	79	57	-16
CBLIF	225	37	58	5
KEL	222	26	59	10
TRPV1	219	47	60	2
GAST	217	-1	61	25
EGF	214	17	62	15
ACE	214	45	63	1
CCR5	213	44	64	3
CDKN2A	211	62	65	-9
RHO	210	-23	66	32
BRAF	210	100	67	-43
TF	206	86	68	-31
MS4A1	205	81	69	-26
AR	202	7	70	20
PCSK9	200	-44	71	40
ABCB1	199	71	72	-18
IL1B	198	79	73	-27
LTF	196	67	74	-15
FN1	196	86	75	-34
LPA	193	80	76	-29
SNCA	192	44	77	2
RB1	192	66	78	-13
ABCC11	190	20	79	19
GAPDH	190	73	80	-21
CD19	190	82	81	-33
G6PD	188	26	82	18
SLC6A4	185	-4	83	31
HRH1	183	-8	84	33
IL10	183	58	85	-9
HAMP	181	48	86	3
GIP	180	-1	87	32
DRD2	180	42	88	8
CYP19A1	177	22	89	19
TG	177	66	90	-17
NGF	177	5	91	34
ADRB1	177	44	92	8
ACE2	175	35	93	15
CDKN1A	173	69	94	-26
VIP	172	42	95	7
CP	170	81	96	-49
CCL2	168	115	97	-160
HIF1A	165	58	98	-18
CD38	164	96	99	-100
CD34	162	69	100	-36
INSR	161	30	101	15
LPL	160	38	102	5
B2M	159	63	103	-24
CYP1A2	159	37	104	6
CD44	158	87	105	-84
DMD	155	66	106	-40
CD28	154	96	107	-127
CXCL8	154	61	108	-29
NR3C1	154	68	109	-42
CFTR	152	19	110	28
PPARG	152	0	111	39
PTPRC	151	93	112	-124
CNR1	150	46	113	-8
PROC	150	24	114	22
CASP3	150	72	115	-55
CYP2C19	149	32	116	14
CDK2	149	72	117	-56
SIGMAR1	146	45	118	-6
FASLG	146	72	119	-64
DHFR	143	48	120	-13
SLC6A3	143	9	121	40
MPO	141	34	122	7
FOXP2	141	3	123	44
DNTT	141	73	124	-73
SERPINC1	140	62	125	-43
ADIPOQ	137	51	126	-23
IL4	137	31	127	9
DPP4	135	53	128	-29
MTHFR	135	4	129	42
CD40	134	65	130	-62
CSH1	134	43	131	-8
TEX9	133	-81	132	94
SERPINA1	132	23	133	21
CSF3	131	40	134	-4
OPRM1	131	26	135	16
SHH	129	55	136	-46
TNFSF11	127	-5	137	52
KIT	125	16	138	27
PC	124	61	139	-77
PTEN	124	41	140	-16
NPY	123	57	141	-64
GCK	123	33	142	1
CCL5	123	62	143	-81
CD36	122	85	144	-232
PECAM1	119	59	145	-82
GFAP	118	53	146	-62
TTR	118	60	147	-88
ELN	116	1	148	44
CYP2C9	116	0	149	46
CXCL10	115	52	150	-68
HTR2C	115	-41	151	82
F3	114	19	152	21
SRC	114	3	153	47
POMC	114	19	154	22
AHR	113	26	155	7
BTK	113	35	156	-11
ADAMTS13	113	58	157	-96
LIPE	111	33	158	-8
NFE2L2	111	39	159	-28
CTCF	111	38	160	-25
VIM	110	46	161	-52
ICAM1	110	14	162	34
PLG	109	11	163	38
CD69	109	50	164	-66
CD80	109	58	165	-102
PTHLH	109	24	166	14
OPRK1	108	-16	167	71
CXCR4	107	46	168	-53
CD68	107	40	169	-34
TH	106	12	170	36
F10	106	30	171	-3
BRCA2	106	32	172	-8
OR6A2	106	-5	173	65
CD14	104	40	174	-40
PTGS2	104	23	175	15
HTT	103	-22	176	83
CS	101	32	177	-16
CCND1	101	42	178	-55
P2RY12	101	41	179	-50
FMR1	100	49	180	-88
TGFB1	100	11	181	34
KCNH2	99	24	182	5
PAH	99	58	183	-158
ACTB	99	41	184	-54
MC1R	98	9	185	41
FOXP3	98	35	186	-31
IAPP	98	27	187	-1
GNAS	98	20	188	19
MME	97	28	189	-5
FAS	97	20	190	19
SERPINE1	97	25	191	5
CD86	97	60	192	-187
MDM2	97	29	193	-7
PRNP	96	-6	194	72
IL18	95	39	195	-49
PYY	94	-7	196	73
FLG	94	48	197	-102
RET	94	39	198	-49
ADA	93	3	199	59
HRH2	93	17	200	25
MMP9	93	25	201	0
KISS1	92	-2	202	67
NLRP3	92	10	203	45
TNS2	92	2	204	61
BAX	91	31	205	-21
HBB	91	17	206	25
CPT1A	91	12	207	42
APC	90	16	208	29
THPO	90	24	209	5
GSR	90	11	210	46
C3	90	39	211	-60
SLC6A2	90	16	212	28
ESR1	90	52	213	-155
ARHGAP11B	90	8	214	55
HFE	89	34	215	-34
PCNA	89	34	216	-35
CHRM2	89	42	217	-77
CAMP	89	54	218	-184
ALK	88	46	219	-118
EGFLAM	88	-8	220	90
CCL4	87	38	221	-58
ACKR1	87	10	222	50
SERPING1	87	52	223	-172
OXTR	87	43	224	-91
DICER1	86	0	225	75
JAK2	86	51	226	-175
SIRT1	85	20	227	16
CYP2E1	85	42	228	-97
XIST	85	39	229	-71
DRD1	84	3	230	69
TYMS	83	39	231	-78
CR2	82	48	232	-171
A2M	82	48	233	-172
CD47	82	40	234	-100
HTR2B	82	14	235	37
TRPA1	82	16	236	29
TRPM8	82	32	237	-38
GLP1R	82	31	238	-34
FURIN	82	39	239	-90
CST3	81	40	240	-99
IL15	81	54	241	-274
FOSB	81	6	242	64
MECP2	81	29	243	-23
TERT	81	20	244	19
TARDBP	81	27	245	-11
ADRA2A	80	33	246	-49
IL13	80	44	247	-140
MAOB	80	-10	248	106
TAAR1	80	-5	249	96
LDLR	79	-27	250	133
SELL	79	51	251	-244
PPARA	79	30	252	-29
HGF	78	37	253	-89
COL1A1	78	28	254	-20
TNFRSF11B	77	24	255	-7
STAT3	77	29	256	-33
SOX9	77	29	257	-33
PARP1	76	23	258	0
MET	76	31	259	-42
ABL1	76	10	260	54
ADRB3	76	21	261	11
ACTA2	76	37	262	-95
STAT1	76	36	263	-87
CXCL1	75	42	264	-151
IL1RN	75	31	265	-52
CSF2	74	13	266	43
UCP1	74	-2	267	91
COX1	74	29	268	-37
FGF23	74	20	269	14
HLA-A	74	44	270	-198
PPP1R1B	74	-6	271	109
PLAU	73	20	272	12
GHRH	73	4	273	78
CRBN	73	30	274	-50
FGF21	73	42	275	-172
ADAR	72	28	276	-32
SLC18A2	72	7	277	65
RELA	72	36	278	-108
IL5	72	29	279	-47
TBP	72	28	280	-32
HSPA5	72	4	281	79
LGALS3	72	35	282	-100
SPP1	71	29	283	-47
NOS3	71	16	284	36
CSF1	71	37	285	-119
FCGRT	71	26	286	-16
CD55	71	35	287	-97
BGLAP	71	-26	288	162
H2AX	71	38	289	-137
CHEK2	71	46	290	-266
TXN	70	37	291	-123
FST	70	9	292	70
CHAT	70	12	293	56
F9	69	30	294	-57
OPN4	69	-2	295	105
CHRM1	69	21	296	12
HTR4	69	6	297	78
CFH	69	9	298	70
TNFRSF9	69	46	299	-302
LAMP1	69	48	300	-344
CD163	69	56	301	-699
NFKBIA	68	35	302	-116
PIEZO1	68	23	303	-4
Glucose-6-phosphate isomerase	67	12	304	59
GBE1	67	24	305	-16
CD27	67	42	306	-238
CD40LG	67	29	307	-60
CLOCK	67	20	308	10
CDK1	66	40	309	-216
COL3A1	66	28	310	-52
BCHE	66	24	311	-22
PPARGC1A	66	7	312	81
ITGB1	66	43	313	-280
DRD4	66	11	314	62
VCAM1	66	19	315	18
MYB	66	33	316	-112
GBA	65	12	317	58
HTR1B	65	32	318	-99
SOD1	65	14	319	49
HMGB1	64	27	320	-57
THY1	64	33	321	-122
UMOD	64	30	322	-85
SNAP25	64	39	323	-225
GATA3	64	31	324	-99
APP	63	-20	325	171
IL2RA	63	34	326	-151
DDX58	63	23	327	-19
CHRM3	63	1	328	108
AKT1	63	20	329	2
AIF1	63	25	330	-39
EPAS1	63	13	331	55
GHR	62	-3	332	123
RBFOX3	62	43	333	-362
CREBBP	62	20	334	-1
CHGA	62	14	335	52
MYD88	62	5	336	95
IL22	62	46	337	-490
TAS2R38	62	23	338	-21
TNFSF10	61	36	339	-203
ALDH2	61	-18	340	177
ITGAM	61	38	341	-244
AGRP	61	31	342	-123
ADORA2A	61	17	343	30
