# gene	views	view_delta	view_rank	view_rank_delta
CX3CR1	61	36	344	-213
NOG	61	23	345	-29
SELP	60	29	346	-96
NT5E	60	46	347	-563
PVALB	60	29	348	-97
TNFRSF17	60	19	349	5
UNG	60	37	350	-248
RPS6KB1	60	27	351	-76
FCGR1A	59	24	352	-40
IL7	59	21	353	-13
FTO	59	24	354	-46
CD5	59	33	355	-184
SLC5A2	59	28	356	-95
XBP1	59	25	357	-55
GSDMD	59	35	358	-221
PF4	58	4	359	105
CCL3	58	30	360	-136
AIRE	58	5	361	100
RUNX1	58	29	362	-122
TIMP1	58	39	363	-361
CYP2B6	58	20	364	-7
MLH1	58	20	365	-7
TIGIT	57	29	366	-132
LCAT	57	13	367	56
VHL	57	29	368	-131
EZH2	57	19	369	-1
ANXA5	57	4	370	107
CNR2	56	9	371	78
SERPINA7	56	13	372	50
POU5F1	56	21	373	-21
PGR	56	-3	374	142
KLRK1	56	26	375	-91
BCL6	56	8	376	90
HLA-B	56	25	377	-73
TNFRSF4	56	38	378	-380
FGF2	56	5	379	106
LOX	55	6	380	102
LIF	55	20	381	-10
KL	55	12	382	63
ATM	55	13	383	52
CD63	55	41	384	-520
AGTR1	55	14	385	42
CCR7	55	23	386	-52
GRB2	55	22	387	-34
SOST	55	19	388	0
ADORA1	55	21	389	-20
ELANE	55	20	390	-9
MYCN	55	13	391	53
FGFR3	55	23	392	-49
BCR	54	11	393	75
GPX4	54	41	394	-562
SOX2	54	30	395	-174
MMP2	54	16	396	32
IL9	54	29	397	-148
DNASE1	54	35	398	-314
RAN	54	13	399	54
CTSB	54	29	400	-153
ALDOA	53	23	401	-56
SYP	53	18	402	6
S100B	53	14	403	43
BRD4	53	37	404	-435
PPY	52	26	405	-117
MTR	52	13	406	54
CD52	52	32	407	-251
RAF1	52	21	408	-36
SOD2	52	13	409	53
BMP4	52	26	410	-124
C9orf72	52	15	411	30
OCA2	52	2	412	135
F5	51	-5	413	171
CETP	51	21	414	-44
TNFSF13B	51	29	415	-192
NF1	51	-14	416	206
LALBA	51	4	417	121
IL17A	51	23	418	-87
FUS	51	32	419	-308
TSLP	51	21	420	-55
RAD51	50	13	421	46
LIPF	50	-2	422	157
MBP	50	21	423	-58
OCLN	50	29	424	-206
HSPD1	50	24	425	-103
IGF1R	50	26	426	-144
HTR7	50	7	427	99
HOXD13	50	2	428	141
HLA-E	50	20	429	-41
HRH3	49	2	430	138
CXCL9	49	30	431	-261
CXCL12	49	10	432	78
MBL2	49	4	433	129
IDO1	49	9	434	87
TNFRSF8	49	26	435	-159
CASR	49	20	436	-47
RHOA	49	16	437	18
TREM2	49	19	438	-36
AGER	49	28	439	-213
DBH	48	12	440	57
KITLG	48	19	441	-38
CD24	48	20	442	-52
THBD	48	21	443	-68
GALT	48	29	444	-257
AICDA	48	11	445	67
NR3C2	48	16	446	9
SLC5A1	48	29	447	-256
CD209	48	21	448	-64
HNF1A	48	33	449	-445
NANOG	47	5	450	118
VEGFA	47	13	451	45
CCL17	47	29	452	-293
CXCL13	47	37	453	-739
PDE5A	47	-17	454	239
CSF1R	47	14	455	35
YAP1	47	34	456	-514
IDH1	47	11	457	68
CDK4	47	25	458	-157
HLA-DRB1	47	20	459	-61
SI	46	29	460	-309
CD74	46	-6	461	197
EPCAM	46	14	462	29
DRD3	46	14	463	29
BACE1	46	7	464	109
PROS1	46	6	465	117
MMUT	46	6	466	117
IL2RG	46	20	467	-66
NTRK2	46	17	468	-19
SCN9A	46	2	469	155
CYP1A1	46	27	470	-259
OPRD1	46	8	471	98
PDGFRA	46	25	472	-176
FH	45	-12	473	233
VDR	45	2	474	154
CALR	45	9	475	90
CASP1	45	-3	476	191
GDF15	45	-3	477	189
MSH2	45	14	478	26
GHSR	45	13	479	39
SQSTM1	45	36	480	-919
CANX	44	12	481	50
OTC	44	29	482	-369
CD59	44	20	483	-81
PTGS1	44	-4	484	202
FAAH	44	14	485	24
IL3RA	44	38	486	-1320
ITGAE	44	36	487	-957
CHEK1	44	27	488	-297
LCK	44	26	489	-259
CTBP2	44	41	490	-2542
TGM2	44	19	491	-59
CTSD	44	24	492	-177
RUNX2	44	13	493	44
HEXA	44	18	494	-42
FOXO1	44	16	495	-9
KMT2A	44	10	496	86
LCN2	44	25	497	-234
ROS1	44	25	498	-235
CXCR3	43	24	499	-190
CD33	43	14	500	22
ALDOB	43	-1	501	191
CD2	43	24	502	-195
MYOD1	43	11	503	67
IL3	43	20	504	-91
IGFBP3	43	33	505	-724
TFRC	43	28	506	-375
TMPRSS2	43	-2	507	201
TP63	43	25	508	-253
TYK2	43	23	509	-168
PAX6	43	14	510	21
MAP1LC3B	43	29	511	-435
STING1	43	13	512	36
FOXO3	42	7	513	120
RELN	42	16	514	-12
CXCL2	42	30	515	-507
CCR4	42	23	516	-183
SREBF1	42	12	517	44
EAPP	42	32	518	-761
GAL	41	22	519	-169
HLA-G	41	27	520	-383
VCL	41	17	521	-46
FCER2	41	23	522	-219
LRP1	41	24	523	-257
FOLH1	41	26	524	-333
CD22	41	18	525	-67
RAC1	41	6	526	129
CEBPA	41	22	527	-183
ZAP70	41	22	528	-187
ARNTL	41	22	529	-193
CASP9	41	18	530	-70
TBX21	41	20	531	-119
MAVS	41	20	532	-119
SLC52A2	41	17	533	-45
IL33	41	19	534	-87
CDKN1B	41	5	535	145
AGL	40	14	536	13
CPS1	40	-1	537	197
PLN	40	-15	538	292
CXCR5	40	23	539	-238
CXCL5	40	28	540	-480
BIRC5	40	21	541	-152
TNFSF9	40	32	542	-889
CYP17A1	40	8	543	108
MAP2	40	6	544	136
TNFRSF11A	40	20	545	-117
PTK2	40	10	546	82
IGF2	40	11	547	61
CDC20	40	19	548	-83
AXL	40	17	549	-47
NTF3	40	12	550	47
MIPEP	40	38	551	-3564
ANXA1	40	9	552	99
KDM1A	40	28	553	-507
NAMPT	40	28	554	-522
SIRPA	40	31	555	-857
UOX	40	1	556	195
DCN	40	16	557	-24
MC4R	39	6	558	142
TFPI	39	6	559	137
GAA	39	24	560	-306
ABCG2	39	13	561	23
TGFA	39	6	562	138
SDC1	39	26	563	-418
CDK6	39	30	564	-786
PMS2	39	28	565	-578
LPO	38	14	566	4
APLN	38	-45	567	412
IL21	38	21	568	-211
KCNJ1	38	-4	569	233
HRH4	38	12	570	43
NES	38	20	571	-182
GATA1	38	24	572	-367
PDGFRB	38	26	573	-500
F12	37	-20	574	335
APAF1	37	25	575	-438
FYN	37	14	576	-10
VTN	37	16	577	-49
CYP21A2	37	8	578	98
HEPH	37	7	579	119
ZBTB7A	37	21	580	-232
IFIH1	37	9	581	81
EIF4E	37	22	582	-280
EP300	37	10	583	70
NTRK1	37	12	584	37
BMP2	37	11	585	50
TERC	37	27	586	-654
TJP1	37	12	587	32
CYP3A	37	-7	588	272
SOX10	37	28	589	-779
SLC2A5	37	8	590	100
KEAP1	37	13	591	14
LGR5	37	6	592	137
IL6ST	36	28	593	-825
C5	36	19	594	-176
TSPO	36	19	595	-179
CD9	36	16	596	-61
PNPLA2	36	18	597	-149
NR1H4	36	9	598	84
CDC42	36	13	599	-3
IRF3	36	9	600	83
GDNF	36	6	601	129
STAT6	36	13	602	-1
MYH9	35	24	603	-483
SELE	35	14	604	-18
FAP	35	24	605	-484
TMSB4X	35	-4	606	253
PDPN	35	16	607	-91
PRG2	35	18	608	-174
PRKN	35	-8	609	286
HRAS	35	9	610	79
SLC12A3	35	7	611	110
SP1	35	-2	612	232
AVPR1A	35	10	613	64
DDIT3	35	28	614	-1017
KLRG1	35	23	615	-459
PALB2	35	21	616	-329
CDT1	35	7	617	109
POR	34	21	618	-333
TYRP1	34	18	619	-191
RETN	34	7	620	110
DROSHA	34	15	621	-73
GRM5	34	22	622	-401
ITGA4	34	26	623	-809
NR1I2	34	4	624	161
CYBB	34	20	625	-287
CHRM4	34	17	626	-160
TCN1	34	13	627	-6
PRDM1	34	4	628	161
THBS1	34	12	629	18
PTCH1	34	13	630	-8
DNMT1	34	17	631	-163
TCHH	34	27	632	-1027
FGFR1	34	14	633	-43
CFP	34	16	634	-128
PAX3	34	-5	635	277
MITF	33	17	636	-173
PLIN1	33	1	637	207
CCL11	33	12	638	14
NR4A1	33	23	639	-542
CR1	33	15	640	-99
HPX	33	13	641	-19
SLC4A1	33	20	642	-320
ABO	33	-5	643	280
IRS1	33	-23	644	401
PIK3CA	33	1	645	206
FKBP5	33	13	646	-20
S1PR1	33	19	647	-269
CYP7A1	33	17	648	-178
CCN2	33	15	649	-108
SNAI1	33	17	650	-178
INHBB	33	18	651	-228
FLT3	33	22	652	-478
PROM1	33	18	653	-230
PTPN1	33	22	654	-478
XRCC1	33	25	655	-853
CES1	33	11	656	40
IKBKB	33	13	657	-17
RORC	33	16	658	-139
MEN1	32	18	659	-241
CD46	32	4	660	167
TPMT	32	17	661	-191
RNASE3	32	12	662	1
CENPA	32	4	663	161
EIF2AK2	32	13	664	-47
GCGR	32	10	665	56
STK11	32	6	666	129
ERBB3	32	25	667	-979
MCL1	32	13	668	-50
CX3CL1	32	10	669	57
APOC3	32	19	670	-316
MIF	32	4	671	165
LFNG	32	11	672	29
APOC2	32	10	673	56
APOBEC3G	32	16	674	-162
SMN1	32	13	675	-57
VCP	32	20	676	-393
NRP1	32	22	677	-595
PINK1	32	9	678	73
TET1	32	22	679	-598
MGMT	31	10	680	53
MMP3	31	7	681	116
PNMT	31	-1	682	250
CCR6	31	26	683	-1396
CD7	31	18	684	-275
PNLIP	31	1	685	223
WNT4	31	23	686	-757
EGR1	31	-20	687	418
ESR2	31	5	688	159
ATRX	31	10	689	55
CYP51A1	31	16	690	-179
ICOS	31	9	691	81
NEB	31	7	692	116
ATP6	31	22	693	-644
IL6R	31	14	694	-102
SMO	31	19	695	-368
POSTN	31	13	696	-68
PAX5	31	11	697	16
PDPK1	31	-18	698	418
RIPK1	31	14	699	-103
CYSLTR1	31	24	700	-1040
RAB25	31	31	701	-9842
DLG4	30	5	702	159
GRIA1	30	26	703	-1734
GGCX	30	-15	704	401
SLC16A1	30	2	705	208
DDR1	30	13	706	-78
ABCC2	30	1	707	222
ADAM10	30	22	708	-754
IL11	30	13	709	-82
CYP3A5	30	6	710	138
GATA2	30	19	711	-408
BECN1	30	18	712	-329
ERN1	30	20	713	-510
HTR6	30	12	714	-41
RAG1	30	12	715	-41
LEPR	30	15	716	-160
ADAM17	30	20	717	-514
CDA	30	16	718	-207
FPR1	30	26	719	-1914
PKM	30	21	720	-656
ITGAX	29	16	721	-229
ATR	29	9	722	67
CCR2	29	6	723	140
OSM	29	12	724	-47
CD81	29	20	725	-565
HK2	29	6	726	137
TNFRSF1A	29	20	727	-573
LRRK2	29	6	728	138
NOD2	29	6	729	138
AREG	29	17	730	-298
EEF1A1	29	14	731	-132
F2RL1	29	21	732	-741
MFGE8	29	6	733	134
PRLR	29	13	734	-88
LBP	29	15	735	-193
IL4R	29	14	736	-144
CASP8	29	7	737	124
DCX	29	11	738	-22
NPM1	29	14	739	-148
P2RX4	29	23	740	-1208
EOMES	29	22	741	-971
SLC7A11	29	18	742	-410
GPER1	29	-2	743	287
CFB	29	13	744	-104
TBK1	29	16	745	-263
LYVE1	28	24	746	-1676
SYK	28	9	747	56
CCKBR	28	9	748	44
HLA-C	28	16	749	-294
IL16	28	17	750	-371
GYPA	28	18	751	-471
ERG	28	10	752	-2
TACSTD2	28	20	753	-737
ACP5	28	-1	754	266
OPRL1	28	-2	755	284
APOH	28	13	756	-128
ANXA2	28	22	757	-1164
NR5A1	28	3	758	200
JAK1	28	-5	759	330
PIM1	28	18	760	-498
PGF	28	10	761	-2
PML	28	9	762	26
ABCA1	27	3	763	200
DLAT	27	9	764	27
ACAN	27	9	765	27
GRM2	27	18	766	-533
FNDC5	27	6	767	139
ACP3	27	12	768	-88
ROCK1	27	8	769	69
SV2A	27	14	770	-194
CYP2A6	27	1	771	241
MUTYH	27	11	772	-46
PTPN11	27	-11	773	408
CDH5	27	9	774	24
EIF4EBP1	27	13	775	-138
ALDH1A1	27	16	776	-341
NQO1	27	15	777	-262
PVR	27	16	778	-345
TNC	27	13	779	-144
CALB2	27	15	780	-269
TGFB2	27	16	781	-346
FGFR2	27	18	782	-571
P2RX7	27	6	783	137
NRF1	27	11	784	-54
POLG	27	4	785	181
MERTK	27	15	786	-284
CD160	27	25	787	-3813
SIRT6	27	7	788	105
XIAP	27	16	789	-385
CCL7	26	21	790	-1268
CBS	26	-1	791	282
ADM	26	14	792	-224
CD70	26	17	793	-499
MUSK	26	14	794	-224
IL1R1	26	21	795	-1285
FXN	26	12	796	-113
PIEZO2	26	6	797	134
NR1D1	26	11	798	-63
MFN2	26	17	799	-517
TP73	26	18	800	-655
ADRA1A	26	-9	801	403
GMNN	26	12	802	-118
FLT1	26	16	803	-423
CDKL5	26	6	804	133
TFAM	26	16	805	-433
CD200	26	12	806	-128
NOS1	26	13	807	-186
SERPINF1	26	-8	808	397
RPE65	26	7	809	75
KLF4	26	13	810	-189
TNFSF14	26	19	811	-920
TFEB	26	19	812	-921
MGAM	26	10	813	-30
PNPLA3	26	11	814	-82
NOTCH1	26	3	815	209
SERPINA6	25	8	816	44
PRTN3	25	15	817	-362
ITGB2	25	4	818	195
SMAD4	25	14	819	-272
MTTP	25	16	820	-474
PLK1	25	7	821	78
CYP27B1	25	-4	822	340
ADGRE1	25	16	823	-488
SERPINF2	25	19	824	-994
TRPV2	25	19	825	-995
CHUK	25	17	826	-625
ALPP	25	10	827	-37
AVPR2	25	7	828	79
MIR155	25	7	829	78
CTSK	25	4	830	198
DDX3X	25	17	831	-639
HSF1	25	15	832	-400
CA2	25	13	833	-218
GIPR	25	15	834	-409
TNFAIP3	25	16	835	-511
CDH13	25	13	836	-218
IRF4	25	-2	837	321
FGF9	25	9	838	5
LDHA	25	9	839	5
NRG1	25	-1	840	300
HDAC1	25	14	841	-295
ISG15	25	13	842	-223
NRAS	25	12	843	-154
SATB2	25	13	844	-227
PDK4	25	8	845	47
SIRT3	25	17	846	-689
TRIM21	25	18	847	-889
GGH	25	14	848	-310
DKK1	25	3	849	229
HAVCR2	25	13	850	-229
MALAT1	25	10	851	-46
HCAR2	25	20	852	-1552
CFI	25	13	853	-230
CDK5	25	13	854	-230
DES	24	-2	855	334
DLD	24	4	856	202
SPN	24	7	857	89
IL1RL1	24	1	858	276
SPARC	24	13	859	-231
ATP7B	24	0	860	294
GRIA2	24	15	861	-442
PAX8	24	5	862	166
CCL22	24	18	863	-951
RORA	24	17	864	-739
KRT19	24	11	865	-101
HBA1	24	-7	866	420
UBE3A	24	-2	867	335
CDKN2B	24	18	868	-971
DNMT3A	24	14	869	-346
EEF2	24	4	870	203
ACVR1	24	0	871	296
ALOX15	24	20	872	-1673
NR1I3	24	16	873	-603
FADD	24	8	874	53
MLANA	24	23	875	-4756
TEC	24	14	876	-365
MSR1	24	10	877	-54
LTA	24	11	878	-107
IRF7	24	11	879	-108
HLA-DQB1	24	5	880	152
MSLN	24	9	881	-5
IKZF1	24	13	882	-255
PPARD	24	-4	883	376
PRKDC	24	2	884	266
SUCLA2	24	-24	885	594
ZBP1	24	17	886	-864
TPH2	24	15	887	-522
THCYTX	24	3	888	235
RNR2	23	8	889	40
IDE	23	14	890	-395
HSD11B1	23	11	891	-133
ATF4	23	5	892	148
MASP1	23	12	893	-204
CD79A	23	12	894	-205
HK1	23	7	895	81
PPAT	23	4	896	194
CALM2	23	19	897	-1575
HSPA8	23	4	898	192
CDX2	23	4	899	190
FEN1	23	8	900	32
DMRT1	23	-1	901	328
GJB2	23	15	902	-580
GRN	23	9	903	-21
IRAK1	23	18	904	-1300
NOTCH3	23	17	905	-997
MTAP	23	15	906	-606
NPC1	23	3	907	232
TRAF2	23	15	908	-610
KMT2D	23	12	909	-231
HBEGF	23	15	910	-615
FGF19	23	8	911	20
IRAK4	23	12	912	-245
PSEN1	23	-11	913	500
ENTPD1	22	10	914	-96
GC	22	11	915	-170
ASL	22	10	916	-96
LIPC	22	13	917	-367
FECH	22	-1	918	334
ITGAL	22	13	919	-368
HDC	22	5	920	144
SCARB1	22	-1	921	334
AGRN	22	7	922	67
SRF	22	12	923	-266
KLRC1	22	18	924	-1534
CLPS	22	-2	925	357
PMEL	22	16	926	-886
CXADR	22	10	927	-104
ADH1B	22	-3	928	382
FGF1	22	3	929	221
CDKN2D	22	15	930	-691
ALAD	22	2	931	266
CYP11B2	22	15	932	-706
IGH	22	-3	933	381
MPL	22	14	934	-564
MPZ	22	14	935	-567
TACR1	22	6	936	105
MAPK1	22	13	937	-412
MSH6	22	16	938	-979
IKBKG	22	2	939	266
RBP4	22	10	940	-115
HNMT	22	1	941	299
NR0B1	22	-3	942	383
TLR4	22	9	943	-48
TRADD	22	15	944	-743
PYCARD	22	12	945	-322
SLC10A1	22	-5	946	428
TNFSF13	22	15	947	-785
RAD50	22	16	948	-1056
ADAMTS8	22	22	949	-9165
HDAC3	22	20	950	-3816
ORAI1	22	16	951	-1091
HSPA1A	21	13	952	-468
BAD	21	5	953	145
CD83	21	15	954	-823
PRAME	21	0	955	330
CYGB	21	16	956	-1114
CEACAM1	21	17	957	-1479
NPC1L1	21	6	958	104
COL4A1	21	7	959	54
MX1	21	12	960	-344
CD3D	21	10	961	-146
GJA1	21	13	962	-487
ARNT	21	9	963	-69
STMN1	21	15	964	-867
CTSS	21	13	965	-499
AMY1A	21	9	966	-70
FOXL2	21	10	967	-151
FANCE	21	2	968	254
LPAR1	21	15	969	-895
GATA4	21	0	970	333
ACADS	21	7	971	52
FOLR1	21	13	972	-511
PRSS1	21	13	973	-515
HTR1D	21	2	974	253
MMP8	21	16	975	-1211
GPX1	21	6	976	101
CD99	21	15	977	-913
TEK	21	14	978	-682
GDF11	21	-12	979	554
PRKCA	21	13	980	-521
RHD	21	-1	981	367
MCAM	21	15	982	-941
SOCS3	21	12	983	-372
FOXA1	21	14	984	-695
ENPP2	21	15	985	-951
MAP3K5	21	5	986	151
SPINK1	21	10	987	-152
S100A9	21	12	988	-381
SORT1	21	16	989	-1265
IL32	21	15	990	-963
SF3B1	21	8	991	-7
POLE	21	15	992	-976
GPR55	21	8	993	-8
VKORC1	21	13	994	-551
CXXC1	21	1	995	313
TET2	21	10	996	-167
BCL11A	21	12	997	-407
DIABLO	21	14	998	-754
ADAM22	21	-3	999	419
HOTAIR	21	1	1000	313
COL2A1	20	13	1001	-569
