# gene	views	view_delta	view_rank	view_rank_delta
SERPINE1	114	39	132	-111
PPP1R1B	114	33	133	-91
PPARG	114	-29	134	27
PLG	113	4	135	-20
IAPP	113	0	136	-15
INSR	112	-7	137	-4
DMD	112	-4	138	-8
MC1R	111	26	139	-67
CD80	111	36	140	-104
DRD1	111	45	141	-135
NPY	110	-23	142	19
STAT3	110	30	143	-85
CDK2	110	17	144	-44
MECP2	109	25	145	-66
CD44	108	-41	146	48
PTPRC	108	-21	147	22
SIRT1	108	45	148	-141
BTK	107	18	149	-48
PTEN	107	-11	150	7
PROC	107	-13	151	12
CASP3	106	-23	152	26
FASLG	105	-23	153	25
ADAMTS13	105	16	154	-44
MME	104	20	155	-54
CD68	104	4	156	-13
CCL2	103	-4	157	-2
CXCL10	103	20	158	-55
FGF23	103	15	159	-42
CST3	102	12	160	-33
HTT	102	24	161	-73
DPP4	102	0	162	-4
CTCF	101	-5	163	3
LDLR	100	22	164	-69
SERPING1	100	27	165	-87
SLC18A2	100	22	166	-70
TAAR1	100	1	167	-8
EGFLAM	100	7	168	-21
ADIPOQ	99	-21	169	31
HBB	99	12	170	-33
APC	98	-14	171	19
CXCR4	98	2	172	-10
CYP2C9	98	15	173	-41
PECAM1	98	-1	174	1
ATM	97	26	175	-82
KCNH2	96	-16	176	23
ELN	96	-23	177	35
F3	95	-25	178	41
SHH	95	-30	179	47
FURIN	95	5	180	-16
FOXP3	94	23	181	-77
PCNA	94	1	182	-5
VIM	93	9	183	-25
LPL	92	-13	184	23
FST	92	-16	185	28
GFAP	91	5	186	-19
TTR	91	-22	187	37
THY1	91	15	188	-53
CSH1	91	-26	189	45
CCL5	91	-3	190	5
NLRP3	91	11	191	-36
TH	90	0	192	-2
PPARGC1A	90	-10	193	23
ABL1	89	-10	194	22
CD28	88	-9	195	15
C3	88	-3	196	4
SLC6A2	88	-26	197	49
SPP1	87	9	198	-34
ALDH2	87	-8	199	16
CXCL1	87	7	200	-26
FOXP2	87	-55	201	92
PTHLH	87	5	202	-16
HFE	86	1	203	-4
PTGS2	86	-2	204	4
ADRA2A	86	31	205	-135
CPT1A	86	4	206	-15
CD14	85	-8	207	21
ACTB	85	28	208	-121
FOSB	85	4	209	-14
TBCD	85	32	210	-142
VCAM1	84	16	211	-59
LGALS3	84	10	212	-38
PC	83	7	213	-27
THPO	82	-16	214	38
CHGA	82	3	215	-15
IL13	82	-13	216	32
TARDBP	82	-19	217	49
CIRBP	81	58	218	-614
MYCN	81	-18	219	45
FAS	80	-2	220	3
SOD1	80	5	221	-25
TGFB1	80	-25	222	58
NF1	79	-13	223	33
ACKR1	79	-30	224	68
CD47	79	8	225	-34
RET	78	29	226	-160
DICER1	78	-6	227	17
GHRH	78	-27	228	65
ADRB3	77	-31	229	71
P2RY12	77	-1	230	-7
MET	76	-22	231	54
HRH2	76	21	232	-107
GNAS	76	-29	233	71
BGLAP	76	-3	234	5
MYD88	76	15	235	-67
MDM2	76	11	236	-43
JAK2	76	-1	237	-2
LIPE	75	-5	238	13
PYY	75	-13	239	40
HGF	75	24	240	-126
COX1	75	0	241	-4
IL15	75	-7	242	22
F10	74	-39	243	94
IDO1	74	6	244	-24
CCL4	73	-5	245	14
PF4	73	3	246	-15
GSR	73	-1	247	-1
GBA	72	32	248	-217
KITLG	72	33	249	-233
HTR4	72	4	250	-21
GCK	71	-4	251	9
FCGRT	71	7	252	-30
NFKBIA	71	12	253	-66
MAOB	71	-27	254	75
AIRE	70	11	255	-63
HTR2B	70	-12	256	37
LALBA	70	-2	257	3
ADA	69	0	258	-8
MMP9	69	-3	259	3
GLP1R	69	3	260	-17
CHRM1	68	-22	261	66
IL18	67	5	262	-34
TERT	67	3	263	-23
FGF2	67	0	264	-11
HRH3	66	5	265	-33
PLAU	66	9	266	-60
DDX58	66	12	267	-79
CCR7	66	2	268	-16
AKT1	66	6	269	-43
HLA-A	66	-9	270	23
OPRD1	66	-55	271	135
APP	65	-36	272	105
TYMS	65	9	273	-60
A2M	65	17	274	-123
UCP1	65	11	275	-73
TRPA1	65	-3	276	7
ADORA2A	65	-5	277	12
OCA2	65	-4	278	11
MBP	64	-6	279	17
TBP	64	13	280	-94
GDF15	64	-1	281	1
PPY	63	-10	282	31
CD36	63	-4	283	11
MBL2	63	26	284	-226
HSPD1	63	11	285	-72
PGR	63	1	286	-7
IL5	63	0	287	-4
ACTA2	63	-24	288	84
CTSB	63	23	289	-185
TNFRSF11B	62	9	290	-60
CD40LG	62	15	291	-116
F5	61	2	292	-23
ADAR	61	10	293	-71
BRCA2	61	-54	294	147
UMOD	61	10	295	-74
OPN4	61	0	296	-5
ESR1	61	14	297	-111
CFH	61	-36	298	117
OXTR	61	5	299	-38
CCND1	61	-21	300	78
PPARA	61	0	301	-3
F12	60	13	302	-100
CD69	60	-18	303	68
CYP2B6	60	5	304	-40
F9	59	-1	305	-2
FLG	59	-24	306	94
CREBBP	59	-3	307	15
IL33	59	1	308	-16
AGER	59	21	309	-195
PARP1	58	-1	310	-3
BCR	58	1	311	-14
ITGAM	58	-1	312	-4
TMSB4X	58	-33	313	122
SELL	58	-29	314	112
HTR1B	58	6	315	-41
CYP2E1	58	13	316	-114
HTR7	58	-3	317	14
CD163	58	-92	318	221
TNS2	58	-4	319	22
FCGR1A	57	-3	320	12
HMGB1	57	-13	321	58
FMR1	57	10	322	-82
VEGFA	57	7	323	-56
TGM2	57	2	324	-18
BCL6	57	9	325	-75
LIF	56	-2	326	4
RBFOX3	56	-5	327	27
RELA	56	-16	328	75
CHAT	56	6	329	-51
AIF1	56	9	330	-79
GATA4	56	52	331	-2986
TNFRSF9	56	7	332	-61
MYB	56	24	333	-274
CAMP	56	-1	334	3
FOXO3	55	20	335	-204
CXCL9	55	6	336	-52
BCHE	55	7	337	-61
CCL3	55	9	338	-78
TIGIT	55	9	339	-78
CHRM3	55	-9	340	57
FTO	55	3	341	-19
SLC52A2	55	24	342	-299
KL	54	8	343	-71
PLN	54	-2	344	12
TNFSF13B	54	-5	345	28
MC4R	54	3	346	-22
CASR	54	-6	347	36
SYP	54	5	348	-42
IL7	54	-1	349	8
PAX6	54	2	350	-13
CD74	53	-4	351	23
TRPM8	53	2	352	-20
AGTR1	53	5	353	-46
SOST	53	22	354	-277
YAP1	53	17	355	-172
TFRC	53	13	356	-117
DRD3	52	-4	357	23
CD86	52	1	358	-13
FGF21	52	-18	359	95
KLRK1	52	-4	360	25
ANXA5	52	-4	361	23
MSH2	52	25	362	-366
XIST	52	2	363	-22
SREBF1	52	-7	364	43
IL2RA	51	-8	365	51
CD9	51	14	366	-142
CXCL12	51	-3	367	22
CXCL13	51	20	368	-257
HRH4	51	17	369	-189
PROS1	51	0	370	0
TNFRSF11A	51	29	371	-490
NR3C2	51	-9	372	62
CHEK2	51	8	373	-74
SLC5A2	51	2	374	-20
CX3CR1	51	-1	375	14
PAX3	51	15	376	-158
PIEZO1	51	-6	377	47
Glucose-6-phosphate isomerase	50	-20	378	118
MMP2	50	9	379	-79
ADORA1	50	-12	380	85
ALK	50	7	381	-65
STK11	50	16	382	-184
IL22	50	0	383	0
SMN1	50	24	384	-379
TSLP	50	1	385	-10
SERPINA7	49	-12	386	87
CALR	49	11	387	-109
POU5F1	49	-34	388	173
CRBN	49	2	389	-16
LCK	49	8	390	-70
DNASE1	49	9	391	-79
UNG	49	-3	392	33
KMT2A	49	14	393	-153
MLH1	49	-18	394	120
CSF1	48	-12	395	86
CNR2	48	4	396	-40
CD27	48	-6	397	50
COL1A1	48	7	398	-58
ITGB1	48	20	399	-297
STAT1	48	16	400	-204
GHSR	48	23	401	-387
PPARD	48	-10	402	79
TXN	47	-16	403	115
PAH	47	2	404	-21
SELP	47	9	405	-90
FOLH1	47	20	406	-309
VHL	47	5	407	-43
SOD2	47	6	408	-51
CASP1	47	-3	409	27
RPS6KB1	47	0	410	0
TREM2	47	-6	411	58
IGF2	46	-5	412	39
EZH2	46	-26	413	158
THBS1	46	-10	414	78
HLA-B	46	10	415	-116
BRD4	46	18	416	-293
MTR	45	-2	417	14
FAP	45	10	418	-120
CD33	45	3	419	-29
ACAN	45	8	420	-87
LIPF	45	2	421	-22
CCL17	45	26	422	-550
CSF1R	45	-17	423	129
TNFRSF17	45	-6	424	49
IDH1	45	4	425	-39
TIMP1	45	16	426	-257
TYK2	45	-19	427	140
RORC	45	12	428	-158
PDGFRA	45	0	429	-5
TYRP1	44	10	430	-124
VDR	44	-13	431	104
CYP17A1	44	8	432	-90
ADRA1A	44	8	433	-92
NR1H4	44	3	434	-28
SCN9A	44	15	435	-247
CLOCK	44	4	436	-42
LAMP1	44	6	437	-62
JAK1	44	18	438	-322
CETP	43	12	439	-178
IFNGR1	43	14	440	-231
GATA3	43	-9	441	83
BECN1	43	27	442	-701
RAN	43	6	443	-73
H2AX	43	-12	444	101
SOX9	43	-16	445	125
SIRPA	43	-18	446	141
CD81	42	-3	447	20
MGMT	42	4	448	-46
GRM5	42	13	449	-224
THBD	42	20	450	-410
SOX2	42	-41	451	235
CD209	42	-5	452	46
FOXO1	42	-4	453	33
FLT3	42	-7	454	62
S100B	42	-5	455	43
LOX	41	-6	456	55
CCR4	41	17	457	-339
DRD4	41	-33	458	209
SNAP25	41	18	459	-375
IGF1R	41	-24	460	182
OPRL1	41	14	461	-266
TMPRSS2	41	1	462	-13
TAS2R38	41	-6	463	52
HLA-DRB1	41	-4	464	29
LRRK2	40	6	465	-92
IL2RG	40	24	466	-668
BMP4	40	3	467	-47
NES	40	3	468	-47
LCN2	40	7	469	-115
GATA1	40	10	470	-193
GSDMD	40	-2	471	17
TNFSF10	39	-2	472	17
TSPO	39	19	473	-454
DLG4	39	-7	474	59
CR2	39	10	475	-195
EPCAM	39	-12	476	109
AICDA	39	-1	477	11
PVALB	39	8	478	-149
RUNX1	39	-5	479	42
EP300	39	-6	480	49
TGFA	39	9	481	-175
TP63	39	-11	482	98
STING1	39	-1	483	4
CDKN1B	39	8	484	-161
CBS	38	14	485	-308
CCR2	38	-5	486	44
CD52	38	9	487	-181
HSPA5	38	-8	488	67
ARNTL	38	12	489	-265
HLA-E	38	4	490	-77
TNFRSF4	38	-8	491	69
IL17A	38	-6	492	54
SMO	38	1	493	-25
LGR5	38	14	494	-324
RAD51	37	5	495	-97
TSHR	37	11	496	-243
TPMT	37	5	497	-97
CYP11A1	37	14	498	-327
PTGS1	37	-30	499	226
PDE5A	37	-12	500	111
SLC5A1	37	3	501	-58
IRS1	37	1	502	-22
CHRM2	37	-9	503	85
ELANE	37	-5	504	53
ATF3	37	10	505	-218
HLA-C	37	3	506	-58
GIPR	37	2	507	-40
IRF3	37	4	508	-75
ROS1	37	-14	509	132
CFB	37	6	510	-134
DBH	36	-13	511	124
CCL20	36	13	512	-314
NOD2	36	1	513	-29
OCLN	36	1	514	-30
RAC1	36	5	515	-114
AVPR1A	36	-2	516	19
AOAH	36	32	517	-2757
GCGR	36	-15	518	142
MIF	36	0	519	-13
SOX10	36	0	520	-13
NRF1	36	9	521	-212
TFEB	36	17	522	-481
ERVW-1	36	4	523	-90
HECW2	36	-42	524	286
IL23A	35	11	525	-267
MMP3	35	4	526	-94
BACE1	35	4	527	-97
AGRP	35	-15	528	147
BMP2	35	-4	529	41
PRDM1	35	-5	530	58
CD5	35	-9	531	92
PGF	35	8	532	-199
PINK1	35	6	533	-154
HAVCR2	35	3	534	-80
CD63	34	-30	535	254
CD59	34	3	536	-83
MOG	34	-17	537	172
CXCL5	34	5	538	-134
GBE1	34	1	539	-34
MYOD1	34	6	540	-155
NR1I2	34	3	541	-85
CTSD	34	8	542	-207
ADCYAP1	34	12	543	-332
APOL1	34	8	544	-222
DKK1	34	1	545	-44
NOG	34	2	546	-69
SELE	33	2	547	-71
IL21	33	5	548	-143
CXCL2	33	5	549	-143
HK2	33	0	550	-24
FAAH	33	-6	551	68
CCL18	33	17	552	-575
RNASE3	33	8	553	-224
TNFRSF8	33	-7	554	87
AREG	33	3	555	-97
HRAS	33	0	556	-20
MIR155	33	18	557	-645
IGFBP3	33	0	558	-21
CALB2	33	4	559	-121
CASP8	33	3	560	-98
FGFR3	33	-4	561	44
POSTN	33	3	562	-102
ATR	32	-6	563	70
HLA-G	32	-5	564	58
FYN	32	9	565	-258
GPX4	32	-5	566	57
CXCR5	32	-4	567	46
PRKN	32	9	568	-261
SELPLG	32	-1	569	-6
CEBPA	32	4	570	-128
F2RL1	32	1	571	-62
PVR	32	6	572	-180
ACP5	32	0	573	-28
PDE2A	32	32	574	-9046
KLRG1	32	-7	575	84
PRKDC	32	4	576	-134
NRP1	32	10	577	-307
CS	31	-29	578	272
FH	31	-21	579	225
SPARC	31	6	580	-192
NOS3	31	-14	581	153
CYP21A2	31	1	582	-67
ALDOB	31	9	583	-273
ZBTB7A	31	6	584	-189
PLK1	31	2	585	-89
IL11	31	-9	586	117
TJP1	31	-9	587	111
NEFL	31	-9	588	111
APOC2	31	-1	589	-21
EDAR	31	-7	590	90
PDGFRB	31	14	591	-517
LPO	30	9	592	-297
ALDOA	30	-6	593	74
ENTPD1	30	9	594	-296
AGL	30	7	595	-226
CXCR3	30	-13	596	155
SERPINA6	30	8	597	-255
COL3A1	30	-18	598	202
AGRN	30	16	599	-671
VCL	30	-2	600	4
FCER2	30	-2	601	4
BIRC5	30	-3	602	30
LRP1	30	-13	603	159
CD55	30	-5	604	63
NPHS1	30	8	605	-252
PDPN	30	9	606	-293
LCAT	30	-9	607	123
IL3	30	-24	608	259
ABO	30	-15	609	180
RHOA	30	-9	610	123
CHRM4	30	8	611	-252
NTRK1	30	6	612	-187
EIF4EBP1	30	3	613	-108
CACNA1C	30	5	614	-168
NTRK2	30	-34	615	330
FOXG1	30	16	616	-681
CASP9	30	-1	617	-20
CCN2	30	6	618	-189
LTA	30	-15	619	187
ANXA1	30	-22	620	258
CDC42	30	11	621	-373
LDHA	30	7	622	-219
NRG1	30	-2	623	15
APOBEC3G	30	12	624	-421
SMN2	30	14	625	-537
PDPK1	30	3	626	-110
MEN1	29	-1	627	-20
CDK1	29	-16	628	202
FCGR2B	29	18	629	-942
PNLIP	29	-6	630	87
SLC4A1	29	6	631	-197
ABCC2	29	12	632	-447
IL9	29	2	633	-85
ESRRA	29	17	634	-837
EIF4E	29	-3	635	36
CDH5	29	14	636	-565
FADD	29	-5	637	72
IL31	29	9	638	-303
MLANA	29	-1	639	-15
HTR6	29	7	640	-233
LEPR	29	5	641	-164
MGP	29	8	642	-270
CYP7A1	29	5	643	-163
CD276	29	-4	644	64
CYP3A	29	1	645	-58
NR5A1	29	-1	646	-16
FGFR1	29	1	647	-57
P2RX7	29	1	648	-59
SCN10A	29	-3	649	38
NAMPT	29	-4	650	62
RIPK1	29	-10	651	159
DES	28	-18	652	239
POR	28	-4	653	60
PLIN1	28	-9	654	149
SYK	28	1	655	-59
SV2A	28	-4	656	58
ESR2	28	0	657	-40
CYBB	28	9	658	-315
CHEK1	28	2	659	-88
PTPN11	28	-13	660	199
PRNP	28	-12	661	193
PIK3CA	28	4	662	-138
NGFR	28	0	663	-36
AXL	28	-21	664	273
DYRK1A	28	12	665	-476
EEF2	28	-3	666	32
FSHR	28	11	667	-420
HOXD13	28	-8	668	139
TEAD1	28	-2	669	12
ZP3	28	16	670	-835
NPC1	28	3	671	-116
ENPP2	28	6	672	-205
CFP	28	-3	673	34
GDNF	28	2	674	-87
SQSTM1	28	-18	675	251
SALL4	28	16	676	-862
ADAM22	28	-10	677	174
GAL	27	-23	678	300
OSM	27	16	679	-873
NANOG	27	-9	680	160
CR1	27	-2	681	12
DROSHA	27	9	682	-328
SRF	27	1	683	-60
SLC25A13	27	10	684	-391
ITGAE	27	-14	685	228
CRHR1	27	-2	686	10
NQO1	27	19	687	-1347
ABCG2	27	0	688	-37
FLT1	27	1	689	-64
MCL1	27	-9	690	162
RARA	27	12	691	-522
IL25	27	20	692	-1571
CX3CL1	27	1	693	-62
TERC	27	17	694	-1058
SDC1	27	-8	695	147
C9orf72	27	-19	696	273
MSLN	27	-1	697	-8
IKZF1	27	-15	698	245
KLRB1	27	13	699	-627
SMARCA4	27	-7	700	132
PML	27	14	701	-715
VCP	27	-7	702	133
SLC2A5	27	-11	703	202
KEAP1	27	-6	704	117
MAVS	27	10	705	-408
LOXHD1	27	26	706	-7523
NNMT	27	16	707	-986
ASL	26	10	708	-411
CD24	26	-5	709	88
GRM2	26	11	710	-474
EEF1A1	26	4	711	-153
MEFV	26	8	712	-306
SLC12A3	26	-8	713	152
AVPR2	26	-10	714	188
EIF2AK2	26	-8	715	153
ATRX	26	1	716	-67
DMRT1	26	7	717	-263
EPAS1	26	2	718	-84
MADCAM1	26	-3	719	38
TFAM	26	4	720	-156
LHCGR	26	-2	721	15
S100A9	26	11	722	-513
SDHB	26	5	723	-195
NRAS	26	-1	724	-8
MAP1LC3B	26	2	725	-91
CANX	25	-10	726	189
CD46	25	-27	727	372
PLP1	25	-9	728	173
SCARB1	25	-1	729	-12
GGCX	25	-10	730	190
TNFRSF1A	25	-6	731	108
ATF4	25	-1	732	-12
CD22	25	-14	733	248
PRG2	25	10	734	-455
RAF1	25	-12	735	223
TRHR	25	5	736	-200
CDX2	25	2	737	-99
GRIN2B	25	-3	738	38
H3-3A	25	13	739	-749
RUNX2	25	-17	740	288
IGFBP1	25	7	741	-285
BBC3	25	-14	742	253
KCNJ11	25	21	743	-2634
LMNB1	25	12	744	-660
CDK4	25	-14	745	255
NPM1	25	-7	746	137
SPINK1	25	9	747	-414
RPE65	25	-10	748	197
BAP1	25	12	749	-664
SHC1	25	7	750	-300
GPR55	25	3	751	-132
POLQ	25	12	752	-669
IRAK4	25	1	753	-61
SIRT6	25	-3	754	42
ITGAX	24	-7	755	139
C5	24	-15	756	275
MITF	24	9	757	-423
RETN	24	-1	758	-12
OTC	24	-9	759	188
ITGB2	24	-6	760	112
GHR	24	1	761	-63
HBA2	24	13	762	-797
ERBB2	24	-4	763	73
RELN	24	-6	764	114
ACP3	24	-2	765	19
IL3RA	24	-4	766	72
PMEL	24	-5	767	92
ADGRE1	24	8	768	-364
PTK2	24	7	769	-308
MYH7	24	7	770	-310
UBE3A	24	-11	771	226
CENPA	24	8	772	-365
UGT1A1	24	-5	773	96
IL16	24	-2	774	24
GYPA	24	3	775	-130
ICOS	24	-22	776	357
TNFRSF1B	24	5	777	-213
APOC3	24	-6	778	118
ANXA2	24	3	779	-135
MUC4	24	18	780	-1799
XBP1	24	-1	781	-10
TRIM21	24	12	782	-751
DNM1L	24	10	783	-551
SHANK3	24	0	784	-33
NOTCH1	24	2	785	-103
CDK5	24	-7	786	140
APLN	23	-6	787	122
LIPC	23	6	788	-275
NF2	23	-2	789	18
NPC1L1	23	4	790	-176
KCNJ1	23	-7	791	140
PIEZO2	23	-1	792	-6
GJA1	23	5	793	-224
HBA1	23	11	794	-676
ARNT	23	4	795	-181
GRB2	23	-8	796	166
SERPINB1	23	20	797	-3058
GATA2	23	-4	798	74
EPOR	23	13	799	-938
NTF3	23	10	800	-586
ACVR1	23	6	801	-284
ELK1	23	13	802	-937
HEXA	23	-1	803	0
JCHAIN	23	2	804	-104
IGH	23	-6	805	126
ATP6	23	11	806	-690
HSF1	23	4	807	-179
SNAI1	23	4	808	-179
PTPN1	23	9	809	-515
MCAM	23	-12	810	261
FUS	23	-6	811	126
CYP1A1	23	-12	812	262
LTBR	23	2	813	-103
PIN1	23	1	814	-64
ICOSLG	23	0	815	-28
TNFSF15	23	0	816	-28
MGAM	23	12	817	-863
BCL11A	23	3	818	-141
CDT1	23	8	819	-434
CLPB	23	13	820	-994
JAG1	23	3	821	-140
PIGR	23	-3	822	55
F11	22	-12	823	270
IL6ST	22	-1	824	4
SPN	22	-17	825	345
HBD	22	-1	826	4
ADM	22	2	827	-98
NR4A1	22	3	828	-137
SMAD4	22	-4	829	89
ANPEP	22	4	830	-179
PNMT	22	-20	831	382
C5AR1	22	-4	832	90
HPX	22	1	833	-63
CD1A	22	-4	834	89
CCL19	22	7	835	-358
IFIH1	22	-9	836	208
NR1D1	22	1	837	-65
KRT19	22	5	838	-240
CYP2A6	22	-5	839	120
CCKBR	22	7	840	-359
CEBPB	22	-9	841	209
TCN1	22	-18	842	371
IBSP	22	9	843	-554
IL26	22	4	844	-185
SERPINH1	22	2	845	-98
DCX	22	-10	846	241
NCL	22	13	847	-1055
HNMT	22	-11	848	266
TRAF6	22	-4	849	91
PLCG1	22	5	850	-252
PKM	22	6	851	-312
SF3B1	22	6	852	-312
SLC9A3	22	9	853	-564
HNF1A	22	-16	854	352
TNFRSF10B	22	10	855	-676
PALB2	22	1	856	-67
CARD11	22	-2	857	38
MALAT1	22	-9	858	215
UOX	22	-13	859	307
ENG	22	-11	860	270
BID	22	-12	861	291
CCR1	21	2	862	-101
IL1RL1	21	-7	863	174
CXCL11	21	9	864	-585
DLAT	21	-1	865	11
CTNNB1	21	2	866	-101
CD70	21	-11	867	272
CCL8	21	8	868	-486
ASIP	21	11	869	-837
ATP7B	21	-13	870	314
HSD11B1	21	4	871	-201
CD93	21	6	872	-316
MASP1	21	2	873	-98
ERFE	21	-7	874	181
CYP11B1	21	-6	875	159
GAS6	21	-4	876	98
EGR1	21	-9	877	224
PER1	21	9	878	-589
TFPI	21	-4	879	98
CYP3A5	21	-13	880	317
FANCE	21	5	881	-259
PTPN22	21	7	882	-416
IFNL1	21	13	883	-1165
DRD5	21	0	884	-22
PRLR	21	10	885	-726
ERG	21	7	886	-418
MEF2C	21	9	887	-606
GRN	21	-2	888	48
CDA	21	7	889	-421
ANGPT1	21	4	890	-205
TACR1	21	-11	891	285
POU1F1	21	10	892	-744
IRF7	21	5	893	-262
LRP5	21	-7	894	192
HNF4A	21	-5	895	138
IKBKB	21	-3	896	86
MUC2	21	2	897	-98
LAMP2	21	-5	898	139
RN7SL1	21	-12	899	314
PIM1	21	3	900	-146
POLG	21	1	901	-51
KLF4	21	-4	902	112
GPNMB	21	1	903	-50
EOMES	21	3	904	-147
SCRIB	21	6	905	-338
ADGRG1	21	15	906	-1747
HDAC6	21	0	907	-14
ANGPTL4	21	4	908	-203
CYSLTR1	21	5	909	-261
GPBAR1	21	5	910	-267
SP7	21	2	911	-96
XIAP	21	-12	912	321
CPS1	20	-23	913	473
BAD	20	-9	914	247
FECH	20	7	915	-436
CCL11	20	-2	916	63
CD58	20	-2	917	59
FNDC5	20	-1	918	21
PAX8	20	-1	919	21
CD79A	20	-3	920	93
KLRC1	20	-1	921	21
ENO2	20	6	922	-353
PRKCZ	20	-43	923	633
TRPV4	20	-5	924	145
CBL	20	7	925	-449
GLI1	20	4	926	-209
ADAM10	20	-1	927	23
ASCL1	20	3	928	-156
ALAD	20	-4	929	128
HARS1	20	-2	930	63
CNTF	20	-13	931	353
SERPINA3	20	12	932	-1119
PTCH1	20	-9	933	255
TNC	20	-10	934	279
DNMT1	20	-1	935	24
IL4R	20	-12	936	333
TCF7L2	20	2	937	-96
MSMB	20	-4	938	130
PTGFR	20	10	939	-820
MSH6	20	9	940	-691
PEMT	20	14	941	-1614
MYBPC3	20	3	942	-156
SORT1	20	5	943	-294
EZR	20	-2	944	63
PYCARD	20	3	945	-161
SLC7A11	20	-4	946	133
SYNGAP1	20	6	947	-382
YWHAZ	20	12	948	-1172
PNPLA3	20	4	949	-225
TBK1	20	2	950	-111
CCL7	19	7	951	-493
GC	19	-1	952	28
CD83	19	0	953	-11
PRTN3	19	-1	954	28
ITGAV	19	8	955	-600
MAP2	19	-20	956	470
CYP27B1	19	6	957	-406
PNPLA2	19	-18	958	447
NID1	19	7	959	-504
CCL22	19	3	960	-170
DDR1	19	-4	961	131
TAFAZZIN	19	10	962	-896
VCAN	19	3	963	-173
FEN1	19	1	964	-56
SMAD3	19	-1	965	25
SMAD2	19	10	966	-900
DNMT3A	19	7	967	-515
FANCA	19	7	968	-516
ZAP70	19	-12	969	334
GJB2	19	-2	970	63
PTGER3	19	4	971	-241
HTR1D	19	-8	972	246
GPX1	19	3	973	-174
FFAR2	19	-1	974	32
TACSTD2	19	5	975	-332
CDKL5	19	0	976	-9
