# gene	views	view_delta	view_rank	view_rank_delta
CRP	989	50	1	0
TEX9	971	59	2	0
AVP	845	-63	3	0
EPO	785	-80	4	0
TTN	534	-52	5	0
TNF	532	47	6	-1
TP53	504	48	7	-2
IGF1	499	63	8	-3
LEP	493	53	9	-1
PTH	461	-8	10	2
MB	458	79	11	-7
GCG	444	-80	12	6
SST	401	14	13	-4
ALB	399	-9	14	1
HTR2A	398	-22	15	3
CYP3A4	390	-12	16	2
GPT	381	-13	17	2
IL2	362	80	18	-8
MTOR	341	-48	19	3
GNRH1	319	53	20	-15
IL6	318	67	21	-23
MYC	313	-24	22	2
BDNF	313	0	23	1
REN	302	43	24	-12
AMH	295	19	25	-4
CALCA	293	25	26	-7
APOE	291	16	27	-3
EGFR	287	-23	28	5
VWF	280	-8	29	4
CYP2D6	278	-43	30	9
CDKN2A	277	45	31	-20
LCT	275	20	32	-10
MAPT	273	50	33	-28
CD4	269	-8	34	6
SHBG	266	7	35	-2
CD274	266	-94	36	17
HTR1A	264	7	37	-4
CCK	250	-19	38	6
AGT	245	-43	39	15
PLAT	243	-24	40	6
MSTN	243	20	41	-19
BRCA1	234	-15	42	-3
TRPV1	231	2	43	-13
CTLA4	231	8	44	-15
MKI67	230	-24	45	2
DRD2	229	1	46	-11
KLK3	228	14	47	-17
SLC6A4	223	20	48	-17
KEL	221	-37	49	10
RHO	219	-53	50	19
MAOA	219	-39	51	13
APOB	217	28	52	-20
ABCB1	215	-26	53	4
KRAS	215	-66	54	27
ADRB2	213	-24	55	5
SNCA	212	-14	56	-2
ABCC11	209	70	57	-56
MTHFR	206	57	58	-41
F2	205	-36	59	11
AFP	201	7	60	-10
PDCD1	200	-42	61	14
ACHE	199	-58	62	22
CRH	198	-31	63	9
MPO	197	63	64	-56
AR	195	-36	65	13
TF	195	30	66	-17
RB1	195	9	67	-7
HP	193	-36	68	13
LTF	190	-26	69	6
BRAF	189	-10	70	3
CYCS	182	47	71	-48
GAST	180	-7	72	-1
CCR5	179	-68	73	27
B2M	179	29	74	-20
F8	179	-52	75	22
BCL2	179	-41	76	14
OPRM1	175	10	77	-7
HMGCR	172	-20	78	7
HRH1	171	21	79	-17
ADRB1	171	-26	80	12
HAMP	170	13	81	-9
IL10	170	32	82	-35
CBLIF	169	-3	83	6
ACE	169	1	84	3
LPA	168	10	85	-3
GIP	168	-4	86	8
PCSK9	168	-28	87	18
OR6A2	167	-35	88	22
NFE2L2	166	46	89	-51
CYP19A1	164	-21	90	15
AHR	164	43	91	-44
CFTR	164	27	92	-26
EGF	163	17	93	-11
TG	160	-15	94	18
CXCL8	160	12	95	-7
ACE2	160	12	96	-7
CP	158	-12	97	18
NGF	154	15	98	-17
KIT	152	20	99	-25
SLC6A3	152	-9	100	15
HTR2C	152	-7	101	14
CSF3	151	41	102	-52
CD38	151	-15	103	21
G6PD	150	22	104	-23
OPRK1	148	14	105	-17
HIF1A	147	-13	106	20
CDKN1A	146	6	107	-4
TNFSF11	146	7	108	-6
GAPDH	145	-12	109	20
IL1B	145	-25	110	30
MS4A1	143	1	111	1
CD34	142	-6	112	11
IL4	142	-12	113	21
POMC	141	-7	114	14
NR3C1	139	13	115	-16
CYP2C19	135	-5	116	4
SRC	133	-12	117	12
CYP1A2	133	16	118	-27
DNTT	129	-15	119	13
FN1	126	-8	120	-1
SERPINC1	126	-1	121	-9
CD19	125	-29	122	31
VIP	124	-29	123	30
CSF2	124	-18	124	16
CNR1	123	-4	125	-4
CD40	119	15	126	-39
SERPINA1	117	-7	127	-6
DHFR	116	18	128	-50
KISS1	116	-23	129	13
ICAM1	115	-8	130	-4
SIGMAR1	115	-35	131	36
