## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
GPX4	16	-1	84	381	32	-5	566	57
IDH1	16	-13	84	-13	45	4	425	-39
SOD1	16	-6	84	103	80	5	221	-25
TLR2	16	-3	84	221	7	-3	2183	485
ADIPOQ	16	-10	84	19	99	-21	169	31
TET2	16	-2	84	302	14	1	1337	-96
PNPLA3	16	1	84	599	20	4	949	-225
C9orf72	16	-2	84	302	27	-19	696	273
NEAT1	16	-12	84	-6	10	-1	1763	72
AGT	15	5	95	1954	245	-43	39	15
ATM	15	-8	95	56	97	26	175	-82
CRP	15	-7	95	92	989	50	1	0
CYP3A5	15	3	95	1207	21	-13	880	317
GJA1	15	2	95	972	23	5	793	-224
IL18	15	-9	95	39	67	5	262	-34
JAK2	15	-5	95	161	76	-1	237	-2
NOS3	15	-6	95	128	31	-14	581	153
NOTCH1	15	-13	95	-17	24	2	785	-103
MAPK1	15	0	95	588	15	-15	1225	566
PTBP1	15	-16	95	-39	1	-2	6410	2411
ZEB1	15	4	95	1525	12	-7	1444	470
IGF2BP2	15	-11	95	8	1	-5	6889	4252
FOXP3	15	-5	95	161	94	23	181	-77
SIRT6	15	-3	95	291	25	-3	754	42
CALR	14	1	110	957	49	11	387	-109
RUNX2	14	-2	110	457	25	-17	740	288
CST3	14	-8	110	77	102	12	160	-33
ELAVL1	14	-16	110	-46	5	-9	2852	1563
FOXM1	14	-13	110	-21	9	-7	1844	698
FOXO3	14	-6	110	146	55	20	335	-204
FLT3	14	2	110	1192	42	-7	454	62
FN1	14	-1	110	573	126	-8	120	-1
HLA-B	14	2	110	1192	46	10	415	-116
HLA-G	14	5	110	2507	32	-5	564	58
IL4	14	4	110	1939	142	-12	113	21
LAG3	14	4	110	1939	4	-5	3410	1496
LCN2	14	-9	110	41	40	7	469	-115
KMT2A	14	-9	110	41	49	14	393	-153
NEFL	14	0	110	741	31	-9	588	111
NPM1	14	-21	110	-68	25	-7	746	137
PRKN	14	-5	110	195	32	9	568	-261
PLK1	14	-3	110	355	31	2	585	-89
TRIM21	14	-12	110	-7	24	12	782	-751
ST2	14	4	110	1939	0	-2	10216	4753
TSC2	14	5	110	2507	17	-1	1072	59
PPARGC1A	14	-1	110	573	90	-10	193	23
NOX4	14	5	110	2507	8	-1	2162	197
FBXW7	14	-1	110	573	11	6	1620	-1521
GAS5	14	-4	110	276	5	2	3180	-1407
MIR29A	14	-3	110	355	0	0
MIR34A	14	-5	110	195	7	-7	2442	1095
ACTN3	13	3	137	1912	1	1	6066	-2482
ADAM10	13	4	137	2480	20	-1	927	23
AHR	13	-7	137	119	164	43	91	-44
APOB	13	-3	137	430	217	28	52	-20
CCND1	13	-8	137	86	61	-21	300	78
CA9	13	5	137	3355	16	-4	1135	202
CAV1	13	-8	137	86	13	0	1355	-13
CD47	13	-3	137	430	79	8	225	-34
CREB1	13	5	137	3355	7	-11	2199	1188
CYP2C19	13	-2	137	546	135	-5	116	4
CYP2C9	13	4	137	2480	98	15	173	-41
DNMT3A	13	-6	137	168	19	7	967	-515
EDN1	13	-1	137	714	0	0
HSP90AA1	13	-25	137	-106	11	6	1570	-1340
HSPD1	13	-14	137	-48	63	11	285	-72
LDHA	13	-14	137	-48	30	7	622	-219
MKI67	13	-18	137	-81	230	-24	45	2
MMP2	13	-9	137	50	50	9	379	-79
POU5F1	13	3	137	1912	49	-34	388	173
RB1	13	-5	137	249	195	9	67	-7
S100A9	13	-9	137	50	26	11	722	-513
SMARCA4	13	-10	137	14	27	-7	700	132
SOX9	13	-6	137	168	43	-16	445	125
STIM1	13	-4	137	328	10	4	1657	-801
TMPRSS2	13	-12	137	-18	41	1	462	-13
TRPV1	13	-3	137	430	231	2	43	-13
VWF	13	0	137	930	280	-8	29	4
APOL1	13	0	137	930	34	8	544	-222
WTAP	13	-2	137	546	5	4	2984	-3677
DICER1	13	-6	137	168	78	-6	227	17
RIGI	13	3	137	1912	0	0
TRPV4	13	-1	137	714	20	-5	924	145
MIR146A	13	-8	137	86	2	1	5972	-2393
ABCA1	12	-2	170	681	18	-11	1000	334
BMAL1	12	2	170	1879	0	0
CD44	12	-8	170	86	108	-41	146	48
CHI3L1	12	-12	170	-36	14	-1	1299	91
CTLA4	12	-8	170	86	231	8	44	-15
EPHA2	12	-3	170	513	7	-1	2445	278
EP300	12	-3	170	513	39	-6	480	49
FBN1	12	4	170	3322	5	2	2874	-1041
FGFR3	12	-2	170	681	33	-4	561	44
FLI1	12	3	170	2447	18	8	1024	-720
FMR1	12	-14	170	-67	57	10	322	-82
GBA1	12	-2	170	681	0	0
GSK3B	12	-2	170	681	3	-3	4598	1842
GSTP1	12	-3	170	513	3	-15	3886	2863
HK2	12	-7	170	135	33	0	550	-24
IGFBP3	12	3	170	2447	33	0	558	-21
IL6R	12	2	170	1879	18	-14	1030	428
INS	12	2	170	1879	0	0	12912	-1
IRF1	12	2	170	1879	18	6	1031	-469
IRF4	12	3	170	2447	18	3	1036	-190
KCNH2	12	1	170	1450	96	-16	176	23
L1CAM	12	2	170	1879	17	-4	1068	174
LGALS9	12	6	170	6754	15	5	1231	-539
SMAD4	12	-12	170	-36	22	-4	829	89
MGMT	12	-3	170	513	42	4	448	-46
TNFRSF11B	12	-2	170	681	62	9	290	-60
PCNA	12	-10	170	17	94	1	182	-5
PTK2	12	-4	170	397	24	7	769	-308
RAC1	12	-5	170	295	36	5	515	-114
RAD51	12	-5	170	295	37	5	495	-97
SNAI1	12	-4	170	397	23	4	808	-179
SP1	12	-8	170	86	8	4	2011	-1241
AURKA	12	1	170	1450	1	1	6190	-2491
STK11	12	0	170	1132	50	16	382	-184
HNF1B	12	3	170	2447	14	4	1267	-438
KMT2D	12	5	170	4627	15	4	1235	-416
SAMHD1	12	-5	170	295	11	-1	1538	77
IL37	12	-3	170	513	8	1	2157	-213
ANGPTL4	12	3	170	2447	21	4	908	-203
ALKBH5	12	-4	170	397	0	-1	10926	3289
RETN	12	5	170	4627	24	-1	758	-12
CEMIP	12	4	170	3322	1	-2	7534	3084
METTL16	12	5	170	4627	0	0	10320	-55
CEP290	12	6	170	6754	15	7	1257	-891
HAVCR2	12	-3	170	513	35	3	534	-80
LRRK2	12	-7	170	135	40	6	465	-92
MIR193A	12	5	170	4627	0	0
IFNL4	12	6	170	6754	8	0	2175	12
ADAR	11	-13	218	-84	61	10	293	-71
AGTR1	11	0	218	1402	53	5	353	-46
ALCAM	11	-2	218	849	12	3	1453	-412
ALDH2	11	-9	218	38	87	-8	199	16
AMH	11	3	218	3274	295	19	25	-4
BACH1	11	1	218	1831	7	-4	2247	644
BCL2	11	-1	218	1084	179	-41	76	14
CAT	11	-3	218	633	0	0
CEBPB	11	1	218	1831	22	-9	841	209
CNR1	11	-1	218	1084	123	-4	125	-4
MAPK14	11	-1	218	1084	11	-3	1544	262
CYP3A4	11	1	218	1831	390	-12	16	2
ESR2	11	-6	218	247	28	0	657	-40
FABP2	11	2	218	2399	7	5	2255	-2563
FGFR1	11	0	218	1402	29	1	647	-57
FKBP5	11	-4	218	465	18	-5	1021	183
G6PD	11	-12	218	-67	150	22	104	-23
GAPDH	11	-15	218	-115	145	-12	109	20
GATA3	11	-6	218	247	43	-9	441	83
GCK	11	4	218	4579	71	-4	251	9
GJB2	11	3	218	3274	19	-2	970	63
HMGA1	11	-10	218	5	6	-6	2596	1087
HMOX1	11	-1	218	1084	11	-5	1530	404
NR4A1	11	2	218	2399	22	3	828	-137
IFI16	11	-2	218	849	6	-1	2567	311
IMPDH1	11	0	218	1402	2	1	4757	-1445
JUN	11	-3	218	633	11	6	1522	-1244
KCNQ1	11	2	218	2399	16	7	1136	-714
KDR	11	1	218	1831	15	-13	1236	528
LRP1	11	-5	218	349	30	-13	603	159
SMAD3	11	-12	218	-67	19	-1	965	25
MECP2	11	-3	218	633	109	25	145	-66
MEN1	11	-1	218	1084	29	-1	627	-20
YBX1	11	-19	218	-154	18	5	1057	-385
NT5E	11	-6	218	247	17	-10	1079	362
NUCB2	11	-1	218	1084	0	0	9462	-40
OGG1	11	0	218	1402	7	-1	2290	224
P2RX7	11	-3	218	633	29	1	648	-59
SLC26A4	11	0	218	1402	4	3	3211	-2820
SERPINA1	11	-8	218	87	117	-7	127	-6
PKM	11	-23	218	-173	22	6	851	-312
PON1	11	-4	218	465	11	-7	1606	554
PTPN11	11	-7	218	168	28	-13	660	199
PVT1	11	-3	218	633	3	-2	3943	1035
RET	11	-1	218	1084	78	29	226	-160
CCL5	11	1	218	1831	91	-3	190	5
SLC1A5	11	-7	218	168	5	-1	3047	399
SPP1	11	-1	218	1084	87	9	198	-34
TFRC	11	-7	218	168	53	13	356	-117
TTN	11	-5	218	349	534	-52	5	0
VDAC1	11	-8	218	87	16	9	1183	-1136
YY1	11	-8	218	87	13	-13	1399	634
TFEB	11	0	218	1402	36	17	522	-481
FXR1	11	-12	218	-67	3	-4	4102	1800
SPOP	11	2	218	2399	10	-2	1733	208
TNFSF11	11	-3	218	633	146	7	108	-6
SOCS1	11	2	218	2399	3	-7	4269	2475
APLN	11	-5	218	349	23	-6	787	122
SOCS3	11	-6	218	247	10	-8	1705	665
LONP1	11	-3	218	633	6	-2	2673	558
PIEZO1	11	-8	218	87	51	-6	377	47
CXCL13	11	0	218	1402	51	20	368	-257
POSTN	11	-2	218	849	33	3	562	-102
ADAMTS13	11	-6	218	247	105	16	154	-44
CARD8	11	6	218	9678	1	-2	7345	2956
FGF21	11	-7	218	168	52	-18	359	95
YTHDF2	11	-12	218	-67	1	0	8023	-54
SIRT7	11	-3	218	633	1	-7	7466	5329
YTHDF1	11	-7	218	168	3	3	4317	-5926
TUG1	11	-2	218	849	2	2	5484	-4920
CARD9	11	4	218	4579	7	2	2416	-739
PINK1	11	-6	218	247	35	6	533	-154
AIFM2	11	2	218	2399	7	3	2417	-1277
MUC16	11	-1	218	1084	12	-1	1424	74
MIR106A	11	5	218	6706	1	0	8247	-106
MIR122	11	-6	218	247	0	0
MIR143	11	-5	218	349	0	0
MIR145	11	-18	218	-147	3	0	3892	-34
MIR195	11	-2	218	849	0	0	12584	8
MIR214	11	2	218	2399	0	0
MIR340	11	3	218	3274	0	0
MUC5B	11	-3	218	633	15	0	1259	3
MIR942	11	4	218	4579	0	0
AGER	10	-4	301	550	59	21	309	-195
ANXA1	10	-5	301	382	30	-22	620	258
XIAP	10	-6	301	266	21	-12	912	321
AQP5	10	1	301	2316	0	0	8590	-100
BMP2	10	2	301	3191	35	-4	529	41
C5AR1	10	4	301	6623	22	-4	832	90
CALCA	10	0	301	1748	293	25	26	-7
CDC42	10	-8	301	85	30	11	621	-373
CDK4	10	-2	301	1001	25	-14	745	255
CCR5	10	-4	301	550	179	-68	73	27
COMT	10	-9	301	4	0	0
CSF1	10	1	301	2316	48	-12	395	86
CYP2B6	10	2	301	3191	60	5	304	-40
CYP2D6	10	-6	301	266	278	-43	30	9
DCN	10	10	301	17312	19	-10	997	309
DMD	10	0	301	1748	112	-4	138	-8
SLC26A2	10	2	301	3191	4	1	3403	-680
ENO1	10	-16	301	-198	11	-13	1587	776
ERN1	10	-4	301	550	16	4	1155	-336
FOLR1	10	3	301	4496	14	-5	1300	317
FUS	10	-18	301	-223	23	-6	811	126
GATA1	10	3	301	4496	40	10	470	-193
GCG	10	3	301	4496	444	-80	12	6
GPER1	10	4	301	6623	18	1	1056	-60
HLA-A	10	-6	301	266	66	-9	270	23
HNRNPA2B1	10	-11	301	-78	8	5	2087	-1991
HNRNPC	10	-9	301	4	0	-6	9065	6497
HSPA8	10	-26	301	-262	13	-1	1361	75
HTR2A	10	4	301	6623	398	-22	15	3
IFI27	10	3	301	4496	3	-3	3960	1436
IFNB1	10	4	301	6623	12	6	1464	-1053
CXCL10	10	1	301	2316	103	20	158	-55
ITGB3	10	3	301	4496	12	1	1429	-135
LASP1	10	-4	301	550	1	-3	6572	3143
LDLR	10	3	301	4496	100	22	164	-69
LEPR	10	-2	301	1001	29	5	641	-164
MITF	10	1	301	2316	24	9	757	-423
MMP3	10	-3	301	766	35	4	526	-94
MTNR1B	10	4	301	6623	14	4	1310	-447
MYBPC3	10	4	301	6623	20	3	942	-156
MYH9	10	-19	301	-230	7	-4	2182	633
NGF	10	1	301	2316	154	15	98	-17
NOS2	10	-1	301	1319	14	4	1317	-455
ROR2	10	4	301	6623	12	6	1448	-1022
PIK3R2	10	4	301	6623	2	0	5103	-12
PON2	10	2	301	3191	1	1	6974	-2812
PTPA	10	-3	301	766	1	1	7023	-2846
MAPK3	10	-1	301	1319	12	2	1441	-282
PTX3	10	-6	301	266	7	-2	2206	362
RELA	10	-6	301	266	56	-16	328	75
RPE65	10	4	301	6623	25	-10	748	197
S100A4	10	2	301	3191	0	0	9229	-46
S100A8	10	-11	301	-78	17	1	1125	-54
SRSF1	10	-10	301	-45	8	-5	2104	698
SHBG	10	3	301	4496	266	7	35	-2
SLC12A3	10	0	301	1748	26	-8	713	152
STAT6	10	-1	301	1319	13	-16	1390	704
ADAM17	10	-7	301	164	17	-21	1094	596
TBP	10	1	301	2316	64	13	280	-94
TFE3	10	2	301	3191	5	-2	2913	645
TGFBR2	10	-2	301	1001	8	-10	2083	1044
THBS1	10	0	301	1748	46	-10	414	78
NKX2-1	10	0	301	1748	9	-10	1785	817
TXN	10	-7	301	164	47	-16	403	115
TXNRD1	10	2	301	3191	8	5	2121	-2076
USH2A	10	4	301	6623	5	2	3048	-1201
KDM6A	10	-1	301	1319	13	-1	1397	69
VCP	10	-19	301	-230	27	-7	702	133
VIM	10	-20	301	-237	93	9	183	-25
WT1	10	-1	301	1319	2	-4	4647	2201
XPO1	10	-13	301	-150	6	-4	2677	880
RAB7A	10	-5	301	382	7	-10	2369	1259
ARID1A	10	-12	301	-114	10	-12	1728	848
BAP1	10	-10	301	-45	25	12	749	-664
BECN1	10	-7	301	164	43	27	442	-701
PER3	10	2	301	3191	10	-2	1651	186
CLDN1	10	3	301	4496	19	10	981	-924
USP14	10	-8	301	85	0	-1	9369	2633
IL32	10	4	301	6623	18	1	1040	-60
KLF4	10	-3	301	766	21	-4	902	112
EIF2AK3	10	4	301	6623	13	-2	1387	149
SV2A	10	4	301	6623	28	-4	656	58
FGF19	10	10	301	17312	15	-5	1246	292
NAMPT	10	-6	301	266	29	-4	650	62
CD96	10	3	301	4496	13	4	1400	-547
IKZF1	10	4	301	6623	27	-15	698	245
KLF2	10	1	301	2316	8	-7	2106	872
WFDC2	10	4	301	6623	10	-2	1737	208
IFITM3	10	2	301	3191	3	-1	4216	689
PRMT5	10	-15	301	-182	15	11	1247	-2281
SLCO1B1	10	1	301	2316	9	4	1905	-1133
IGF2BP3	10	-14	301	-167	0	-4	9568	6063
LILRB1	10	2	301	3191	16	3	1190	-234
MALT1	10	-4	301	550	14	5	1331	-628
HHLA2	10	0	301	1748	0	0
NLRP1	10	-3	301	766	10	5	1751	-1372
KLRK1	10	-1	301	1319	52	-4	360	25
DKK1	10	-1	301	1319	34	1	545	-44
KDM1A	10	-10	301	-45	19	-1	987	38
WWTR1	10	-9	301	4	14	8	1334	-1356
SETD2	10	-3	301	766	12	3	1512	-455
TRPV2	10	2	301	3191	5	-7	2812	1348
ERAP1	10	-1	301	1319	18	1	1051	-64
TLR9	10	-6	301	266	3	-11	3816	2532
CHD7	10	-1	301	1319	10	2	1709	-365
SALL4	10	2	301	3191	28	16	676	-862
BIRC6	10	-2	301	1001	7	3	2399	-1232
APOBEC3G	10	2	301	3191	30	12	624	-421
YTHDC2	10	1	301	2316	1	0	7164	-10
GSDMD	10	-5	301	382	40	-2	471	17
NANOG	10	0	301	1748	27	-9	680	160
ZBP1	10	1	301	2316	9	-4	1942	508
LRRC15	10	2	301	3191	19	8	995	-694
CLEC12A	10	10	301	17312	10	3	1767	-635
IL27	10	-2	301	1001	10	0	1765	-62
MIR142	10	1	301	2316	0	0
MIR200B	10	1	301	2316	0	0
MIR181A1	10	2	301	3191	0	0
MIR223	10	-4	301	550	0	0	12645	2
MIR370	10	-1	301	1319	0	0
MIR497	10	-2	301	1001	0	0
CDKN2B-AS1	10	-2	301	1001	2	-1	5990	1361
MAGI2-AS3	10	3	301	4496	0	0
OCLN	10	0	301	1748	36	1	514	-30
ABCD1	9	0	425	2192	6	-14	2581	1636
ANGPT2	9	-1	425	1624	8	-4	2072	569
APOA1	9	-6	425	258	10	5	1645	-1157
APOC3	9	-3	425	877	24	-6	778	118
ASS1	9	-1	425	1624	1	-2	6207	2341
ATF4	9	-5	425	426	25	-1	732	-12
AXL	9	0	425	2192	28	-21	664	273
CEACAM1	9	2	425	4372	13	-7	1347	419
BNIP3	9	-1	425	1624	8	-3	2032	428
BNIP3L	9	4	425	9471	1	0	6260	12
BSG	9	-14	425	-274	14	-10	1262	468
C1QA	9	0	425	2192	5	-6	2867	1262
C3	9	-5	425	426	88	-3	196	4
CAMP	9	1	425	3067	56	-1	334	3
CASP1	9	-1	425	1624	47	-3	409	27
CASR	9	4	425	9471	54	-6	347	36
RUNX3	9	3	425	6499	12	2	1437	-281
CBL	9	-1	425	1624	20	7	925	-449
CD36	9	-5	425	426	63	-4	283	11
CD38	9	2	425	4372	151	-15	103	21
CDK1	9	-14	425	-274	29	-16	628	202
CHRNA7	9	3	425	6499	6	-6	2486	1014
CLU	9	1	425	3067	16	-21	1137	624
CNR2	9	-1	425	1624	48	4	396	-40
CREBBP	9	2	425	4372	59	-3	307	15
VCAN	9	3	425	6499	19	3	963	-173
CTSB	9	-5	425	426	63	23	289	-185
CYP1A1	9	2	425	4372	23	-12	812	262
CYP24A1	9	3	425	6499	10	2	1632	-355
GADD45A	9	9	425	17188	10	3	1669	-559
DIO2	9	3	425	6499	16	5	1149	-452
DNMT3B	9	-8	425	40	7	-4	2309	669
DPP4	9	-4	425	642	102	0	162	-4
DPYD	9	-2	425	1195	1	1	6547	-2576
DRD1	9	9	425	17188	111	45	141	-135
DSP	9	-12	425	-202	18	2	998	-120
DUSP6	9	9	425	17188	10	0	1676	-62
E2F1	9	-5	425	426	11	-14	1545	765
EEF2	9	-14	425	-274	28	-3	666	32
EIF5A	9	-4	425	642	9	6	1819	-2035
ELN	9	0	425	2192	96	-23	177	35
ENO2	9	-3	425	877	20	6	922	-353
ESRRA	9	0	425	2192	29	17	634	-837
ETV6	9	4	425	9471	15	-2	1237	138
FASN	9	-19	425	-347	0	0
FLG	9	-3	425	877	59	-24	306	94
GATA4	9	-4	425	642	56	52	331	-2986
MSTN	9	0	425	2192	243	20	41	-19
GFAP	9	-5	425	426	91	5	186	-19
GLP1R	9	-3	425	877	69	3	260	-17
CXCL1	9	-1	425	1624	87	7	200	-26
GSTT1	9	-5	425	426	1	-2	6280	2360
HDAC2	9	-12	425	-202	0	-7	8727	6486
CFH	9	-1	425	1624	61	-36	298	117
HLA-C	9	-2	425	1195	37	3	506	-58
HLA-DQA1	9	2	425	4372	1	-8	6548	4641
HLA-DRB1	9	-6	425	258	41	-4	464	29
FOXA2	9	-4	425	642	14	-2	1273	148
HNF4A	9	-2	425	1195	21	-5	895	138
HNRNPK	9	-18	425	-336	4	-2	3401	827
HSPA5	9	-29	425	-394	38	-8	488	67
HSPB1	9	-16	425	-306	11	0	1548	-39
HTR2B	9	2	425	4372	70	-12	256	37
ICAM1	9	-7	425	142	115	-8	130	-4
IGF1R	9	-13	425	-238	41	-24	460	182
IGF2	9	-2	425	1195	46	-5	412	39
CCN1	9	1	425	3067	16	-8	1159	355
IKBKB	9	-4	425	642	21	-3	896	86
IL1A	9	-2	425	1195	2	-3	4701	1872
IL7	9	-1	425	1624	54	-1	349	8
IL11	9	4	425	9471	31	-9	586	117
IL12B	9	0	425	2192	18	0	1029	-1
IL13	9	-6	425	258	82	-13	216	32
INPP5D	9	2	425	4372	8	-9	2069	975
JAK1	9	-4	425	642	44	18	438	-322
KCNJ10	9	9	425	17188	2	-1	5149	989
KCNN2	9	9	425	17188	3	0	4116	-46
LAMA2	9	4	425	9471	1	1	6577	-2568
FADS1	9	3	425	6499	4	-1	3413	431
LMNA	9	-19	425	-347	6	-2	2458	465
SMAD2	9	-7	425	142	19	10	966	-900
MAX	9	-4	425	642	4	-10	3300	2004
MEFV	9	2	425	4372	26	8	712	-306
MID1	9	0	425	2192	2	-1	4925	930
NR3C2	9	3	425	6499	51	-9	372	62
MMP14	9	-6	425	258	4	-4	3341	1283
MYBL2	9	0	425	2192	1	-1	6565	1528
MYD88	9	-6	425	258	76	15	235	-67
NDP	9	4	425	9471	9	4	1868	-1086
NF1	9	1	425	3067	79	-13	223	33
NF2	9	-3	425	877	23	-2	789	18
NFIX	9	0	425	2192	3	-4	4122	1814
NFKB2	9	0	425	2192	3	-5	4118	2030
NONO	9	-17	425	-322	6	-6	2608	1095
NOS1	9	1	425	3067	7	-1	2317	236
NOTCH3	9	-4	425	642	1	0	6449	-10
NRAS	9	-6	425	258	26	-1	724	-8
OPA1	9	-7	425	142	9	4	1890	-1113
OPRM1	9	-4	425	642	175	10	77	-7
OTX2	9	3	425	6499	16	6	1179	-601
PAX5	9	2	425	4372	13	-14	1394	660
PGK1	9	-9	425	-39	9	-1	1891	110
PGR	9	-3	425	877	63	1	286	-7
PIN1	9	-2	425	1195	23	1	814	-64
PITX2	9	9	425	17188	16	7	1177	-747
PKD1	9	-1	425	1624	0	0
PLAU	9	9	425	17188	66	9	266	-60
PML	9	-4	425	642	27	14	701	-715
PRKCD	9	1	425	3067	18	13	1012	-1804
MAPK8	9	3	425	6499	5	-2	3193	786
RAD51D	9	3	425	6499	2	1	4971	-1493
RANBP2	9	-6	425	258	7	5	2269	-2624
RBM4	9	-2	425	1195	0	0	8957	-71
PRPH2	9	3	425	6499	1	0	6459	-13
RPGR	9	-2	425	1195	1	-1	6799	1588
RPL5	9	-10	425	-120	1	-3	6613	3170
SAFB	9	-2	425	1195	2	1	5181	-1593
SCD	9	-4	425	642	4	-1	3252	424
CXCL5	9	1	425	3067	34	5	538	-134
XCL1	9	9	425	17188	5	-2	2951	664
SDC1	9	-7	425	142	27	-8	695	147
SLC2A1	9	-10	425	-120	0	0
SLC6A4	9	0	425	2192	223	20	48	-17
SNAI2	9	-2	425	1195	6	-5	2635	980
SMN1	9	-1	425	1624	50	24	384	-379
SMPD1	9	3	425	6499	2	-1	5133	984
SOX11	9	9	425	17188	9	6	1886	-2231
SPARC	9	-5	425	426	31	6	580	-192
SPAST	9	0	425	2192	3	-2	3794	997
SRC	9	2	425	4372	133	-12	117	12
SURF4	9	-1	425	1624	2	2	5465	-4859
TCF7	9	3	425	6499	17	5	1119	-416
TFAM	9	-2	425	1195	26	4	720	-156
TGFB2	9	-2	425	1195	11	-1	1574	77
TGM1	9	-2	425	1195	3	-2	4048	1070
TIMP2	9	1	425	3067	12	1	1477	-147
TLR3	9	-8	425	40	6	-1	2477	283
CLDN5	9	0	425	2192	6	-8	2585	1265
TSC1	9	9	425	17188	16	0	1134	5
TWIST1	9	-4	425	642	15	1	1206	-66
VHL	9	-5	425	426	47	5	407	-43
BEST1	9	2	425	4372	9	2	1912	-417
WFS1	9	0	425	2192	7	5	2361	-2962
XBP1	9	-4	425	642	24	-1	781	-10
XIST	9	-4	425	642	52	2	363	-22
FOSL1	9	9	425	17188	7	1	2327	-277
HMGA2	9	-2	425	1195	12	0	1518	-27
AKR1C3	9	-2	425	1195	5	2	3077	-1228
CCN5	9	9	425	17188	1	1	7390	-3145
BTRC	9	-9	425	-39	4	-2	3610	915
P4HA2	9	1	425	3067	0	-2	10648	5055
TRPA1	9	-3	425	877	65	-3	276	7
NOG	9	9	425	17188	34	2	546	-69
KL	9	1	425	3067	54	8	343	-71
MAP4K4	9	2	425	4372	7	0	2330	26
