## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
TP53	87	-50	1	0	504	48	7	-2
APOE	66	4	2	6	291	16	27	-3
ACE2	65	-42	3	-1	160	12	96	-7
IL6	63	-18	4	0	318	67	21	-23
CD274	56	-37	5	-2	266	-94	36	17
NFE2L2	48	-9	6	3	166	46	89	-51
STAT3	48	-28	6	-1	110	30	143	-85
HIF1A	46	-18	8	-2	147	-13	106	20
SNCA	45	7	9	22	212	-14	56	-2
TGFB1	45	-1	9	7	80	-25	222	58
EGFR	41	-23	11	-5	287	-23	28	5
BDNF	38	-1	12	17	313	0	23	1
ESR1	36	-10	13	3	61	14	297	-111
NLRP3	35	-7	14	9	91	11	191	-36
TNF	34	-11	15	4	532	47	6	-1
YAP1	34	-16	15	-4	53	17	355	-172
IL10	32	-11	17	5	170	32	82	-35
VEGFA	32	-18	17	-6	57	7	323	-56
METTL3	32	-16	17	-3	7	0	2208	20
CXCL8	31	5	20	83	160	12	95	-7
BRAF	30	-5	21	21	189	-10	70	3
MTOR	30	-3	21	25	341	-48	19	3
VDR	30	-11	21	4	44	-13	431	104
SIRT1	30	-15	21	-2	108	45	148	-141
CTNNB1	29	-17	25	-9	21	2	866	-101
EZH2	29	-21	25	-14	46	-26	413	158
IL17A	29	-9	25	6	38	-6	492	54
MYC	29	-11	25	2	313	-24	22	2
PTEN	29	-7	25	14	107	-11	150	7
BRCA1	27	-14	30	-5	234	-15	42	-3
IFNG	27	10	30	435	0	0
IGF1	27	-5	30	19	499	63	8	-3
MMP9	27	-10	30	6	69	-3	259	3
TLR4	27	-12	30	-1	9	-6	1882	652
AR	26	-6	35	14	195	-36	65	13
ERBB2	26	-11	35	1	24	-4	763	73
KRAS	26	-25	35	-25	215	-66	54	27
NFKB1	26	-3	35	36	17	3	1101	-221
FOXO1	25	8	39	426	42	-4	453	33
TERT	25	-3	39	39	67	3	263	-23
MAPT	24	-23	41	-26	273	50	33	-28
LGALS3	23	-10	42	4	84	10	212	-38
PIK3CA	23	0	42	109	28	4	662	-138
GDF15	23	-1	42	92	64	-1	281	1
TARDBP	23	-19	42	-19	82	-19	217	49
HOTAIR	23	6	42	423	7	-5	2443	899
IL1B	22	-16	47	-16	145	-25	110	30
IL33	22	-4	47	56	59	1	308	-16
AKT1	21	-11	49	0	66	6	269	-43
HMGB1	21	-10	49	7	57	-13	321	58
MTHFR	21	-19	49	-22	206	57	58	-41
PDCD1	21	-1	49	138	200	-42	61	14
SOX2	21	-4	49	70	42	-41	451	235
ABCG2	21	10	49	1571	27	0	688	-37
TREM2	21	5	49	518	47	-6	411	58
CFTR	20	-3	56	95	164	27	92	-26
ABCB1	20	-2	56	131	215	-26	53	4
FGF23	20	4	56	511	103	15	159	-42
FTO	20	-3	56	95	55	3	341	-19
STING1	20	-3	56	95	39	-1	483	4
MIR21	20	-15	56	-14	12	5	1517	-886
BRCA2	19	-11	62	2	61	-54	294	147
CDH1	19	-13	62	-13	10	-1	1664	70
CXCR4	19	-13	62	-13	98	2	172	-10
PCSK9	19	-9	62	16	168	-28	87	18
PARP1	18	-26	66	-45	58	-1	310	-3
APP	18	-14	66	-17	65	-36	272	105
RUNX1	18	6	66	1236	39	-5	479	42
ACE	18	1	66	399	169	1	84	3
LEP	18	-4	66	121	493	53	9	-1
LPA	18	1	66	399	168	10	85	-3
MUC1	18	-1	66	239	9	-1	1798	82
PPARG	18	-5	66	85	114	-29	134	27
CCL2	18	-4	66	121	103	-4	157	-2
MALAT1	18	-15	66	-20	22	-9	858	215
CDKN2A	17	-11	76	2	277	45	31	-20
NR3C1	17	-1	76	310	139	13	115	-16
SERPINE1	17	-4	76	147	114	39	132	-111
CXCL12	17	3	76	775	51	-3	367	22
STAT1	17	-10	76	13	48	16	400	-204
SIRT3	17	0	76	389	19	-2	992	72
BRD4	17	-3	76	180	46	18	416	-293
MIR155	17	-3	76	180	33	18	557	-645
CASP8	16	-1	84	381	33	3	560	-98
DNMT1	16	-8	84	50	20	-1	935	24
