# gene	views	view_delta	view_rank	view_rank_delta
AVP	582	45	1	-1
EPO	560	86	2	-2
CRP	472	-55	3	0
ABCC11	389	98	4	-4
GCG	319	-569	5	4
LEP	305	-3	6	-1
PTH	303	64	7	-8
IGF1	293	-17	8	2
MB	285	-49	9	4
TTN	277	2	10	0
TNF	257	-12	11	0
HTR2A	256	29	12	-5
BDNF	250	-2	13	0
CYP3A4	248	-34	14	5
APOE	248	15	15	-1
LCT	230	26	16	-2
ALB	228	32	17	-5
MSTN	223	-26	18	4
CYP2D6	216	-41	19	7
HTR1A	206	35	20	-8
MTOR	201	-3	21	2
ALDH2	196	54	22	-14
GPT	195	-2	23	2
APOB	182	-3	24	-1
TP53	173	-18	25	2
MTHFR	171	31	26	-12
MAOA	165	-10	27	0
SHBG	163	34	28	-14
SST	160	-42	29	9
OPRM1	160	-3	30	0
CCK	159	21	31	-8
GDF15	155	-25	32	6
CCR5	154	-32	33	9
KLK3	151	28	34	-13
RHO	150	45	35	-27
CALCA	146	15	36	-5
BRCA1	146	-8	37	5
MAPT	145	-10	38	7
IL6	142	15	39	-5
GNRH1	141	-2	40	5
CD4	140	15	41	-5
AMH	137	-6	42	8
ACHE	134	6	43	0
NGF	134	14	44	-6
SLC6A4	133	-2	45	5
MYC	130	26	46	-19
TRPV1	122	-1	47	-2
AR	119	-6	48	3
AGT	119	-34	49	16
VWF	119	12	50	-10
CBLIF	118	1	51	-2
LPA	117	1	52	-2
OR6A2	117	-48	53	24
DRD2	116	-2	54	2
OPRK1	116	-25	55	18
F2	115	5	56	0
F8	114	8	57	-4
HP	113	6	58	-1
REN	113	-10	59	11
HTR2C	113	41	60	-38
LTF	111	-4	61	6
F10	111	43	62	-37
MC1R	111	33	63	-24
PCSK9	104	-4	64	6
HRH1	103	-1	65	-1
CYP19A1	102	-16	66	15
FST	101	-4	67	3
ADRB2	100	14	68	-9
HAMP	99	47	69	-71
CRH	98	2	70	1
GAST	98	-11	71	14
EGFR	98	14	72	-9
VIP	96	12	73	-6
HMGCR	95	-10	74	11
SNCA	94	8	75	-1
