# gene	views	view_delta	view_rank	view_rank_delta
APOE	2971	-1003	1	0
AVP	746	45	2	-1
CRP	660	-212	3	1
EPO	585	-8	4	0
BRCA1	447	59	5	-4
MTOR	446	20	6	-1
MB	423	29	7	-1
LEP	405	44	8	-3
GCG	395	-41	9	3
HTR2A	386	62	10	-5
TNF	383	25	11	-1
IGF1	380	-3	12	2
SST	375	38	13	-1
MAPT	357	172	14	-29
CYP3A4	354	48	15	-3
TTN	341	-7	16	3
TP53	320	8	17	0
CYP2D6	319	13	18	-1
BDNF	317	38	19	-3
MAOA	312	38	20	-3
LCT	308	57	21	-9
EGFR	302	9	22	1
ALB	301	-11	23	7
PTH	286	-19	24	4
GPT	284	11	25	1
REN	271	13	26	-3
CALCA	266	5	27	-1
CCK	265	0	28	1
IL6	259	55	29	-7
ACHE	247	-21	30	4
PCSK9	244	117	31	-53
VWF	241	66	32	-13
MYC	240	-28	33	8
RHO	233	76	34	-23
AGT	220	-12	35	2
GAST	218	44	36	-10
HTR1A	214	16	37	0
TEX9	214	-224	38	33
AMH	210	33	39	-5
F8	206	41	40	-12
HMGCR	204	12	41	2
CD4	204	-9	42	8
MSTN	204	-30	43	11
PLAT	200	34	44	-7
ADRB2	200	42	45	-11
F2	199	28	46	-2
EGF	197	51	47	-19
GNRH1	197	-41	48	17
KEL	196	9	49	7
AR	195	36	50	-4
HRH1	191	70	51	-40
SLC6A4	189	29	52	-1
CBLIF	188	-5	53	15
SHBG	182	-9	54	14
GIP	181	49	55	-22
IL2	174	5	56	6
NGF	172	44	57	-25
TRPV1	172	38	58	-16
CYCS	170	0	59	10
ABCC11	170	-38	60	25
CCR5	169	13	61	2
ACE	169	10	62	7
KLK3	168	-4	63	16
G6PD	162	17	64	-3
AFP	161	29	65	-13
APOB	161	29	66	-13
CD274	158	3	67	7
BCL2	156	15	68	-2
HTR2C	156	21	69	-3
CYP19A1	155	-32	70	29
HP	155	4	71	10
PPARG	152	39	72	-30
CRH	149	16	73	-3
CDKN2A	149	0	74	10
SNCA	148	22	75	-10
MKI67	146	-11	76	18
CTLA4	142	-8	77	15
ACE2	140	5	78	7
FOXP2	138	20	79	-18
DRD2	138	8	80	0
SLC6A3	134	8	81	-5
CFTR	133	26	82	-24
HAMP	133	-1	83	8
ADRB1	133	-10	84	16
TNFSF11	132	17	85	-15
INSR	131	7	86	-3
MTHFR	131	10	87	-5
VIP	130	12	88	-7
LTF	129	-19	89	24
ABCB1	128	4	90	0
RB1	126	8	91	-5
PROC	126	38	92	-42
HTT	125	42	93	-50
IL10	125	13	94	-10
MS4A1	124	21	95	-21
OPRK1	124	3	96	3
LPL	122	26	97	-26
CYP1A2	122	15	98	-9
TF	120	-5	99	11
IL1B	119	36	100	-44
GAPDH	117	37	101	-44
CYP2C19	117	-32	102	39
CYP2C9	116	10	103	-8
ELN	115	-1	104	6
LPA	113	-21	105	32
SRC	111	8	106	-8
TG	111	-30	107	38
OR6A2	111	6	108	-5
FN1	110	-10	109	15
BRAF	110	10	110	-10
KIT	109	49	111	-84
SERPINA1	109	16	112	-17
KRAS	109	-17	113	26
CD19	108	21	114	-22
MPO	107	10	115	-7
HIF1A	107	43	116	-72
LDLR	106	50	117	-96
IL4	106	5	118	0
OPRM1	105	0	119	7
CDKN1A	104	9	120	-5
CNR1	104	11	121	-7
PRNP	102	2	122	3
PYY	101	32	123	-46
SIGMAR1	101	-9	124	19
PLG	98	7	125	-6
BGLAP	97	55	126	-164
B2M	96	12	127	-14
ICAM1	96	18	128	-19
PDCD1	96	-7	129	14
EGFLAM	96	2	130	3
F3	95	-17	131	28
POMC	95	8	132	-3
DHFR	95	19	133	-18
TH	94	27	134	-43
KISS1	94	25	135	-37
CD34	93	8	136	-3
CXCL8	93	17	137	-15
CSF3	91	-15	138	30
CSH1	91	-5	139	15
ADA	90	5	140	2
GCK	90	-16	141	31
MAOB	90	20	142	-26
TNS2	90	-12	143	26
MC1R	89	11	144	-2
CP	89	-17	145	36
DMD	89	-3	146	16
TGFB1	89	31	147	-60
AHR	87	34	148	-77
ADIPOQ	86	14	149	-10
DICER1	86	26	150	-46
NR3C1	86	-5	151	19
PTHLH	85	17	152	-22
TAAR1	85	12	153	-4
APP	83	8	154	1
APLN	83	30	155	-69
PTEN	83	25	156	-49
DPP4	82	12	157	-10
NLRP3	82	17	158	-25
ARHGAP11B	82	-48	159	78
PTGS2	81	23	160	-44
DRD1	81	18	161	-30
PPP1R1B	80	8	162	1
ALDH2	79	6	163	7
GSR	79	26	164	-62
CPT1A	79	31	165	-88
LIPE	78	8	166	0
BTK	78	15	167	-22
SERPINC1	78	-38	168	69
GNAS	78	19	169	-30
CASP3	78	21	170	-41
FAS	77	46	171	-208
ACKR1	77	23	172	-49
CDK2	77	-18	173	47
F10	76	12	174	-11
HRH2	76	7	175	4
UCP1	76	34	176	-112
KCNH2	75	6	177	7
FOSB	75	-11	178	41
APC	74	23	179	-54
BRCA2	74	13	180	-13
HBB	74	24	181	-57
SHH	74	-54	182	99
FASLG	74	15	183	-17
SLC6A2	74	-25	184	63
CTCF	73	24	185	-61
SERPINE1	72	20	186	-42
NFE2L2	72	1	187	22
IAPP	71	-1	188	28
CD44	71	35	189	-148
OPN4	71	28	190	-89
HRG	71	47	191	-304
CD40	69	14	192	-25
CS	69	21	193	-54
MME	69	-15	194	52
GHRH	69	19	195	-44
TRIM63	69	66	196	-3198
DNTT	68	-3	197	34
HTR2B	68	5	198	8
CD38	68	3	199	17
MDM2	68	25	200	-82
MMP9	68	21	201	-57
HSPA5	68	27	202	-103
CD68	67	16	203	-31
THPO	66	0	204	25
NPY	66	-9	205	51
ABL1	66	24	206	-80
TRPA1	66	21	207	-57
GFAP	65	-48	208	107
GHR	65	52	209	-654
NF1	65	1	210	23
SIRT1	65	-6	211	47
SLC18A2	65	-20	212	72
VIM	64	-8	213	55
CD14	64	10	214	-5
PDE5A	64	13	215	-20
PC	63	-4	216	40
FOXP3	63	-8	217	55
CXCL10	63	13	218	-19
HTR4	63	11	219	-11
CHRM3	62	20	220	-72
CXCR4	61	12	221	-23
FST	61	-3	222	36
CSF2	61	3	223	20
CCL5	61	8	224	-3
TERT	61	5	225	9
BAX	60	13	226	-28
PECAM1	60	-18	227	79
CFH	60	31	228	-183
P2RY12	60	0	229	31
CD69	59	18	230	-69
PPARGC1A	59	13	231	-29
PGR	59	21	232	-91
CCND1	59	17	233	-62
CD28	58	-3	234	42
TTR	58	-17	235	80
PTPRC	58	16	236	-53
CHAT	58	4	237	15
ACTB	58	18	238	-73
F12	57	27	239	-151
FH	57	24	240	-120
MYD88	57	6	241	5
F5	56	7	242	-1
IRS1	56	16	243	-66
IL18	56	28	244	-182
Glucose-6-phosphate isomerase	55	17	245	-73
PLN	55	30	246	-220
RET	55	0	247	29
NOS3	55	16	248	-65
HFE	55	-35	249	116
ADRB3	55	-3	250	44
PCNA	55	-2	251	42
